conflict,congruency,hand,postError,block1,block2,block3,CONFLICT,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,relevant,alpha,decay,alpha_error,ccc,alpha_ccc,subject
74.5229164354978,19.13412069974651,5.02776528301436,18.832100127232515,323.5162613203402,338.76240781836395,347.978746883545,6.784236155418063e-41,6.840173644519765e-10,0.056561595292335766,0.15036331840627318,0.0,0.0,0.0,0.20925570893156556,-6639.320496469814,13290.640992939629,13321.483711198238,2173.350931756402,SR_Q_D_E_alphaCCC_WOB,0.7331900824285477,0.9825416632754386,0.6220215535473393,1.0,0.3778760294096061,0.7750548058176037,sub01
73.79382090937938,-5.677140521321403,-5.128618148813199,79.8414216335853,357.16449647984484,345.61018181492165,334.67044853303105,1.6102317240611783e-36,0.10670518996668282,0.08875359219439688,3.0629410186773132e-06,0.0,0.0,0.0,0.16021397750734911,-6849.763315912336,13711.526631824672,13742.402538630959,2857.356552768804,SR_Q_D_E_alphaCCC_WOB,1.0,0.08998961748431134,0.9252473585010554,0.22117153347239013,0.3952934624365294,0.7476579966112495,sub02
109.11873256085084,18.882347875909602,36.72716469596315,12.536160946825511,336.1612295726777,333.96203880090167,345.19248978058044,8.462853988496577e-06,7.381440321027441e-05,2.7180258507830644e-19,0.2474182305254972,1.0623259660874559e-237,4.247366785134197e-220,9.43203380481494e-244,0.09990815184558954,-6938.699838749112,13889.399677498224,13920.05895427666,4914.1189942794845,SR_Q_D_E_alphaCCC_WOB,0.2474308971865975,0.24007547978447566,0.05895762569362426,0.3650334539546896,0.8105420999783125,0.4212558617343182,sub04
103.67720235114345,18.137555810987422,-6.541246470825414,12.387597091992571,310.84879578093,293.3522956653327,294.8669233336335,1.4870476724126074e-26,9.027559631488835e-05,0.09454364117509788,0.201790313078224,9.308481715892736e-232,1.609361220586553e-204,4.0116337044181073e-228,0.12575579532632153,-6848.520917081402,13709.041834162805,13739.656830297454,4607.351199794719,SR_Q_D_E_alphaCCC_WOB,1.0,0.0001,0.7476437371353349,0.4629071163586526,0.12324541900950625,0.4463736163355941,sub13
84.7877244137067,-23.81137988590303,-13.324259567345006,20.164829731438545,385.50741698681,366.4285620648892,371.5901529058112,7.469757955936743e-14,4.589719107969126e-06,0.002750810320743912,0.03077201516097847,1.4750715317643105e-260,9.633753536997971e-241,2.8900595822869124e-261,0.0968999000851859,-6871.323758279405,13754.647516558809,13785.157902322524,5836.4497569617515,SR_Q_D_E_alphaCCC_WOB,0.9258129024856258,0.3910201231273159,0.7208181030578484,0.0001,0.7718205002061299,0.6591828615194945,sub14
116.70481679965354,12.640628378341534,14.95013981357491,57.541127842320684,335.3175290027558,364.6920941675089,410.8966853916932,9.684022402533809e-17,0.049172282212925265,0.006937463955187266,0.01119431646342921,5.085299918370495e-158,1.3099922496544637e-163,6.71624012506145e-218,0.1459858946720215,-7509.68959001047,15031.37918002094,15062.1741653309,9494.160295176418,SR_Q_D_E_alphaCCC_WOB,0.9914485290332234,1.0,0.8723802882776711,1.0,0.15250186649176367,0.4422551757901523,sub15
89.8518709599499,32.641160321938784,14.598291625459714,23.646923029231296,303.97996043501115,288.8331757446915,342.7091515851707,4.4482647967837585e-25,1.1860664283231687e-07,0.004774395748772279,0.07975663507331401,1.1044247078855786e-236,2.421116211741421e-181,3.182357723512148e-277,0.1470956992079261,-7244.671977714527,14501.343955429054,14532.00323220749,8101.643680409727,SR_Q_D_E_alphaCCC_WOB,1.0,1.0,0.8022348360657271,1.0,0.08414818579645568,0.7516574249664376,sub16
139.50408260489738,11.1324329431249,20.138156025419224,-8.119711208518293,293.4528437542891,280.8925490064721,307.04068954207884,6.417466433016319e-29,0.03400592447995633,6.753478736305733e-06,0.5645276933803055,9.997431001034592e-228,1.282590841865744e-189,5.797531820667935e-238,0.12789014677343558,-7195.223260644146,14402.446521288291,14433.207866141682,6128.5564815192565,SR_Q_D_E_alphaCCC_WOB,0.6454579181968315,0.4744466892373956,0.7699334861412211,0.0001,0.25513618530626625,0.6031948780801892,sub33
128.876344234643,2.4364599579806523,-10.314627902537088,29.78216243533853,314.9444434782416,328.5421751854564,329.7021389047003,1.0255064978187087e-17,0.6403310142357267,0.019463615884985724,0.02547978571510659,5.395132495603396e-142,7.76116697790146e-150,5.571412243333109e-153,0.07528762764345609,-7138.940199073845,14289.88039814769,14320.607912867155,5972.650095865359,SR_Q_D_E_alphaCCC_WOB,1.0,0.323714604137038,0.36673722167079015,0.13129448405128386,0.4163382126107317,0.20899692645288934,sub34
90.30889899786148,14.540066142995467,23.88572796850262,43.79866738242711,340.8921926856905,344.0694226082752,340.59377255647064,6.588556107880189e-29,0.008806352275662873,5.720918931860692e-07,0.00750776895763568,8.243833915398387e-295,1.0325426501953135e-258,3.073023262478861e-298,0.12851656710747705,-7302.035960926302,14616.071921852605,14646.85251291336,7007.48792843654,SR_Q_D_E_alphaCCC_WOB,1.0,1.0,0.9430610697780258,0.0001,0.4672023540127568,0.687843375211454,sub35
502.46253760853256,-10.356090645376804,10.950827784005,-1.7953705438821432,305.6865936438413,326.2994122945362,286.33334490847017,1.3989118838106186e-26,0.3604181516721449,0.2626853577546692,0.9670816477974026,3.866855608894873e-46,7.965585109296456e-46,3.5524315197098496e-40,0.09525306877789896,-8202.869321158423,16417.738642316846,16448.5192333776,29650.134084168374,SR_Q_D_E_alphaCCC_WOB,0.4116118271028489,0.19729315823750548,1.0,0.24822440634463064,0.1117259547541486,0.447851235413563,sub36
