conflict,congruency,hand,postError,block1,block2,block3,CONFLICT,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,relevant,alpha,decay,alpha_error,subject
76.94585315343767,19.08799440528291,5.01442022765606,17.190058319430854,322.3725805725248,337.5771723754448,346.64187931675207,5.276392456449383e-41,7.479811886950294e-10,0.05716907655306544,0.18936574946093165,0.0,0.0,0.0,0.2095707837471492,-6639.0690222194,13286.1380444388,13306.699856611203,2172.484952511632,SR_Q_D_E_WOB,0.7261231066266486,0.7761595599105923,0.6327337761888601,0.5154269028213245,sub01
56.584816169218904,-5.666900178196582,-4.9357662391487525,79.97724024200144,371.0450089078151,359.62363416910614,348.70989721266386,4.7606771522062416e-35,0.10843139846884214,0.10238351573384802,3.1300373225935835e-06,0.0,0.0,0.0,0.15572147700125105,-6853.148576103821,13714.297152207642,13734.881090078496,2872.642203804636,SR_Q_D_E_WOB,1.0,0.8756159776482849,0.7680095605119364,0.8828293007266445,sub02
109.12009866336105,18.882346643378447,36.727161523820136,12.53616615237582,336.16086138854394,333.96167836998893,345.19211782692963,8.462853983854755e-06,7.381449258370082e-05,2.718045485831089e-19,0.2474180311586161,1.0698675753821092e-237,4.272070140986774e-220,9.500357763017499e-244,0.0999081518463647,-6938.699838748586,13885.399677497173,13905.839195349461,4914.118994275248,SR_Q_D_E_WOB,0.2474287259259421,0.24007167387211706,0.058957183678058564,0.3650293606772852,sub04
95.86171452661085,18.2290798311025,-6.779379068209541,11.904755898497028,317.1139766666007,299.59451666302857,301.14109818218066,1.445607731091164e-26,8.284600620044986e-05,0.08308430062239154,0.22006056652096465,7.158798602235585e-259,1.5019050067414476e-226,1.02880073523534e-255,0.1257963688485494,-6848.4927224572875,13704.985444914575,13725.395442337673,4607.137373422739,SR_Q_D_E_WOB,1.0,0.4943738199969647,0.7306262940586524,0.3801277862528162,sub13
60.27089154081104,-24.237060834913066,-13.031237741001625,24.366269003727034,401.6739121990355,381.7863592040657,387.24668773811334,3.4616484882704047e-12,3.527655380875576e-06,0.003498396345874145,0.009324473313344976,0.0,6.820431291749274e-301,0.0,0.0911482908274387,-6875.113839497175,13758.22767899435,13778.567936170159,5873.620584627896,SR_Q_D_E_WOB,0.9799484497961322,0.5848274167152775,0.72420701859989,0.8153418393885454,sub14
123.11122625757385,12.922112773893433,14.956773996833045,63.650923288760794,334.03001278758234,363.22377992316683,409.60609074109453,8.942447609766622e-17,0.04421678388644715,0.006908789429605817,0.005011065196955735,1.6714691660875938e-154,5.331879635990161e-160,1.2509801438567627e-213,0.14609371078718514,-7509.6105548418545,15027.221109683709,15047.751099890349,9492.961692631656,SR_Q_D_E_WOB,0.9352746535719176,0.437247132899632,0.8762383239991642,0.6712869238367879,sub15
88.8521791316033,30.988810275177283,14.185781981035587,27.34739372766309,307.55368981629675,293.245916588583,346.43765976601594,1.5525580920695891e-28,4.3398945729658777e-07,0.005765057197781575,0.0409908954719107,3.0762715149559204e-261,4.681860231087011e-199,9.852786874349497e-304,0.15809150419587326,-7236.7306557120655,14481.461311424131,14501.900829276421,7997.195743242681,SR_Q_D_E_WOB,1.0,0.828375072853821,0.68241536803976,0.0001,sub16
130.38236103520097,10.37593086446623,20.769013140461052,-2.8813445557688016,296.7854755056851,284.47353388134763,310.7430562239344,1.0467285880803999e-29,0.04812325807158447,3.349355259592537e-06,0.8376364592855946,1.0584069909683857e-243,2.300717314947697e-202,9.067205003500839e-256,0.1304225446640741,-7193.413040416816,14394.826080833633,14415.333644069231,6110.760623052831,SR_Q_D_E_WOB,0.6744832977951939,0.6314365543478908,0.7798157922394136,0.0001,sub33
133.49780566048534,2.2228009980861643,-10.36798796745416,30.59299777725117,311.60381373051683,325.4698770171916,326.46257926488516,8.799980820033067e-18,0.6701442254605593,0.018834144011009038,0.0217064269598112,2.3231376599756644e-133,4.606280899629424e-142,3.379013052914265e-144,0.07551458423692392,-7138.788256287665,14285.576512575331,14306.061522388309,5972.36808500158,SR_Q_D_E_WOB,1.0,0.19988995033837628,0.34300452727455777,0.350947192085993,sub34
89.67563046218244,13.743887779659095,23.63554389527669,42.710380425961574,343.09962116975487,345.7872538531878,341.4942368178398,8.636324840375705e-30,0.01322213458836895,7.165525990256477e-07,0.009033304092643682,2.577134126072402e-307,2.4233527467261958e-266,3.5960415551151813e-305,0.131342602823452,-7300.007549402688,14608.015098805376,14628.535492845878,6984.764133006651,SR_Q_D_E_WOB,1.0,0.7608322472512019,0.8966307475599401,0.0001,sub35
468.87698057128273,-10.590916808228863,10.771187812485023,-11.656881302176524,319.725681905751,340.4644609556632,300.3753766722603,7.719183202589498e-27,0.34947244940553723,0.2703686308985241,0.7887553703433741,1.8046596819447998e-55,3.914536373729666e-54,1.4229724823266485e-48,0.09611186514976823,-8202.276256936017,16412.55251387203,16433.072907912534,29621.989829756432,SR_Q_D_E_WOB,0.42063850714055584,0.476484166850716,0.9797752597202808,0.17610769348632604,sub36
312.92246413291315,22.97857871927497,19.627318444363326,-11.626240015530295,257.1111184534028,253.2065433708236,245.61766600281018,3.1114716838032374e-36,8.121890559153313e-06,5.5204732012713415e-06,0.263521133250882,3.4900098701051134e-103,1.5462527687895966e-94,5.574884984438232e-95,0.17056361155291255,-6981.688565957069,13971.377131914138,13991.796993707218,5576.450662268288,SR_Q_D_E_WOB,0.4440514315288418,0.3482317329063785,0.5749745327832355,0.10899014197678626,sub37
