,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr,conflict
0,1,552.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,-0.5,0.5,0.75
1,2,267.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.5,0.5,0.5,0.04011227931074002,0.95988772068926,-0.5,0.5,0.0,0.0,0.75
2,3,227.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.04011227931074002,0.04011227931074002,0.95988772068926,0.42868810503694277,0.5713118949630572,0.95988772068926,-0.95988772068926,0.0,0.0,0.9983910050484972
3,4,302.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.48894211318449565,0.9229934312815256,0.07700656871847444,0.48894211318449565,0.5110578868155043,0.0,0.0,-0.48894211318449565,0.48894211318449565,0.7388198363236711
4,5,370.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.96077483477832,0.5655909296651846,0.4344090703348154,0.0392251652216799,0.96077483477832,0.0,0.0,-0.0392251652216799,0.03922516522167996,0.07691171685669182
5,6,329.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.48982922727355577,0.5101707727264442,0.48982922727355577,0.0031468215667639007,0.9968531784332361,-0.5101707727264442,0.5101707727264442,0.0,0.0,0.7600673281085912
6,7,284.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9590717749364416,0.040928225063558366,0.9590717749364416,0.4229561041130022,0.5770438958869978,-0.040928225063558366,0.04092822506355842,0.0,0.0,0.08018133052026355
7,8,244.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0032834487908845675,0.0032834487908845675,0.9967165512091154,0.48805328787034385,0.5119467121296561,0.9967165512091154,-0.9967165512091154,0.0,0.0,0.9999892189640376
8,9,295.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5018525014742012,0.9200388546085249,0.07996114539147514,0.4981474985257987,0.5018525014742012,0.0,0.0,-0.4981474985257987,0.49814749852579876,0.7481440667640868
9,10,291.2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.9600363368023734,0.5651327820524379,0.4348672179475621,0.039963663197626564,0.9600363368023734,0.0,0.0,0.9600363368023734,-0.9600363368023734,0.9984029056238267
10,11,262.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.51009973065907,0.51009973065907,0.48990026934093,0.922981508619447,0.07701849138055294,0.48990026934093,-0.48990026934093,0.0,0.0,0.7397982647815442
11,12,318.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9606979671235797,0.9606979671235797,0.03930203287642031,0.5655890808930005,0.43441091910699947,0.03930203287642031,-0.03930203287642031,0.0,0.0,0.0770594159646214
12,13,313.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5101704860489752,0.9968470117595623,0.003152988240437714,0.5101704860489752,0.4898295139510248,0.0,0.0,0.4898295139510248,-0.4898295139510248,0.7397260751645525
13,14,344.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.42295706034028446,0.5770429396597155,0.42295706034028446,0.960703643443505,0.03929635655649505,-0.5770429396597155,0.5770429396597155,0.0,0.0,0.8211073251083051
14,15,264.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4285615850297082,0.046293015139841964,0.953706984860158,0.5714384149702918,0.4285615850297082,0.0,0.0,-0.5714384149702918,0.5714384149702918,0.8163349678368241
15,16,303.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9541566053796502,0.4296465128491338,0.5703534871508662,0.04584339462034981,0.9541566053796502,0.0,0.0,-0.04584339462034981,0.04584339462034981,0.0895851724103825
16,17,255.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.48909072745306603,0.48909072745306603,0.510909272546934,0.0036777660991278924,0.9963222339008722,0.510909272546934,-0.510909272546934,0.0,0.0,0.7607902603194306
17,18,322.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4230384343406204,0.9590125291143008,0.040987470885699206,0.4230384343406204,0.5769615656593796,0.0,0.0,0.5769615656593796,-0.5769615656593796,0.8210384830706366
18,19,374.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4288238154872512,0.5711761845127488,0.4288238154872512,0.9537135130534182,0.04628648694658177,-0.5711761845127488,0.5711761845127488,0.0,0.0,0.8161101352709559
19,20,329.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9541776427023636,0.045822357297636285,0.9541776427023636,0.5703544994367158,0.4296455005632842,-0.045822357297636285,0.045822357297636396,0.0,0.0,0.08954502616696054
20,21,325.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4890905704842693,0.003676078389198624,0.9963239216108014,0.5109094295157307,0.4890905704842693,0.0,0.0,-0.5109094295157307,0.5109094295157307,0.760790413863372
21,22,288.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4230381726380617,0.4230381726380617,0.5769618273619384,0.04098748347845166,0.9590125165215484,0.5769618273619384,-0.5769618273619384,0.0,0.0,0.8210387044910495
22,23,339.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.04628650794155409,0.953713492058446,0.04628650794155409,0.42882381743993003,0.57117618256007,-0.953713492058446,0.9537134920584459,0.0,0.0,0.9978575591825763
23,24,359.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5110368427471554,0.07651124395173925,0.9234887560482608,0.48896315725284456,0.5110368427471554,0.0,0.0,-0.48896315725284456,0.48896315725284456,0.7388413453550191
24,25,358.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.03922685347277477,0.4343322634401127,0.5656677365598872,0.03922685347277477,0.9607731465272252,0.0,0.0,0.9607731465272252,-0.9607731465272252,0.9984612539666256
25,26,402.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.07707760161551724,0.4898173173117084,0.5101826826882916,0.9229223983844828,0.07707760161551724,0.0,0.0,-0.9229223983844828,0.9229223983844828,0.9940590433291996
26,27,341.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.49842103547095956,0.49842103547095956,0.5015789645290404,0.07404104205227291,0.9259589579477271,0.5015789645290405,-0.5015789645290404,0.0,0.0,0.7515764714000566
27,28,313.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9597610489568388,0.9597610489568388,0.040238951043161275,0.4339492247755268,0.5660507752244732,0.04023895104316122,-0.040238951043161275,0.0,0.0,0.07885872890526852
28,29,300.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9967718479131711,0.9967718479131711,0.0032281520868289587,0.4897579219162958,0.5102420780837041,0.003228152086828917,-0.0032281520868289587,0.0,0.0,0.006445883207762136
