,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
alpha,1.636048,31.347923,16.692542,1.072133,1.251352,
exp_r,0.031462,0.602845,0.321010,0.020618,0.024064,
xp,0.000000,0.984108,0.015892,0.000000,0.000000,
pxp,0.000000,0.984108,0.015892,0.000000,0.000000,
