conflict,congruency,hand,postError,block1,block2,block3,CONFLICT,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,relevant,alpha,decay,subject
78.37904344973295,19.168465585031214,5.088937220331402,18.91759129795237,321.7106540221556,336.9312748603374,346.11634999633935,7.887689760723012e-41,6.391202319024721e-10,0.05365894362342311,0.14856006555038542,0.0,0.0,0.0,0.20906674884804569,-6639.471265270769,13284.94253054154,13300.363889670842,2173.8702862155587,SR_Q_D_WOB,0.7168486189138692,0.763098556432494,0.6276657467571024,sub01
56.59274419858361,-5.667900561882008,-4.934148453058152,79.88963936910109,371.04204308563266,359.6214015107215,348.7058885910412,4.760827148252574e-35,0.10837036223229636,0.10249650890093824,3.208549549200665e-06,0.0,0.0,0.0,0.1557214350999141,-6853.148607593899,13712.297215187798,13727.735168590942,2872.6423463731653,SR_Q_D_WOB,1.0,0.8754793370315125,0.7669750828933025,sub02
114.46993268723185,18.631208692251747,36.7119742859693,11.66295903718391,335.79301005712875,333.12513203405325,344.6562560011779,9.262305035988885e-06,9.463930760374517e-05,2.830405957614814e-19,0.28254063519506023,1.220582885234352e-233,1.6324204155846546e-213,3.0385371292057774e-238,0.0997804992159419,-6938.786627525423,13883.573255050846,13898.902893440061,4914.815923391016,SR_Q_D_WOB,0.23087792868539603,0.2337230018258824,0.053699687574994236,sub04
98.79220511227514,18.223515414799763,-6.595165765662158,12.34761163528585,314.6455177175884,297.1396897026118,298.6618680981314,1.6206057066420328e-26,8.342770846890888e-05,0.09186819354049462,0.20329442331768616,1.1207764839593343e-247,1.4573820739450236e-217,2.610332690448211e-244,0.12563231497613414,-6848.606715780709,13703.213431561418,13718.520929628745,4608.001953138391,SR_Q_D_WOB,1.0,0.4721772705036894,0.7391548420460387,sub13
64.61230334539232,-24.185753156334567,-13.157141790069016,21.565157048997087,400.65468313731054,380.9750389848956,386.2677966552117,4.924415105303951e-12,3.7163523621502144e-06,0.0032096397739052557,0.021309312505302342,0.0,7.842751869759915e-296,0.0,0.0906187704335063,-6875.461565772924,13756.923131545847,13772.178324427705,5877.042707130814,SR_Q_D_WOB,0.9189737610281832,0.5902907608959281,0.726964481461311,sub14
117.0957422594054,12.719773437218564,14.9431459120469,57.69821944821121,336.7919539713472,366.12745079443357,412.34596653545873,1.0519133355601327e-16,0.04775575274596187,0.006967750154625289,0.010978910855545755,3.6193660754723267e-162,3.397162086072325e-167,8.156200834598092e-223,0.14587393943686644,-7509.771648823566,15025.543297647131,15040.940790302111,9495.404912732109,SR_Q_D_WOB,0.9635705007120494,0.4541409755604222,0.8706867535844991,sub15
88.821104616937,32.6348823376938,14.551865835151748,23.649140456434445,304.90627693054216,289.72140585578603,343.5945768709619,4.786638047424906e-25,1.1951955915467265e-07,0.004910703216867468,0.0797475589546352,4.511248570888966e-240,1.5755946463994396e-183,1.2356189490226809e-280,0.14699382624313573,-7244.745072118316,14495.490144236632,14510.81978262585,8102.611360442111,SR_Q_D_WOB,1.0,0.7637706437151043,0.7925754646035931,sub16
128.47610822057752,11.17436097337878,20.110242037920674,-7.214172480142349,297.093986793489,284.7102133245433,310.7446928097574,7.778774051495107e-29,0.033355260525294105,6.97642536855291e-06,0.6087110952825581,9.223600814625988e-242,7.26765978090661e-201,1.8953456281191197e-252,0.12762108968433514,-7195.4152802693725,14396.830560538745,14412.21123296544,6130.447219955411,SR_Q_D_WOB,0.6830673583273629,0.6182607722875332,0.7623791430022843,sub33
137.21335867979886,2.305622305060372,-10.156761470787039,29.999565815401226,309.12763689672437,322.6599921862183,323.7701015916504,1.1730115490470971e-17,0.6586244144461963,0.021402048539611446,0.024435927559977626,2.196981551849132e-126,2.264738245386066e-134,2.8071359815138685e-136,0.07508827275135999,-7139.073632325186,14284.147264650372,14299.511022010105,5975.12214587409,SR_Q_D_WOB,0.9934470491264386,0.2043147802881574,0.3725833599946671,sub34
92.51407919202964,14.604734608302325,23.81176023628191,44.829091159910796,339.28287087901265,342.3044066969833,338.69586817039755,1.8861803674704886e-28,0.008564610658611298,6.324912165822858e-07,0.0062481970325786425,2.340136963612956e-286,6.141209930503014e-252,1.3670767059824391e-288,0.12705037801890418,-7303.085740737421,14612.17148147484,14627.561777005218,7019.27736923551,SR_Q_D_WOB,1.0,0.7045212297221016,0.9369252522270121,sub35
481.3141042741497,-10.13569235610174,10.909730970026322,-2.055368801487384,315.53089559296484,336.1431710231479,296.06128654296936,1.2873957892495207e-26,0.3706098096699476,0.2644490786309891,0.9623156973634929,2.6579287678017583e-52,2.730286355453817e-51,1.1921920990496083e-45,0.09537310408060963,-8202.786461502195,16411.57292300439,16426.96321853477,29646.200317795654,SR_Q_D_WOB,0.41187911469523547,0.4635304769677205,0.9967378099829975,sub36
300.36375741422887,23.444909923424703,20.37551445897148,-9.867240343275052,260.39045111826977,256.7523754690734,248.35382916080522,2.213793449427109e-35,5.4192080409622016e-06,2.488843557128437e-06,0.3430121383877545,4.2956575045753703e-107,1.778500553159788e-98,8.898853830619247e-98,0.16788723899831715,-6983.6504848036275,13973.300969607255,13988.615865952066,5594.444398391302,SR_Q_D_WOB,0.4558857479356385,0.34619735055028306,0.5510543521296033,sub37
