α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.59,0.11,0.4,0.82,0.2,0.56,0.42,0.71,1.9098684842266392e7
0.59,0.91,0.55,0.15,0.78,0.95,0.6,0.63,1.886025728584848e7
0.55,0.52,0.41,0.13,0.03,0.78,0.81,0.76,1.955747269944366e7
0.81,0.44,0.49,0.15,0.74,0.05,0.05,0.22,1.898752959553994e7
0.19,0.72,0.42,0.74,0.24,0.41,0.95,0.99,1.874657797402793e7
0.79,0.54,0.79,0.87,0.79,0.28,0.36,0.59,1.9434167362622548e7
0.12,0.81,0.99,0.01,0.64,0.55,0.03,0.83,1.9201390169143733e7
0.86,0.63,0.02,0.25,0.06,0.88,0.24,0.95,1.959129943892568e7
0.69,0.25,0.29,0.78,0.8,0.51,0.05,0.82,1.9380214898643557e7
0.35,0.63,0.47,0.34,0.5,0.18,0.59,0.16,1.8935372464817315e7
