α_v,α_s,decay,MSE
0.8,0.95,0.91,1.7543067003549736e7
0.56,0.01,0.33,1.7609953526865225e7
0.62,0.3,0.76,1.7529734039350227e7
0.79,0.05,0.83,1.7615286777573626e7
0.94,0.95,0.14,1.7166890586685628e7
0.1,0.64,0.6,1.760080799036569e7
0.2,0.27,0.24,1.7181757284301266e7
0.61,0.28,0.27,1.740634675744314e7
0.48,0.74,0.86,1.7526044304263067e7
0.87,0.01,0.21,1.7619474788369384e7
0.69,0.39,0.19,1.72950058827571e7
0.09,0.46,0.3,1.754528627000401e7
0.79,0.26,0.24,1.7503014394633073e7
0.29,0.84,0.8,1.759418671246087e7
0.94,0.57,0.78,1.7584310864117153e7
0.53,0.13,0.8,1.7573565863794763e7
0.08,0.97,0.55,1.7618857677207414e7
0.29,1.0,0.15,1.7573743420295212e7
0.33,1.0,0.91,1.7608170971137863e7
0.92,0.93,0.74,1.745365462528886e7
0.61,0.15,0.16,1.7487707399179228e7
0.19,0.3,0.71,1.7468694976208214e7
0.77,0.14,0.72,1.760304709443005e7
0.16,0.86,0.15,1.7580747320432324e7
0.99,0.64,0.85,1.7598740286968477e7
0.02,0.48,0.16,1.75905663002888e7
0.16,0.81,0.45,1.7598758763039224e7
0.8,0.29,0.97,1.759105722396196e7
0.75,0.94,0.55,1.7516498856731225e7
0.82,0.69,0.56,1.7445729089224696e7
0.88,0.24,0.34,1.757032023045662e7
0.64,0.13,0.12,1.750307382995982e7
0.69,0.62,0.56,1.7390670640555587e7
0.54,0.78,0.43,1.744704660881775e7
0.24,0.36,0.12,1.7111531114424244e7
0.48,0.42,0.06,1.692710273742829e7
0.55,0.66,0.57,1.7404887325646617e7
0.79,0.2,0.08,1.7441867954095773e7
0.49,0.8,0.81,1.754075802860318e7
0.18,0.51,0.16,1.7425663077646967e7
0.05,0.6,0.35,1.759850506788744e7
0.62,0.08,0.41,1.759125278528121e7
0.31,0.99,0.26,1.7582768253123164e7
0.12,0.92,0.18,1.760311748789261e7
0.87,0.16,0.16,1.7551949771756444e7
0.39,0.94,0.69,1.7590130617565002e7
0.95,0.13,0.77,1.76166379077541e7
0.84,0.04,0.28,1.7614635502634693e7
0.54,0.65,0.58,1.7407026535692487e7
0.31,0.5,0.44,1.74069188212223e7
0.57,0.81,0.95,1.753356507920382e7
0.71,0.52,0.2,1.721620009880383e7
0.26,0.7,0.92,1.7584387314844396e7
0.79,0.19,0.3,1.7560364668990046e7
0.39,0.97,0.34,1.7573480044224974e7
0.7,0.81,0.32,1.7333590983806334e7
0.72,0.68,0.25,1.720411255094534e7
0.47,0.49,0.69,1.740570427987813e7
0.94,0.61,0.49,1.754583798738597e7
0.64,0.09,0.78,1.759970793039979e7
0.26,0.77,0.09,1.748036434974151e7
0.05,0.83,0.52,1.761691834560382e7
0.01,0.41,0.94,1.761162468663205e7
0.53,0.33,0.47,1.740599209192582e7
0.96,0.52,0.57,1.7577902780511238e7
0.94,0.53,0.92,1.7594014683388617e7
0.87,0.87,0.68,1.7435796270552695e7
0.68,0.06,0.56,1.7606455451530177e7
0.33,0.06,0.57,1.7562546385851774e7
0.13,0.63,0.86,1.760186145662975e7
0.16,0.56,0.48,1.7557282741682224e7
0.24,0.44,0.85,1.7521219349081706e7
0.08,0.45,0.89,1.7597658857884955e7
0.07,0.58,0.3,1.7584810661459986e7
0.04,0.48,0.14,1.757614656075898e7
0.06,0.31,0.23,1.7507043393635668e7
0.71,0.87,1.0,1.7525643894897535e7
0.81,0.79,0.17,1.71380529369947e7
1.0,0.16,0.91,1.761807203234521e7
0.64,0.97,0.58,1.75595699485114e7
0.46,0.49,0.23,1.714241343312893e7
0.25,0.85,0.52,1.7590077012144133e7
0.01,0.66,0.36,1.761284401884104e7
0.65,0.96,0.01,1.734646389547689e7
0.4,0.25,0.09,1.7076836040055893e7
0.09,0.67,0.41,1.759740228761073e7
0.37,0.65,0.77,1.7524329170559958e7
0.19,0.14,0.96,1.7465754395747036e7
0.78,0.8,0.91,1.7469397652962625e7
0.9,0.39,0.73,1.7589034129243236e7
0.07,0.68,0.22,1.7593353950381886e7
0.42,0.27,0.07,1.704972163453916e7
0.16,0.32,0.96,1.7537536221845888e7
0.03,0.85,0.75,1.7619716928570613e7
0.84,0.95,0.26,1.7422442965750635e7
0.21,0.77,0.3,1.7563263209576115e7
0.64,0.41,0.56,1.74540433322314e7
0.27,0.34,0.04,1.700961152889019e7
0.59,0.47,0.59,1.740445742584437e7
0.19,0.2,0.12,1.701099407032438e7
0.25,0.48,0.82,1.752670244057149e7
0.48,0.15,0.85,1.75560672973708e7
0.34,0.02,0.31,1.7588698439269483e7
0.66,0.71,0.65,1.741329848278705e7
0.92,0.8,0.19,1.728845379364143e7
0.1,0.36,0.82,1.7574398490684282e7
0.17,0.95,0.77,1.7614977149413776e7
0.62,0.82,0.96,1.7524183895183794e7
0.72,0.48,0.25,1.7309440826834258e7
0.26,0.2,0.96,1.746273491281231e7
0.54,0.75,0.19,1.7290706996069647e7
0.92,0.5,0.24,1.746280745354242e7
0.82,0.39,0.56,1.755078739505754e7
0.57,0.28,0.08,1.7188925747329213e7
0.89,0.08,0.5,1.7614832357383907e7
