α_v,α_s,decay,MSE
0.17,0.72,0.95,1.1278720944291757e7
0.36,0.74,0.51,1.1248211426438255e7
0.45,0.01,0.73,1.1206589666336156e7
0.07,0.86,0.48,1.1273413856171139e7
0.32,0.66,0.85,1.124710146496103e7
0.57,0.54,0.45,1.1048951900731549e7
0.28,1.0,0.75,1.1278904050374648e7
0.01,0.84,0.76,1.1266367505653188e7
0.13,0.72,0.52,1.127912754056802e7
0.66,0.85,0.06,1.1181852965445595e7
0.77,0.54,0.52,1.1085293168171804e7
0.19,0.23,0.64,1.110786648085545e7
0.74,0.55,0.17,1.1026290251685705e7
0.6,0.63,0.67,1.1092345179238716e7
0.34,0.21,0.05,1.097746828412985e7
0.39,0.72,0.5,1.1232901361596745e7
0.74,0.04,0.61,1.1229312258000154e7
0.28,0.86,0.21,1.1273438528259985e7
0.51,0.2,0.97,1.1122230035068884e7
0.78,0.09,0.1,1.1187767122500714e7
0.94,0.88,0.05,1.1094029675111819e7
0.31,0.91,0.27,1.1275346492769593e7
0.06,0.37,0.27,1.1271981178759083e7
0.86,0.75,0.84,1.1109960098984655e7
0.27,0.39,0.8,1.1162716483199373e7
0.21,0.14,0.44,1.1028881995739803e7
0.76,0.97,0.81,1.1248418274925096e7
0.28,0.79,0.9,1.127431103538637e7
0.84,0.15,0.51,1.1210380681673206e7
0.76,0.4,0.25,1.1079914764727348e7
0.22,0.11,0.73,1.1073915894973658e7
0.63,0.31,0.71,1.1108509143438458e7
0.93,0.93,0.09,1.1087654379671592e7
0.18,0.82,0.7,1.1279142758549675e7
0.65,0.47,0.71,1.1072510259544311e7
0.32,0.19,0.95,1.1075850626331307e7
0.76,0.34,0.98,1.115771507670601e7
0.09,0.76,0.75,1.1277106290121129e7
0.1,0.71,0.28,1.1279142937891163e7
0.11,0.84,0.06,1.1278541922296325e7
0.72,0.67,0.78,1.1081537312708862e7
0.46,0.42,0.04,1.102177753134402e7
0.76,0.2,0.38,1.116975619915677e7
0.02,0.77,0.59,1.12710319252707e7
0.63,0.19,0.06,1.1070241430286475e7
0.14,0.65,0.6,1.1277867721470425e7
0.19,0.79,0.86,1.1279055586346284e7
0.9,0.21,0.51,1.120733828083016e7
0.09,0.03,0.96,1.1122274831285825e7
0.64,0.57,0.85,1.1077157912014816e7
0.9,0.98,0.61,1.1228638343547724e7
0.57,0.31,0.96,1.1099952775587965e7
0.88,0.01,0.7,1.1249644557543486e7
0.83,0.36,0.88,1.1174654050585195e7
0.13,0.43,0.03,1.1251369241589986e7
0.03,0.12,0.22,1.1241446822092228e7
0.75,0.54,0.85,1.1102637618239865e7
0.64,0.98,0.02,1.1258122761843657e7
0.92,0.98,0.61,1.1219239050296167e7
0.14,0.71,0.1,1.1277459828575712e7
0.98,0.21,0.47,1.1219686513007855e7
0.85,0.53,0.07,1.106598109448105e7
0.09,0.11,0.09,1.1048510538288206e7
0.56,0.53,0.12,1.1023356577449672e7
0.17,0.31,0.79,1.1201177934404386e7
0.7,0.31,0.69,1.113339043169679e7
0.04,0.61,0.65,1.1277619101752434e7
0.09,0.25,0.52,1.1236661612240817e7
0.97,0.48,0.9,1.1207516943884531e7
0.61,0.22,0.81,1.1139819964514514e7
0.82,0.09,0.37,1.1220389021623725e7
0.25,0.72,0.36,1.126634160656623e7
0.64,0.04,0.86,1.1215822967559785e7
0.28,0.7,0.71,1.1263459939842038e7
0.62,0.17,0.45,1.1150790730699224e7
0.65,0.91,0.69,1.1236995383744005e7
0.88,0.02,0.82,1.1247640151316252e7
0.02,0.48,0.23,1.1278967312816609e7
1.0,0.9,0.36,1.116751147386986e7
0.75,0.94,0.57,1.1229580037669491e7
0.39,0.39,0.48,1.105600243299293e7
0.92,0.22,0.44,1.1204856725071825e7
0.25,0.91,0.81,1.1279149485391792e7
0.47,0.29,0.65,1.1058320195162779e7
0.63,0.67,0.25,1.1067888718635973e7
0.89,0.33,0.2,1.1136966624468591e7
0.92,0.44,0.5,1.117194400730175e7
0.74,0.25,0.85,1.1170710468899256e7
0.1,0.79,0.21,1.127858561270309e7
0.37,0.66,0.63,1.122402085872474e7
0.93,0.64,0.24,1.1109197814653791e7
0.96,0.6,0.12,1.1109081195179125e7
0.46,0.29,0.53,1.104548978602418e7
0.5,0.88,0.04,1.1240870910523579e7
0.06,0.36,0.18,1.1270862346688993e7
0.9,0.19,0.25,1.1189079244651524e7
0.71,0.52,0.67,1.1079422792795062e7
0.26,0.35,0.9,1.1151110349725883e7
0.11,0.33,0.62,1.1250518054180708e7
0.78,0.6,0.59,1.1083743113110866e7
0.7,0.81,0.41,1.1139110717860382e7
0.6,0.58,0.81,1.108230611988962e7
0.22,0.77,0.24,1.1273542191506334e7
0.7,0.91,0.65,1.12241352720983e7
0.04,0.25,0.14,1.1266818872911647e7
0.93,0.21,0.97,1.1225972769116849e7
0.2,0.66,0.95,1.1274088954169933e7
0.53,0.23,0.39,1.108278636210864e7
0.89,0.14,0.46,1.1219080832716594e7
0.39,0.94,0.43,1.1273875109469367e7
0.69,0.95,0.25,1.1242682719550245e7
0.63,0.43,0.19,1.10149033065155e7
0.68,0.57,0.66,1.106544464905026e7
0.7,0.55,0.63,1.1068313425693177e7
0.56,0.79,0.47,1.1197544345882755e7
0.32,0.66,0.65,1.1243496448671298e7
0.7,0.2,0.15,1.1119099334365942e7
0.54,0.84,0.35,1.1225380132177902e7
0.67,0.74,0.85,1.112778425719424e7
0.38,0.34,0.96,1.1080689824871596e7
0.76,0.69,0.75,1.1081588274605209e7
0.93,0.11,0.15,1.1205959225446455e7
0.52,0.61,0.33,1.109621886806366e7
0.99,0.45,0.43,1.118836642972551e7
0.47,0.09,0.94,1.1165472070639726e7
0.38,0.71,0.74,1.1239462329475062e7
0.05,0.66,0.26,1.12781308062538e7
0.64,0.95,0.88,1.125573722679593e7
0.3,0.5,0.12,1.1160844007184718e7
0.63,0.63,0.94,1.1097893776861085e7
0.53,0.49,0.21,1.1019028550487718e7
0.02,0.48,0.12,1.1278623005827868e7
0.8,0.9,0.43,1.1167409010620005e7
0.66,0.85,0.06,1.1181852965445595e7
0.78,0.89,0.41,1.1167595155973893e7
0.69,0.47,0.09,1.1020360382010998e7
0.95,0.31,0.35,1.118515925993473e7
0.67,0.11,0.52,1.1193054056627687e7
0.22,0.47,0.87,1.1235612027690185e7
0.01,0.42,0.72,1.1278783670586266e7
0.51,0.21,0.89,1.111496527945603e7
0.41,0.12,0.22,1.110865815660505e7
0.61,0.48,0.37,1.1028938708406966e7
0.63,0.74,0.13,1.1113184977189591e7
0.42,0.24,0.9,1.107727300658556e7
0.19,0.07,0.73,1.1101499578403797e7
0.98,0.45,0.66,1.1203325856482511e7
0.27,0.88,0.7,1.1278370013264898e7
0.83,0.32,0.13,1.1102513072610997e7
