α_v,α_s,α_v_error,α_s_error,decay,MSE
0.47,0.52,0.55,0.5,0.54,1.9402215398074612e7
0.17,0.7,0.51,0.64,0.2,1.863953124116346e7
0.67,0.17,0.84,0.06,0.89,1.910037460499967e7
0.36,0.59,0.69,0.56,0.65,1.899211178574677e7
0.36,0.37,0.91,0.94,0.12,1.949235212660395e7
0.36,0.8,0.74,0.36,0.04,1.895807785372615e7
0.81,0.83,0.43,0.86,0.66,1.9452434078901354e7
0.66,0.37,0.43,0.52,1.0,1.9390208122901518e7
0.68,0.51,0.63,0.89,0.19,1.9579449726029113e7
0.97,0.44,0.74,0.38,0.47,1.9154903614610974e7
