α_v,α_s,decay,MSE
0.36,0.84,0.5,3.822259713606863e7
0.72,0.5,0.44,3.949443458284656e7
0.59,0.16,1.0,3.920145311474643e7
0.15,0.32,0.14,3.838780453190081e7
0.6,0.79,0.22,3.853483232209899e7
0.82,0.09,0.71,3.880477503000638e7
0.75,0.89,0.03,3.878603078687128e7
0.55,0.49,0.42,3.9409943828268096e7
0.83,0.03,0.63,3.869765599820589e7
0.68,0.07,0.94,3.8897259383742765e7
0.76,0.05,0.02,3.887109003395266e7
0.34,0.53,0.57,3.857150487768989e7
0.59,0.22,0.49,3.932233554407639e7
0.63,0.2,0.83,3.922601375980463e7
0.65,0.64,0.64,3.934894865683489e7
0.43,0.18,0.74,3.946293472662027e7
1.0,0.28,0.69,3.885595591412823e7
0.81,0.86,0.97,3.917986941997722e7
0.13,0.83,0.81,3.839511450215019e7
0.09,0.74,0.09,3.8150164345669776e7
0.92,0.17,0.56,3.88254740155871e7
0.1,0.28,0.08,3.827670430135582e7
0.43,0.89,0.01,3.878142243851516e7
0.88,0.19,0.31,3.887881153628256e7
0.42,0.87,0.63,3.8276142470216274e7
0.47,0.52,0.75,3.909081196931649e7
0.91,0.59,0.04,3.939020081449105e7
0.01,0.52,0.11,3.850579828500988e7
0.23,0.85,0.86,3.83449673502553e7
1.0,0.55,0.83,3.899737769874566e7
0.67,0.28,0.76,3.930245482090525e7
0.93,0.19,0.54,3.883871562573954e7
0.13,0.62,0.26,3.825730684308783e7
0.53,0.46,0.04,3.935408112360651e7
0.28,0.38,0.79,3.877986929686108e7
0.27,0.69,0.27,3.816822082276453e7
0.5,0.4,0.17,3.946769157288461e7
0.32,0.79,0.26,3.8118405684070066e7
0.56,0.28,0.21,3.9451554475857824e7
0.84,0.15,0.73,3.887788076497541e7
0.15,0.26,0.27,3.857217473522138e7
1.0,0.61,0.47,3.9006194794266835e7
0.06,0.54,0.64,3.843415314305438e7
0.71,0.07,0.25,3.884303866302672e7
0.35,0.58,0.12,3.8365745823399976e7
0.73,0.4,1.0,3.937249094795336e7
0.89,0.86,0.92,3.951626648285262e7
0.57,0.18,0.08,3.922462869643857e7
0.22,0.05,0.32,3.937175681296676e7
0.66,0.82,0.28,3.862396881308619e7
0.41,0.12,0.34,3.93422200619344e7
0.61,0.68,0.18,3.899736478137502e7
0.41,0.04,0.18,3.90458581792909e7
0.91,0.84,0.24,3.95273949217863e7
0.8,0.36,0.84,3.920258467341718e7
0.32,0.3,0.44,3.923896764589198e7
0.81,0.18,0.33,3.89444834090537e7
0.02,0.58,0.97,3.848858051630761e7
0.06,0.71,0.74,3.845626646934164e7
0.36,0.26,0.8,3.94701917494282e7
0.08,0.24,0.93,3.841142685030743e7
0.65,0.87,0.11,3.840393364686909e7
0.46,0.24,0.49,3.950903986557513e7
0.25,0.35,0.83,3.875051941640456e7
0.14,0.43,0.32,3.832092560394518e7
0.68,0.46,0.05,3.952652247660618e7
0.22,0.1,0.37,3.952177754562227e7
0.71,0.07,0.16,3.881401607913684e7
0.08,0.08,0.54,3.9067022842217825e7
0.42,0.9,0.43,3.818002593939986e7
0.7,0.26,0.22,3.921721687387222e7
