α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.69,0.48,0.21,0.1,0.56,0.46,0.09,0.26,1.6347490797278581e7
0.44,0.11,0.81,0.84,0.17,0.91,0.61,0.24,1.6252941580071587e7
1.0,0.55,0.91,0.89,0.95,0.84,0.59,0.5,1.6261996013052301e7
0.21,0.46,0.1,0.4,0.75,0.17,0.2,0.61,1.6499438951762658e7
0.07,0.51,0.05,0.36,0.26,0.4,0.02,0.66,1.6558205858010378e7
0.44,0.06,0.72,0.75,0.1,0.11,0.1,0.4,1.6290553136538485e7
0.21,0.67,0.66,0.43,0.39,0.75,0.69,0.96,1.656167455697637e7
0.29,0.4,0.01,0.04,0.72,0.62,0.4,0.07,1.6528728252027487e7
0.09,0.62,0.77,0.06,0.4,0.03,0.06,0.65,1.6553543705656093e7
0.18,0.69,0.43,0.99,0.42,0.71,0.75,0.19,1.654975785528316e7
