α_v,α_s,decay,MSE
0.31,0.46,0.21,1.5331905468632326e7
0.31,0.09,0.89,1.4626106259292083e7
0.82,0.85,0.99,1.515565198397166e7
0.52,0.38,0.42,1.4846498890810354e7
0.32,0.4,0.03,1.521435780969458e7
0.85,0.23,0.99,1.4803772204893138e7
0.88,0.79,0.04,1.4985563647954825e7
0.98,0.24,0.54,1.4903137613505555e7
0.01,0.84,0.79,1.5025005695003938e7
0.15,0.8,0.64,1.5164385078021443e7
0.69,0.33,0.74,1.469336109820568e7
0.78,0.86,0.03,1.523560019030815e7
0.43,0.9,0.26,1.5299319538728248e7
0.48,0.53,0.94,1.5111400050274897e7
0.78,0.49,0.95,1.4719099857763076e7
0.52,0.8,0.7,1.5353622860384848e7
0.6,0.62,0.87,1.5066499196799884e7
0.75,0.76,0.23,1.5143716705312671e7
0.81,0.43,0.32,1.4808030590004798e7
0.07,0.7,0.22,1.5108274379265368e7
1.0,0.42,0.92,1.4890730173939738e7
0.62,0.63,0.93,1.504522499239842e7
0.38,0.97,0.37,1.5246055225177418e7
0.67,0.01,0.3,1.4914251527922396e7
0.74,0.11,0.38,1.4840316739224223e7
0.02,0.93,0.25,1.501096602140986e7
0.65,0.64,0.52,1.506056542464906e7
0.52,0.28,0.48,1.47226550863471e7
0.71,0.16,0.39,1.479890256967107e7
0.05,0.22,0.43,1.5293533700298732e7
0.45,0.86,0.82,1.5323292089826439e7
0.94,0.2,0.52,1.4889924886206917e7
0.87,0.93,0.22,1.529815490368636e7
0.71,0.2,0.88,1.4729663945251768e7
0.94,0.28,0.44,1.4874803229161138e7
0.23,0.24,0.55,1.5087043508717988e7
0.89,0.36,0.93,1.4802473324787576e7
0.24,0.54,0.8,1.5347822421505094e7
0.18,0.5,0.17,1.530704852881133e7
0.73,0.27,0.18,1.4764648729245426e7
0.42,0.21,0.06,1.4766090709428772e7
0.69,0.85,0.7,1.533348960054922e7
0.9,0.84,0.57,1.4943771077348758e7
0.86,0.87,0.26,1.5154486133063337e7
0.17,0.15,0.77,1.4907006552058904e7
0.95,0.61,0.72,1.4868626810964135e7
0.22,0.14,0.96,1.4698126571177686e7
0.92,0.23,0.26,1.4855839955939772e7
0.62,0.39,0.92,1.4669980321723478e7
0.44,0.91,0.32,1.5297898136483213e7
0.06,0.05,0.79,1.4883575038473368e7
0.12,0.8,0.25,1.5128522786279688e7
0.58,0.73,0.95,1.5292777587952964e7
0.63,0.42,0.92,1.4687863359693103e7
0.88,0.82,0.2,1.499507828390064e7
0.45,0.54,0.41,1.5242541977809846e7
0.19,0.74,0.93,1.523203077349057e7
0.82,0.79,0.85,1.4986095967128815e7
0.28,0.94,0.77,1.52047229539746e7
0.17,0.97,0.62,1.5120732119876143e7
0.44,0.1,0.53,1.4717780565428214e7
0.86,0.08,0.43,1.490394927385475e7
0.92,0.03,0.83,1.4949888172485024e7
1.0,0.58,0.72,1.4914044741282573e7
0.73,0.04,0.72,1.4866909444408923e7
0.44,0.66,0.86,1.5337582424474167e7
0.21,0.93,0.83,1.5163273193932004e7
0.1,0.14,0.92,1.5207187012997253e7
0.25,0.1,0.7,1.4646226587328779e7
0.15,0.75,0.16,1.5174967510460207e7
0.84,0.74,0.82,1.4863787076991824e7
0.75,0.71,0.15,1.5055631774121648e7
0.56,0.89,0.51,1.5341763429982163e7
0.34,0.57,0.42,1.5351774694849573e7
0.86,0.88,0.01,1.5224536191531265e7
0.63,0.78,0.06,1.5300300935292356e7
0.87,0.01,0.83,1.4943043711051278e7
0.15,0.87,0.24,1.513415095554811e7
0.85,0.93,0.76,1.5319320875425797e7
0.15,0.56,1.0,1.5286784855399719e7
0.36,0.55,0.35,1.5341235283925535e7
0.36,0.13,0.57,1.4671616759436263e7
0.92,0.75,0.42,1.489227507611945e7
0.1,0.7,0.03,1.5145507149703175e7
0.61,0.62,0.39,1.5119511534585305e7
0.15,0.47,0.9,1.5323696876015129e7
0.93,0.84,0.51,1.491505986506234e7
0.29,0.41,0.78,1.5268419664483476e7
0.24,0.75,0.08,1.5263577615549281e7
0.1,0.62,0.67,1.519024363584602e7
0.24,0.94,0.65,1.5179687363445079e7
0.3,0.84,0.17,1.5261758543967696e7
0.81,0.24,0.94,1.4773784321517099e7
0.61,0.55,0.36,1.5004929765335305e7
