α_v,α_s,decay,MSE
0.23,0.59,0.29,1.6060820319992065e7
0.92,0.35,0.48,1.5436414786138311e7
0.85,0.37,0.62,1.5423634095498439e7
0.82,0.84,0.79,1.592487474657572e7
0.45,0.55,0.71,1.6024520677985637e7
0.65,0.66,0.06,1.5755950453205869e7
0.57,1.0,0.72,1.594799282108792e7
0.26,0.82,0.41,1.5941647794703469e7
0.47,0.44,0.95,1.581322107030705e7
0.31,0.05,0.22,1.5389018047869474e7
0.75,0.98,0.27,1.6062941101340063e7
0.56,0.31,0.9,1.547832345177668e7
0.27,0.47,0.79,1.610258477601311e7
0.99,0.5,0.62,1.547332804659295e7
0.44,0.57,0.89,1.6060133920493418e7
0.52,0.61,0.55,1.6004326648605173e7
0.97,0.53,0.73,1.5465553751903795e7
0.27,0.18,0.62,1.5575457754783604e7
0.43,0.72,0.61,1.6093720993806476e7
0.77,0.44,0.67,1.5425684603136037e7
0.03,0.33,0.86,1.5933803639063213e7
0.22,0.97,0.19,1.587186182501768e7
0.94,0.11,0.18,1.5471023029976679e7
1.0,0.07,0.85,1.5586915478208868e7
0.95,0.78,0.34,1.5476823753143294e7
0.84,0.51,0.76,1.5434328675304271e7
0.1,0.41,0.9,1.6001794092324678e7
0.94,0.73,0.48,1.546629526513055e7
0.64,0.1,0.99,1.5485194557012545e7
0.39,0.46,0.48,1.5971976624246363e7
0.33,0.68,0.86,1.606029280594071e7
0.27,0.24,0.24,1.5666171855584377e7
0.63,0.41,0.27,1.5424814833758174e7
0.06,0.92,0.27,1.5708093709321588e7
0.71,0.8,0.67,1.6042265970914204e7
0.11,0.29,0.76,1.6081003767943624e7
0.43,0.37,0.47,1.5695068942290451e7
0.86,0.85,0.12,1.5790081883562546e7
0.39,0.42,0.19,1.5837200767179314e7
0.86,0.58,0.24,1.5411477828202369e7
0.03,0.96,0.22,1.5659847746313725e7
0.36,0.9,0.6,1.5939800052274752e7
0.05,0.85,0.53,1.571921617057271e7
0.59,0.71,0.25,1.6023631997062635e7
0.96,0.77,0.32,1.5470964232200949e7
0.26,0.98,0.23,1.5886505876573361e7
0.97,0.49,0.19,1.5397179989056438e7
0.82,0.05,0.17,1.551469655369924e7
0.32,0.82,0.87,1.5956228203582374e7
0.52,0.59,0.5,1.5970760451954238e7
0.25,0.83,0.53,1.5913760964908244e7
0.62,0.17,0.17,1.532140675352243e7
0.64,0.95,0.72,1.6027577427190743e7
0.9,0.04,0.84,1.5575642550424002e7
0.2,0.36,0.25,1.6094376001865305e7
0.24,0.2,0.57,1.5705382345594905e7
0.08,0.2,0.55,1.609418554448998e7
0.18,0.63,0.71,1.5964624109400494e7
0.76,0.8,0.36,1.5945466484683301e7
0.34,0.04,0.6,1.546670841944966e7
0.19,0.31,0.06,1.6049913216852892e7
0.72,0.48,0.75,1.5475183909668382e7
0.27,0.18,0.64,1.5580006388379563e7
0.25,0.02,0.13,1.5440123589638928e7
0.6,0.33,0.44,1.5405983727964973e7
0.95,0.34,0.47,1.5449683095893241e7
0.95,0.37,0.97,1.5475884218259357e7
0.07,0.07,0.07,1.5866560802527618e7
0.49,0.57,0.84,1.6000515175851736e7
0.83,0.8,1.0,1.576511900542618e7
0.05,0.25,0.86,1.6012923200818803e7
0.02,0.39,0.44,1.5872526726304775e7
0.55,0.06,0.49,1.5469767842109088e7
0.29,0.68,0.96,1.6031570128679704e7
0.5,0.58,0.68,1.5995799014898533e7
0.1,0.71,0.41,1.583851426751135e7
0.09,0.87,0.46,1.5751341413041092e7
0.77,0.51,0.9,1.5464862574219413e7
0.19,0.47,0.64,1.6069708144419294e7
0.72,0.98,0.87,1.6014446923691504e7
0.61,0.59,0.34,1.5786307860308565e7
0.91,0.94,0.66,1.6028791641424786e7
0.25,0.92,0.11,1.5951581797513887e7
0.55,0.63,0.17,1.5937480354521204e7
0.42,0.16,0.82,1.544890819761771e7
0.2,0.87,0.78,1.5831257131935263e7
0.52,0.53,0.28,1.5828656007669324e7
0.12,0.4,0.18,1.6047686684323568e7
0.65,0.54,0.34,1.5607304111295663e7
0.13,0.5,0.83,1.5986642055128103e7
1.0,0.04,0.7,1.5599997244140763e7
0.42,0.92,0.6,1.596043414412212e7
0.67,0.29,0.26,1.5332338350417811e7
0.05,0.08,0.2,1.6064557957642388e7
0.53,0.66,0.84,1.6060622547463179e7
0.39,0.51,0.25,1.6012849230545916e7
0.07,0.03,0.76,1.5532575395211816e7
0.22,0.52,0.9,1.6067661238547057e7
0.76,0.14,0.96,1.5485601254281573e7
0.89,0.39,0.43,1.5413153295464367e7
0.13,0.49,0.03,1.6034693065863095e7
0.75,0.91,0.38,1.610261867553078e7
0.39,0.47,0.25,1.5953120550616624e7
0.93,0.35,0.33,1.5412874782773567e7
