α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.02,0.15,0.2,0.83,0.59,0.67,0.29,0.86,3.9052637157392025e7
0.45,0.85,0.3,0.7,0.39,0.66,0.97,0.35,3.922715166395767e7
0.89,0.65,0.39,0.45,0.65,0.31,0.32,0.94,3.7937286704278655e7
0.09,0.57,0.79,0.42,0.8,0.16,0.43,0.33,3.8948909720481776e7
0.35,0.73,0.68,0.52,0.18,0.22,0.99,0.26,3.922674105311379e7
0.5,0.08,0.96,0.16,0.27,0.71,0.87,0.5,3.826199563459608e7
0.31,0.12,0.11,0.02,0.43,0.31,0.76,0.3,3.797320843550146e7
0.87,0.18,0.21,0.04,0.06,0.91,0.71,0.51,3.818069703989053e7
0.91,0.05,0.27,0.77,0.34,0.22,0.73,0.13,3.8185435104706734e7
0.68,0.26,0.65,0.13,0.52,0.81,0.06,0.78,3.888631676688786e7
