α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.19,0.89,0.82,0.17,0.84,0.23,0.14,0.47,3.150667966701492e7
0.42,0.17,0.59,0.38,0.26,0.98,0.83,0.66,3.153106783735258e7
0.93,0.83,0.04,0.76,0.15,0.17,0.36,0.21,3.152051127549185e7
0.82,0.28,0.63,0.3,0.62,0.38,0.74,0.99,3.170294479709327e7
0.1,0.31,0.87,1.0,0.7,0.15,0.04,0.55,3.1586957590529468e7
0.71,0.1,0.97,0.02,0.12,0.58,0.85,0.66,3.173053438689854e7
0.74,0.18,0.64,0.32,0.11,0.15,0.47,0.65,3.1705911006265625e7
0.36,0.66,0.48,0.95,0.27,0.07,0.68,0.21,3.1343058350773536e7
0.79,0.11,0.41,0.29,0.05,0.87,0.48,0.05,3.1748454568118602e7
0.3,0.99,0.19,0.73,0.73,0.25,0.51,0.36,3.1683248439447694e7
