α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.2,0.72,0.38,0.93,0.5,0.75,0.27,0.29,1.6378386994346442e7
0.94,0.55,0.37,0.9,0.9,0.45,0.81,0.04,1.5500571485524885e7
0.45,0.94,0.77,0.83,0.57,0.32,0.73,0.02,1.6346671283575404e7
0.96,0.88,0.76,0.47,0.74,0.82,0.19,0.43,1.6080430155497976e7
0.18,1.0,0.34,0.23,0.95,0.92,0.46,0.97,1.6309374645156847e7
0.65,0.33,0.44,0.38,0.33,0.03,0.61,0.03,1.5313197363703104e7
0.96,0.41,0.44,0.14,0.73,0.98,0.93,0.4,1.592371970577761e7
0.07,0.53,0.74,0.16,0.45,0.86,0.91,0.26,1.6377484811494868e7
0.32,0.67,0.67,0.18,0.77,0.51,0.02,0.48,1.5866675081553023e7
0.59,0.59,0.05,0.46,0.57,0.74,0.45,0.21,1.5774785562953092e7
