α_v,α_s,decay,MSE
0.18,0.54,0.82,5.514047725927357e6
1.0,0.76,0.29,5.440295808493541e6
0.16,0.13,0.63,5.422969357384015e6
0.1,0.43,0.77,5.504895193184984e6
0.87,0.97,0.67,5.532324866029918e6
0.56,0.42,0.76,5.419715709726317e6
0.06,0.96,0.76,5.447049036289257e6
0.98,0.06,0.49,5.425216637792649e6
1.0,0.81,0.14,5.456207668434926e6
0.93,0.98,0.83,5.53360160667951e6
0.44,0.79,0.72,5.526159056915151e6
0.78,0.68,0.75,5.444133612738518e6
0.73,0.29,0.84,5.392598743959578e6
0.06,0.88,0.22,5.455363362497708e6
0.29,0.6,0.37,5.530395898053698e6
0.35,0.84,0.15,5.523875293656573e6
0.14,0.79,0.72,5.476473133180097e6
0.68,0.7,0.6,5.49476155007667e6
0.52,0.71,0.88,5.533843962736141e6
0.95,0.78,0.66,5.429301224275133e6
0.18,0.93,0.57,5.474135525805622e6
0.29,0.84,0.89,5.497875899303274e6
0.32,0.21,0.68,5.395382926541702e6
0.12,0.91,0.9,5.461111454310768e6
0.92,0.24,0.32,5.403695102485187e6
0.2,0.78,0.49,5.4927837397529e6
0.74,0.41,0.37,5.392672471856185e6
0.81,0.5,0.22,5.405342186433175e6
0.04,0.92,0.56,5.445488431357447e6
0.3,0.04,0.18,5.375507462885086e6
0.03,0.08,0.75,5.531637516402796e6
0.41,0.83,0.28,5.524658552084941e6
1.0,0.34,0.89,5.42159042109807e6
0.39,0.6,0.6,5.533977673216489e6
0.9,0.46,0.27,5.406308977164765e6
0.65,0.49,0.89,5.422911369738178e6
0.28,0.34,0.56,5.505194140292365e6
0.19,0.36,0.66,5.534346364125555e6
0.38,0.88,0.34,5.514646156583692e6
0.04,0.98,0.58,5.442503760193333e6
0.65,0.85,0.82,5.533969618220843e6
0.84,0.56,0.06,5.421653053861868e6
0.99,0.78,0.87,5.434437266794004e6
0.15,1.0,0.22,5.4731740488433335e6
0.76,0.44,0.06,5.400033743994752e6
0.96,0.47,0.64,5.416685777563747e6
0.89,0.6,0.46,5.414449780398186e6
0.84,0.61,0.13,5.426269865246214e6
0.71,0.95,0.95,5.524208324766841e6
0.85,0.55,0.92,5.411923612443849e6
0.37,0.14,0.49,5.36387654223484e6
0.65,0.91,0.34,5.531829446963582e6
0.54,0.43,0.35,5.426899443227047e6
0.91,0.02,0.21,5.425866343493378e6
0.13,0.29,0.03,5.525645104021791e6
0.03,0.49,0.32,5.471179076193698e6
0.55,0.81,0.48,5.533555414517037e6
0.4,0.03,0.9,5.385469789886789e6
0.37,0.82,0.9,5.512158334196737e6
0.67,0.59,0.09,5.450768897780974e6
0.3,0.94,0.97,5.486880589816471e6
0.13,0.06,0.58,5.3628434274508115e6
0.27,0.15,0.16,5.36491977366039e6
0.43,0.04,0.08,5.386131308030997e6
0.8,0.4,0.79,5.3995379098694725e6
0.96,0.78,0.02,5.455408610384799e6
0.83,0.2,0.2,5.391555941698727e6
0.75,0.94,0.67,5.530704518572858e6
0.77,0.03,0.28,5.414826728449857e6
0.31,0.53,0.01,5.469644661096359e6
0.27,0.03,0.98,5.379034439137105e6
0.52,0.16,0.78,5.37754336349177e6
0.42,0.99,0.02,5.523389170650171e6
0.64,0.99,0.22,5.525848466091396e6
0.74,0.41,0.44,5.393273168209139e6
0.38,0.23,0.66,5.387347005204634e6
0.34,0.15,0.17,5.35556534632927e6
0.96,0.03,0.68,5.427454699296853e6
