α_v,α_s,α_v_error,α_s_error,decay,MSE
0.53,0.48,0.31,0.64,0.39,3.789469416186254e7
0.45,0.88,0.13,0.07,0.84,3.744902186421131e7
0.01,0.36,0.06,0.61,0.75,3.73702905961144e7
0.54,0.48,0.26,0.78,0.91,3.8108140268926024e7
0.78,0.65,0.13,0.87,0.18,3.797077688963037e7
0.18,0.7,0.97,0.01,0.44,3.770867316915722e7
0.14,0.35,0.78,0.88,0.17,3.822214157821085e7
0.51,0.41,0.16,0.46,0.48,3.777697641057111e7
0.89,0.02,0.33,0.63,0.14,3.674582140023861e7
0.96,0.11,0.62,0.44,0.69,3.674936437124517e7
