α_v,α_s,α_v_error,α_s_error,decay,MSE
0.53,0.82,0.8,0.98,0.31,4.3234665331742294e7
0.87,0.12,0.11,0.94,0.94,4.208132781561605e7
0.6,0.37,0.99,0.32,0.99,4.205664518651937e7
0.49,0.82,0.25,0.94,0.88,4.272252249821783e7
0.61,0.18,0.26,0.7,0.69,4.192321018021529e7
0.61,0.19,0.93,0.12,0.3,4.128136283347391e7
0.32,0.7,0.77,0.8,0.19,4.322973879847739e7
0.15,0.22,0.05,0.66,0.57,4.330749523963378e7
0.47,0.26,0.41,0.94,0.36,4.189699114992064e7
0.12,0.69,0.22,0.87,0.83,4.235100380638868e7
