α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.6,0.48,0.04,1.0,0.37,0.32,0.75,0.5,3.784864771208476e7
0.63,0.77,0.61,0.35,0.8,0.54,0.13,0.34,3.784058099689345e7
0.29,0.41,0.03,0.9,0.99,0.87,0.42,0.18,3.830730197714362e7
0.8,1.0,0.74,0.1,0.44,0.96,0.6,0.37,3.7866405339878924e7
0.97,0.49,0.88,0.14,0.03,0.06,0.97,0.67,3.709483718436733e7
0.31,0.37,0.56,0.19,0.69,0.92,0.68,0.26,3.814359107966629e7
0.9,0.3,0.22,0.64,0.05,0.88,0.97,0.77,3.7011457606985606e7
0.56,0.81,0.19,0.25,0.38,0.37,0.51,0.1,3.823080420072611e7
0.26,0.28,0.98,0.11,0.2,0.45,0.65,0.64,3.796071542714756e7
0.38,0.12,0.66,0.06,0.85,0.69,0.84,0.24,3.631450985958609e7
