α_v,α_s,decay,MSE
0.33,0.75,0.87,1.8794659748132054e7
0.81,0.96,0.55,1.8987729773081265e7
0.89,0.92,0.01,1.958636794214381e7
0.88,0.08,0.95,1.8885837838887285e7
0.27,0.91,0.91,1.873853012732156e7
0.33,0.32,0.08,1.954306243157878e7
0.25,0.1,0.12,1.9400093820941113e7
0.8,0.89,0.3,1.9231437576321267e7
0.92,0.82,0.42,1.9564063012648415e7
0.71,0.6,0.72,1.9590267938451644e7
0.99,0.27,0.1,1.9137024828568153e7
0.8,0.38,0.54,1.926588494049379e7
1.0,0.01,0.66,1.8816119182429675e7
0.48,0.72,0.65,1.8982866373886462e7
0.63,0.64,0.36,1.947468458275046e7
0.11,0.9,0.15,1.8624690041060414e7
0.51,0.55,0.04,1.9536277929033957e7
0.27,0.71,0.44,1.8719570279609323e7
0.28,0.97,0.68,1.8733589180331644e7
0.01,0.32,0.69,1.8809479571596134e7
0.05,0.41,0.57,1.8752474216498245e7
0.53,0.38,0.7,1.95718179075337e7
0.49,0.34,0.56,1.9573002491193026e7
0.03,0.4,0.18,1.8653580342525527e7
0.7,0.51,0.83,1.9531608658351596e7
0.2,0.17,0.18,1.956463522072265e7
1.0,0.24,0.57,1.8960053909129478e7
0.75,0.93,0.88,1.899080928413998e7
0.5,0.79,0.03,1.921072213293569e7
0.36,0.51,0.93,1.922340947485173e7
0.07,0.05,0.16,1.9592044676616956e7
0.3,0.77,0.37,1.871485125297355e7
0.84,0.76,0.24,1.9591523704726245e7
0.47,0.07,0.09,1.9043532898604963e7
0.92,0.52,0.21,1.93403709782277e7
0.97,0.48,0.85,1.912659414380815e7
0.92,0.97,0.04,1.9402739863968674e7
0.33,0.91,0.22,1.87248380732284e7
0.98,0.31,0.27,1.908755886210951e7
0.63,0.85,0.66,1.897912585079883e7
0.09,0.25,0.89,1.8980519119234838e7
0.04,0.86,0.58,1.873988831290705e7
0.44,0.23,0.57,1.947719665166643e7
0.27,0.22,0.9,1.959124856016684e7
0.83,0.63,0.02,1.9552463374756284e7
0.43,0.36,0.32,1.9579549298904356e7
0.02,0.21,0.15,1.8691291189334333e7
0.21,0.32,0.51,1.9158178475860126e7
0.38,0.58,0.37,1.902818708627159e7
0.12,0.41,0.28,1.87179017355679e7
0.73,0.93,0.98,1.8981537925239414e7
0.46,0.47,0.18,1.948210257835707e7
0.49,0.9,0.95,1.8828576084963433e7
0.72,0.54,0.61,1.955346410495634e7
0.6,0.47,0.39,1.959102335591313e7
0.49,0.44,0.87,1.958110935279275e7
0.97,0.1,0.53,1.8872473904429574e7
0.63,0.24,0.36,1.9277461225311972e7
0.43,0.69,0.55,1.893865914274797e7
0.21,0.39,0.43,1.896902821959377e7
0.31,0.52,0.57,1.89998434686574e7
0.59,0.33,0.33,1.9478873140262507e7
0.28,0.76,0.12,1.8750704702592704e7
0.04,0.19,0.13,1.8710198524463113e7
0.88,0.05,0.39,1.886961974983788e7
0.91,0.77,0.31,1.9543833020417433e7
1.0,0.73,0.84,1.924872857336988e7
0.05,0.91,0.55,1.8740481998329353e7
0.08,0.25,0.22,1.8776936615375422e7
0.73,0.38,0.85,1.9320651336388685e7
0.77,0.76,0.79,1.953524236929644e7
0.47,0.91,0.55,1.878385066133823e7
0.33,0.85,0.92,1.8759711106705178e7
0.19,0.72,0.07,1.8699764911360335e7
0.94,0.1,0.87,1.8874049843851976e7
0.57,0.94,0.65,1.8832299356819246e7
0.95,0.16,0.66,1.8916214586124677e7
0.7,0.89,0.55,1.899810071092079e7
0.3,0.42,0.74,1.923415015696865e7
0.01,0.86,0.01,1.8816734231301952e7
0.66,0.92,0.57,1.8906989364670042e7
0.5,0.72,0.42,1.9009791442792382e7
0.61,0.46,0.6,1.957907021827759e7
0.24,0.93,0.88,1.8734446255873878e7
0.83,0.1,0.53,1.8929013314884707e7
0.02,0.96,0.52,1.8764891471687097e7
0.44,0.95,0.67,1.8772066126084227e7
0.17,0.74,0.57,1.8690530262811303e7
0.7,0.94,0.98,1.893957474543023e7
0.54,0.59,0.04,1.9527866903448578e7
0.96,0.82,0.52,1.9458186772993147e7
0.12,0.71,0.69,1.8705750806412075e7
0.48,0.93,0.58,1.878620949205326e7
0.47,0.14,0.73,1.9253746909596138e7
0.18,0.51,0.96,1.8855483329610363e7
0.58,0.95,0.87,1.884715601317186e7
0.01,0.25,0.01,1.8870688045422964e7
0.73,0.08,0.64,1.896289588168147e7
0.75,0.97,0.7,1.892174510779659e7
0.88,0.65,0.42,1.9470864167759504e7
0.85,0.51,0.43,1.9370571538630426e7
0.73,0.5,0.4,1.952120288587801e7
0.4,0.08,0.69,1.9204041427493792e7
0.93,1.0,0.58,1.899678912043243e7
0.82,0.86,0.65,1.937699851553966e7
0.82,0.14,0.71,1.8965304206589997e7
0.74,0.11,0.12,1.9001725144080825e7
0.2,0.12,0.53,1.9564779652144235e7
0.62,0.76,0.98,1.9220064305449132e7
0.11,0.95,0.69,1.8735817101762578e7
0.39,0.45,0.93,1.943315427701958e7
0.26,0.27,0.27,1.9459545836576167e7
0.17,0.67,0.57,1.8698430862360172e7
0.73,0.85,0.29,1.9198753022156984e7
0.33,0.92,0.33,1.871653552744303e7
0.1,0.32,1.0,1.8939510143726107e7
0.68,0.55,0.93,1.957806216021522e7
0.65,0.23,0.39,1.9235703760308765e7
0.19,0.5,0.52,1.8788225822563104e7
0.36,0.41,0.05,1.9491295843807068e7
0.62,0.64,0.46,1.9457950293199394e7
0.12,0.24,0.72,1.9066624124636002e7
0.4,0.27,0.84,1.956582809924318e7
0.21,0.79,0.22,1.865515025025692e7
0.34,0.37,0.61,1.944900139903002e7
0.79,0.77,0.8,1.9552948377372734e7
0.79,0.21,0.48,1.9071263683892943e7
0.38,0.85,0.74,1.8762876820316058e7
