α_v,α_s,decay,MSE
0.01,0.12,0.42,2.4670474792271063e7
0.37,0.82,0.42,2.455886492916946e7
0.57,0.01,0.89,2.4728458979039174e7
0.7,0.7,0.08,2.531196440945674e7
0.78,0.52,0.34,2.5379156035476e7
0.49,0.56,0.93,2.5332749755371757e7
0.31,0.24,0.89,2.5452475946184613e7
0.62,0.69,0.15,2.51511480614211e7
0.7,0.17,0.33,2.498018813453628e7
0.16,0.84,0.4,2.450836021149528e7
1.0,0.98,0.11,2.535638782468778e7
0.7,0.39,0.21,2.5368806203149144e7
0.49,0.41,0.82,2.5453231720407568e7
0.66,0.65,0.89,2.5435284045588642e7
0.11,0.49,0.43,2.455773202657593e7
1.0,0.63,0.49,2.505664475487272e7
0.28,0.57,0.51,2.469707873534757e7
0.3,0.52,0.21,2.4712877785081103e7
0.45,0.52,0.36,2.5132626998122722e7
0.08,0.08,0.49,2.5281855624510914e7
0.36,0.47,0.77,2.5168693540346384e7
0.04,0.98,0.52,2.456742851815792e7
0.38,0.87,0.19,2.4525368227877133e7
0.77,0.21,0.02,2.534029551305455e7
0.56,0.45,0.75,2.5450313909084007e7
0.35,0.16,0.46,2.534653326630167e7
0.1,0.23,0.25,2.467437074893479e7
0.53,0.26,0.21,2.5364086914747097e7
0.39,0.37,0.15,2.532026027991528e7
0.51,0.2,0.74,2.514994343949356e7
0.02,0.73,0.8,2.4607875940489903e7
0.06,0.27,0.49,2.465142111681959e7
0.91,0.77,0.71,2.5302495387578234e7
0.58,0.64,0.14,2.517347192290664e7
0.44,0.73,0.01,2.50177705574883e7
0.4,0.16,0.33,2.5292063781606372e7
0.97,0.42,0.98,2.479167057161893e7
0.02,0.27,0.51,2.4637993839525998e7
0.85,0.74,0.15,2.5452637155127265e7
0.59,0.67,0.73,2.5245943640266962e7
0.45,0.73,0.92,2.4926278139576055e7
0.07,0.21,0.77,2.48644506015147e7
0.58,0.17,0.52,2.505379311860889e7
0.86,0.41,0.79,2.49742314147399e7
0.68,0.39,0.96,2.5168702792652898e7
0.23,0.09,0.21,2.531357900261637e7
0.73,0.85,0.73,2.507587464099723e7
0.74,0.11,0.9,2.4732185645715736e7
0.4,0.94,0.39,2.453237126082623e7
0.96,0.95,0.83,2.545321049878486e7
0.89,0.46,0.45,2.5128926108928774e7
0.85,0.82,0.35,2.541283910342634e7
0.77,0.49,0.15,2.5406187819128733e7
0.72,0.06,0.38,2.475650055346635e7
0.19,0.44,0.37,2.4634930859230246e7
0.16,0.94,0.66,2.454210369553881e7
0.34,0.29,0.08,2.5397897031021334e7
0.38,0.74,0.43,2.4622706836796954e7
0.35,0.91,0.35,2.4514131864045523e7
0.08,0.97,0.54,2.4550590222635463e7
0.84,0.41,0.38,2.5174732020901576e7
0.77,0.16,0.98,2.4744673116173327e7
0.91,0.26,0.69,2.481709866925054e7
0.8,0.69,0.33,2.5453167012150563e7
0.8,0.26,0.77,2.4887495842979643e7
0.1,0.82,0.9,2.4594426660705045e7
0.31,0.8,0.27,2.4505084863293536e7
0.34,0.47,0.18,2.492633029117261e7
0.99,0.15,0.21,2.4795065284880787e7
0.32,0.19,0.99,2.5370018527860917e7
0.06,0.45,0.97,2.4751920916197497e7
0.86,0.6,0.84,2.516058192814608e7
0.1,0.61,0.42,2.4532991831629433e7
0.57,0.79,0.7,2.4905379163858652e7
0.44,0.59,0.02,2.511416092061826e7
0.56,0.76,0.85,2.502109878798221e7
0.49,0.51,0.77,2.5365090764244873e7
0.48,0.59,0.38,2.5049964807320036e7
0.74,0.66,0.42,2.544361031955249e7
0.65,0.72,0.1,2.516177948355201e7
0.76,0.46,0.88,2.516073931286806e7
0.95,0.31,0.8,2.4792905167586017e7
0.2,0.52,0.02,2.4625476873550463e7
0.64,0.19,0.7,2.4975805519266784e7
0.21,0.09,0.4,2.5355820161437392e7
0.39,0.29,0.17,2.54406843710965e7
0.76,0.57,0.81,2.5338267964089174e7
0.44,0.31,0.45,2.5453155762652155e7
0.92,0.16,0.73,2.471103326950255e7
0.44,0.39,0.55,2.5411027693035416e7
0.39,0.14,0.19,2.5253442845112193e7
1.0,0.62,0.84,2.490130481566235e7
0.11,0.15,0.2,2.4989445562311344e7
0.87,0.85,0.99,2.5452803221606255e7
0.49,0.52,0.9,2.5384356855150156e7
0.64,0.89,0.67,2.4787932880388368e7
0.53,0.87,0.33,2.4630612756082267e7
0.58,0.49,0.68,2.5452517343637794e7
0.43,0.06,0.34,2.494801984598766e7
0.4,0.93,0.82,2.4622910432956778e7
0.71,0.92,0.37,2.4745012585947063e7
0.12,0.15,0.08,2.5120941540934417e7
0.03,0.49,0.52,2.4589970903707035e7
0.22,0.83,0.49,2.4522583619766522e7
0.15,0.3,0.07,2.4720907536950104e7
0.75,0.77,0.2,2.5269901242373608e7
0.09,0.17,0.89,2.508179054486838e7
0.02,0.18,0.07,2.4578898364526674e7
0.11,0.65,0.07,2.446207222478532e7
0.38,0.92,0.82,2.461912617284534e7
0.9,0.2,0.25,2.49047124522176e7
0.65,0.85,0.93,2.5001395339176163e7
0.82,0.94,0.44,2.4853067595170956e7
0.4,0.21,0.2,2.541031663150082e7
0.95,0.57,0.4,2.5151857751039565e7
0.34,0.2,0.98,2.536195628948495e7
0.61,0.74,0.55,2.5052281094690405e7
0.99,0.42,1.0,2.4770358725500487e7
0.15,0.82,0.8,2.4580562980360948e7
