P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_error,subject
-26.043387230427257,17.996782551200184,4.616057266615972,23.0099336875339,363.02627529589165,377.5090584334602,386.8163523758312,4.4787976672958915e-33,1.6337245259866533e-08,0.09062183572086042,0.09079098295404688,0.0,0.0,0.0,0.17649892087891214,-6757.640385183066,13521.280770366133,13536.732874738911,2350.405500466365,SR_Q_D_E_WOB,0.9251179673529012,0.7721580753906429,0.4302949723890933,sub01
-29.552566401696748,-7.807713899318799,-5.902900350250395,81.07898647421143,409.4176270712367,398.4633640918267,385.09673523306367,2.7994746254675783e-38,0.028060628374642425,0.052464387543164695,3.019561050513897e-06,0.0,0.0,0.0,0.16582599823742972,-6933.728803164566,13873.457606329132,13888.92379523482,2944.271719115276,SR_Q_D_E_WOB,1.0,0.9222503989651558,1.0,sub02
-6.809389318169119,14.101724401011381,35.39031458312317,3.2360206569295715,367.54499238341936,366.4273809136557,380.1858049089949,0.027051807708333216,0.0044883865995676295,1.3820462583240722e-16,0.7690965105404655,0.0,0.0,0.0,0.06800246410019084,-7322.421113122148,14650.842226244296,14666.296682636013,5649.215775551477,SR_Q_D_E_WOB,0.5746734617365267,0.0001,0.4944010194657151,sub04
-57.580158755900534,10.250515358862764,-3.1135997557817205,16.904961011417896,383.358281622197,366.9829359254591,368.4896068833342,1.1590787147692948e-24,0.03341752300119144,0.4508490784134717,0.09168961233356483,0.0,0.0,0.0,0.10153672913919544,-7293.0051672396385,14592.01033447928,14607.46479087099,5394.663566306743,SR_Q_D_E_WOB,0.4548616844437377,0.6901907649546091,0.37597268139318135,sub13
-29.54900239728041,-23.02373423854558,-11.061434509547697,22.308294054037965,441.7926833528914,420.1028085428182,424.77438881374115,3.1557299916964184e-12,4.051798384779828e-06,0.00978447907033753,0.012964241977294427,0.0,0.0,0.0,0.08703539561517848,-7318.77859301173,14643.55718602346,14659.004580819132,5770.977546371252,SR_Q_D_E_WOB,0.6289428049571201,0.8003111783843533,1.0,sub14
-60.2243272714105,13.837295847972966,18.0916121273989,46.03685654407187,416.2774718254458,445.30418683216345,492.16020109478666,3.5603904916450244e-15,0.0327399646221404,0.001208622324171758,0.036133170624603576,0.0,0.0,0.0,0.14018005413171353,-7657.14848552455,15320.2969710491,15335.744365844768,9820.300132431415,SR_Q_D_E_WOB,0.4547228823817871,0.8940869015176589,0.4580579879642455,sub15
-55.327127673557385,26.61887063631312,12.093176389190187,34.6905572653376,368.15148004123427,356.8372667646958,408.41884049928046,1.7850340041592878e-31,5.097846922469537e-06,0.016138634265493244,0.008575967015766827,0.0,2e-323,0.0,0.1610453423857534,-7517.77939207865,15041.5587841573,15057.003821388998,7962.75864818733,SR_Q_D_E_WOB,0.784057050226143,0.7574228514233167,0.0001,sub16
-46.700906575190075,6.749430424718072,19.91439981534179,1.528735852913087,365.17225470676124,354.22468567059167,378.1892019563319,8.490798481747775e-25,0.1943434681370181,9.070234633748718e-06,0.9148823571734518,0.0,0.0,0.0,0.10708768866547567,-7406.507294839152,14819.014589678303,14834.473744583116,6329.0230882356955,SR_Q_D_E_WOB,0.6661533519451424,0.8139674041014008,0.10831563745766104,sub33
-93.71696494281728,0.8616248295659332,-13.867435718646007,28.359850137192453,412.49423946984,426.88566985708763,424.80803997618074,1.5970571966751314e-16,0.8698496337697501,0.0019306278797477426,0.03535787329639425,0.0,0.0,0.0,0.0684763576260875,-7379.53006449802,14765.06012899604,14780.509879504436,6291.4226531484655,SR_Q_D_E_WOB,0.12306363199660215,0.3285962373517362,0.3917880762907744,sub34
-49.912963813458994,13.487864899044258,22.431585480485897,45.91233530083065,404.0754852222826,407.8077654105258,403.6371900677493,1.6039502453153149e-27,0.014872208061376634,2.743355770405329e-06,0.004859303866365971,0.0,0.0,0.0,0.1205779681068352,-7482.733885178167,14971.467770356334,14986.924576924432,7196.5828976159,SR_Q_D_E_WOB,0.7431266973626987,0.9238165950519378,0.009100161880764922,sub35
-115.1031852785299,-12.290631438034465,14.060704590778265,-19.577449242897593,515.8220212820862,538.4642333204149,500.23359271435606,4.205386530954321e-21,0.2866747326309614,0.1563127403336042,0.6404849519879456,6.210473705146952e-298,1.3903400315902603e-231,3.433064148873659e-286,0.07540529653366257,-8348.097664468654,16702.19532893731,16717.628550478268,30941.758123029354,SR_Q_D_E_WOB,0.5193470646393638,0.9833163109442188,0.0001,sub36
-79.27153359345124,23.83672269423221,17.447003373308107,1.2902836168997285,396.9618956872683,391.49543159169406,382.6598671179274,6.267054487503296e-26,2.544220143505488e-05,0.00029167814503762115,0.9105243731221224,0.0,0.0,0.0,0.12367528347722168,-7511.47775454152,15028.95550908304,15044.41935515378,7323.231161471602,SR_Q_D_E_WOB,0.3743601474637738,0.7136176457106145,0.19191083646163065,sub37
-59.495583232867354,9.722823013991944,7.974175234686683,-24.826877492780515,393.06689850113776,404.1523558548345,403.10502710585166,1.2447863701664873e-13,0.08136854277974062,0.095035477879393,0.024558357716324843,0.0,0.0,0.0,0.06290373191416687,-7235.446564833721,14476.893129667442,14492.256887027175,6981.723940806388,SR_Q_D_E_WOB,0.3213746206543785,0.5393986417366378,0.14448900481318247,sub38
