P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,subject
-26.006330278853945,18.17169681007789,4.762275272995788,20.131786143283357,362.81084321129134,377.3142637521365,386.80453482911315,6.966649905015623e-33,1.1842930656401694e-08,0.08098310264745379,0.13937196188752035,0.0,0.0,0.0,0.17592860486754736,-6758.08173326025,13520.1634665205,13530.464869435686,2352.0332747633256,SR_Q_D_WOB,0.91801401257088,0.7640171672478419,sub01
-29.55256642054416,-7.807713850847469,-5.902900335937279,81.07898650038852,409.41762701570013,398.46336399834604,385.09673515458206,2.799474644214878e-38,0.028060629324160626,0.05246438811708992,3.0195610287952516e-06,0.0,0.0,0.0,0.16582599822870747,-6933.728803171262,13871.457606342525,13881.768398946318,2944.271719115276,SR_Q_D_WOB,1.0,0.9222504155882172,sub02
-6.873141879341617,14.13106829962385,35.39310759831346,3.2797975586128234,367.52835463755815,366.4234175299538,380.1801804918116,0.02709895117599604,0.004388646115095564,1.3751010161078568e-16,0.7660411160929871,0.0,0.0,0.0,0.06800025561836676,-7322.422624939165,14648.84524987833,14659.14822080614,5649.229162042238,SR_Q_D_WOB,0.5587706427093572,9.999999999999593e-05,sub04
-58.622217660655146,10.235086491652202,-2.9871552012788816,16.515439256015977,383.29688186458264,366.93172158496895,368.4267054363089,1.2510788758982451e-24,0.033705972019871966,0.4695122197727258,0.09950090215989413,0.0,0.0,0.0,0.10142952621409984,-7293.0812876424925,14590.162575284989,14600.465546212796,5395.307247281779,SR_Q_D_WOB,0.44133385092135424,0.6911588990165921,sub13
-30.16685007073314,-23.07637222285819,-11.205204108971934,21.73497002262529,441.8357817356495,420.4818408127832,424.8275810399749,6.482531883687933e-12,3.942379292897668e-06,0.008926624044156228,0.015531758069632166,0.0,0.0,0.0,0.08601659232118575,-7319.488485531457,14642.976971062913,14653.275234260027,5777.4175451283445,SR_Q_D_WOB,0.6379017228039517,0.7951366947412979,sub14
-60.2050472695237,13.834412683973904,18.090491017901343,46.01841538149836,416.27870313715516,445.3077601407123,492.1611980594088,3.5604935157347535e-15,0.032777302768426435,0.0012094750514557216,0.036208454177291766,0.0,0.0,0.0,0.14018001541853264,-7657.1485141828025,15318.297028365609,15328.595291562722,9820.300574588011,SR_Q_D_WOB,0.4549707586528951,0.8940197388083223,sub15
-54.972727280468,27.817625925127142,12.292705531987874,27.43635083758438,366.9343515285749,354.9817817495994,406.8508565741249,3.7279784559278565e-27,2.219277655252534e-06,0.015258246170687653,0.03969111540175477,0.0,2.76697e-319,0.0,0.14784623434816369,-7527.707558793807,15059.415117587614,15069.711809075416,8088.035159376292,SR_Q_D_WOB,0.7175775821645071,0.809252758141471,sub16
-47.519479525326574,7.494554254141133,19.376567726998857,-3.080599146221473,365.1988358855956,354.11339861202845,378.05552139089826,3.711029941855343e-24,0.14940254139545214,1.6021896270584715e-05,0.8297123976694752,0.0,0.0,0.0,0.10503152840346563,-7407.9770650824785,14819.954130164957,14830.260233434832,6343.597291778626,SR_Q_D_WOB,0.63239888302159,0.7975249998488434,sub33
-108.80840699235884,1.0167860771554142,-13.434918876547322,28.592807274526976,412.3226434071204,425.9872993235695,423.9888639164863,6.347665230091048e-16,0.8468634059351003,0.0026790771363773146,0.03406889219755062,0.0,0.0,0.0,0.06647348484926441,-7380.898210490386,14765.796420980772,14776.096254653037,6304.949866614962,SR_Q_D_WOB,0.11786671456107375,0.4032926522266538,sub34
-52.89776664643313,14.387842795401822,22.49288451043583,45.15469830358275,403.1774418827034,407.23182269543264,403.60435223720384,1.2865834848720754e-26,0.009419745653832952,2.675513713299332e-06,0.005694187730548723,0.0,0.0,0.0,0.11771288497356393,-7484.810683379054,14973.621366758109,14983.925904470174,7220.0287603864235,SR_Q_D_WOB,0.6710490000270184,0.9537246683748288,sub35
-119.64222879005985,-11.839610650222811,13.812136315244622,-17.926101121773005,515.5011465732229,538.3230426967291,500.02223378546097,1.6066347829153226e-20,0.3050904447432318,0.16419429227186905,0.6692245523838921,2.2059299774514317e-297,3.985481518076751e-231,1.1522204632930824e-285,0.07345709728894513,-8349.431098215642,16702.862196431284,16713.151010791928,31006.95502586064,SR_Q_D_WOB,0.4801746407699166,1.0,sub36
