P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,subject
-16.60377891276802,19.19986147512508,4.891854078757412,21.1108591124466,364.18312232480463,378.7296386054245,386.76468944807294,2.150227833830716e-25,2.0553964757321697e-09,0.07128921007744182,0.11705157620253448,0.0,0.0,0.0,0.16328648992004335,-6674.976468692211,13351.952937384422,13357.093390427524,2299.696763271481,SR_Q_WOB,0.8852456137987225,sub01
-21.91567249355593,-6.835413042230562,-6.172748766402652,86.35486899137197,410.3614811840588,399.2686167491266,388.43618918208085,5.921174087928331e-28,0.05806997359425721,0.043649572130438005,6.788307932036736e-07,0.0,0.0,0.0,0.13373125060975988,-6869.4633165358055,13740.926633071611,13746.072617539328,2947.4635461491557,SR_Q_WOB,0.7521538913653618,sub02
-11.438232476519547,18.462457827316253,37.32303740143226,13.089050662838858,370.4982006704959,368.35077312021303,379.9629279295796,0.00018324448301898117,0.00012517981137686758,8.794269308873396e-20,0.2282549214450142,0.0,0.0,0.0,0.0955806011838568,-6941.635222041179,13885.270444082358,13890.380323545429,4937.745581887328,SR_Q_WOB,0.5370582577275904,sub04
-21.551043964986054,17.455012883281967,-7.664683397861825,14.95625482180201,386.9971480668343,367.7422068665631,368.70765526476026,3.7189570630492453e-19,0.00022044707492943077,0.053276697764260986,0.12824304995464456,0.0,0.0,0.0,0.10099458515098024,-6865.487973292358,13732.975946584716,13738.078445940493,4737.845163380219,SR_Q_WOB,0.8419866591007257,sub13
-18.062282235272257,-26.587699609394328,-11.943265054168599,21.692140974154672,445.1201181436349,424.4964311395028,429.2657287933934,1.8882116105157066e-08,7.677478938180203e-07,0.007808737926892397,0.021427678826938558,0.0,0.0,0.0,0.07818677851535316,-6883.567764653839,13769.135529307678,13774.22059360163,5957.386731245454,SR_Q_WOB,0.6290344219863427,sub14
-16.256892604597386,13.374229639057836,16.420480133584892,67.59259484882003,417.35379687655677,444.4198440800971,491.190541521574,3.092406363635022e-08,0.041157743527506056,0.003495993194709254,0.003369109397315517,0.0,0.0,0.0,0.1192351866752588,-7528.997261460767,15059.994522921534,15065.127020473194,9791.550594189082,SR_Q_WOB,1.0,sub15
-27.107132214308105,30.32166230413181,12.517910297820471,32.406970108802746,366.87138181226624,353.0074432386219,402.80920993901634,1.2152652522388514e-17,1.453723815522344e-06,0.016917406371158936,0.01755058850871676,0.0,9.166917457992081e-287,0.0,0.12301269459392085,-7261.713220152379,14525.426440304758,14530.536319767833,8330.405479306903,SR_Q_WOB,0.8479267008005358,sub16
-19.821586170562455,11.918349421204484,20.63210527550646,-0.5369984817057869,364.00501719556746,352.31105013690023,377.73208332877215,3.0659146208084133e-15,0.02757026292062811,6.8793790122599885e-06,0.9703357530182596,0.0,0.0,0.0,0.0828493316290636,-7226.570101008107,14455.140202016211,14460.267092825112,6445.070712633775,SR_Q_WOB,0.9479516180100116,sub33
-30.63905730821792,1.0926495340028095,-9.446780082454788,29.742760527742018,409.9331127006642,424.4962440513664,424.17047398277396,2.5749557643432143e-14,0.8371304731095992,0.033367430043465617,0.02663091707371164,0.0,0.0,0.0,0.06362079543199363,-7146.701089328813,14295.402178657627,14300.523431110872,6049.204434669393,SR_Q_WOB,0.3409429748727835,sub34
-25.593092948711963,12.593817497933774,23.21633958096528,49.004986419264405,405.4239301149768,407.74376929694785,401.9966739595166,9.069722125796292e-17,0.027847477552561364,1.9746476558211987e-06,0.003425727622182142,0.0,0.0,0.0,0.08880201586242786,-7329.8657698236375,14661.731539647275,14666.861638157405,7326.827605967367,SR_Q_WOB,0.7758468982913405,sub35
-35.321174878632725,-7.741377305174831,11.688871766106319,17.004521324442365,513.4929306676381,533.9934763736329,495.75351140584416,2.6961830177519026e-10,0.5083652379486532,0.2458657132019857,0.7045876585474541,1.903906064184477e-287,6.127054538714254e-224,1.4607147179902621e-274,0.03970443841026428,-8240.080680203879,16482.161360407757,16487.291458917884,31470.55953299433,SR_Q_WOB,0.9296701907672464,sub36
-28.229154417853913,23.770333595186745,20.9593535933688,-6.3854195323127065,394.8096965493392,391.4171585661784,382.8690469096352,8.966315759106927e-18,9.630446457161074e-06,2.7836141602411444e-06,0.5524759203800514,0.0,0.0,0.0,0.1107710198627544,-7024.080052774785,14050.16010554957,14055.265070997842,5978.447056655558,SR_Q_WOB,0.5951116674758178,sub37
-24.533897491387833,15.273243637672492,10.914696339643486,-24.37968818787909,393.2152305596878,404.6080812737566,404.03816611562064,2.2960596821341474e-10,0.00956970306500417,0.024861001876909587,0.028666688225008143,0.0,0.0,0.0,0.06282167684067863,-6865.059279494283,13732.118558988566,13737.188433117026,6887.0203961536745,SR_Q_WOB,0.4893403938911072,sub38
-33.41971300061305,-0.5274530625614648,33.80340872259168,31.537287407413203,388.5438056196288,376.4486413136752,350.82663959317665,3.060907262137778e-29,0.9204906214864352,6.525940955268969e-14,0.047453093511511966,0.0,0.0,0.0,0.16594577865220894,-7197.057167482541,14396.114334965081,14401.241225773982,6146.6380453579295,SR_Q_WOB,0.7316091023105323,sub39
-21.545882699298726,4.700197750935536,-16.033426970418525,1.1807952503485808,392.1156754525165,420.17160901507714,398.7980818953815,1.4122808692922332e-16,0.2733782163794533,9.11055300893789e-06,0.9022495077589598,0.0,0.0,0.0,0.11198445399811774,-6863.83860046894,13729.67720093788,13734.795217142346,3970.545432674101,SR_Q_WOB,0.6039575925521478,sub40
-33.81342491421939,-7.900698762032203,-9.478864496509493,25.841637978668466,428.1377333497026,433.1862982325199,414.9481150701327,4.721376498430146e-26,0.09022374222182802,0.01550424161411784,0.05568385729402985,0.0,0.0,0.0,0.1179347294335813,-7071.096498016503,14144.192996033004,14149.324694543471,4754.436979210663,SR_Q_WOB,0.4825695609732604,sub09
-18.90815712126258,9.081705504293987,14.382983145755171,71.50561310976707,416.68398462297404,411.5956046002143,390.171973487065,3.983045161076803e-08,0.09334430406754153,0.001772677003829204,0.021531991873197383,0.0,0.0,0.0,0.052547302594075807,-7397.719212375978,14797.438424751956,14802.585984023144,6653.567635109597,SR_Q_WOB,0.5499516261071146,sub10
-27.02718319815873,-8.964638339050632,-12.016338567134847,3.6159807914553066,437.41080186173235,429.51723271290945,419.8104269678097,4.0347797727027064e-14,0.18829271662263825,0.03378355467040885,0.7256129443296646,0.0,0.0,1.6e-322,0.0643865101447817,-6907.270540309173,13816.541080618346,13821.592936241304,9161.49415598562,SR_Q_WOB,0.7947251491953741,sub11
-21.816855659652358,-2.2232668349379647,25.568245577415954,-0.017016845664159064,380.80078240364054,368.3040060426236,370.134893470837,1.2909881808748516e-05,0.669878845873225,2.7152633928311555e-09,0.9990873798161886,0.0,0.0,0.0,0.04992624791500089,-7092.889793536408,14187.77958707282,14192.900031445213,5597.14909192999,SR_Q_WOB,0.0936523909618561,sub12
-6.657597246400893,3.979172353724032,5.190084930752598,-11.040725011752526,325.1967082235551,339.5558152253518,336.5057082849202,3.811195574525676e-05,0.2591536428253751,0.08178221745079006,0.17555587961347724,0.0,0.0,0.0,0.027901529636840228,-6630.930048239406,13263.86009647881,13268.978112683277,2722.1390206489896,SR_Q_WOB,0.9582654330825432,sub17
-20.830546297233816,1.8306716662124192,-3.6370851072364783,-1.9749109641100129,437.4839353289706,475.6774947317146,440.94998971625483,0.0011175558106472905,0.8264197327521025,0.597653863673677,0.890194228094088,6.557458391229638e-275,0.0,1.167295405533476e-275,0.029105010335575325,-7254.602298532052,14511.204597064105,14516.27191691276,13786.378460209253,SR_Q_WOB,0.307692448953775,sub18
-21.081665128260127,0.3861273530130465,40.74798981665809,-19.968000748574816,392.77632239009654,386.37901780565295,401.70304153791886,0.00035876797155956367,0.95888176228654,3.9291313892309547e-11,0.05147125473468722,7.368994131409103e-274,0.0,4.025861253113343e-272,0.05477974292154253,-6905.069425084871,13812.138850169742,13817.178510519605,10568.81200629319,SR_Q_WOB,0.2634426665479741,sub19
-27.67233384139492,4.3169958143481155,7.545846252091758,35.24150120573628,413.77750027347474,426.62466031336464,438.6947855080664,2.742908649457314e-21,0.4592228655395478,0.12478228792470845,0.004308509118488564,0.0,0.0,0.0,0.09520947833038962,-7189.559861683919,14381.119723367838,14386.230419490814,7333.292317772091,SR_Q_WOB,0.8731647389500647,sub20
-23.63239369701605,11.09523208429702,-1.702918702312676,26.27266056296452,427.1292277385073,439.3851965894473,421.4695089086235,1.325388607460992e-14,0.04804999988059012,0.7224002843145374,0.234503793280527,0.0,0.0,0.0,0.051008632226839164,-7350.677434930948,14703.354869861896,14708.489760713464,7160.60620252859,SR_Q_WOB,0.7574869828478515,sub41
-17.353949058438488,3.1035183297240536,18.69529823293044,40.366191325399974,405.31079476765365,458.04319126835,450.944223444704,0.0022647864668609127,0.6663814663603479,0.0015390175394223034,0.0030267268238020626,3.78029198475506e-302,0.0,0.0,0.07221561098950591,-7181.7159245006505,14365.431849001303,14370.513557587406,10221.347772800957,SR_Q_WOB,0.265477126653732,sub42
