P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,alpha_error,subject
-10.565752237387363,18.982471360846482,4.749243918865965,28.88627944549736,362.4481181195743,376.38733076645485,384.4645641656916,1.4148340716970329e-09,1.5997901809549867e-08,0.09513834314040157,0.041699326020033935,0.0,0.0,0.0,0.1040387338360863,-6811.402240641517,13626.804481283034,13637.10588419822,2557.218614010069,AB_Q_E_WOB,0.8104265481704287,0.0001,sub01
-27.780822642495245,-9.410396215107275,-5.4145311204520725,86.93729255261064,413.2004234439655,402.4794403044897,389.23131997445597,1.4694356789497777e-23,0.01124274523378088,0.08329449119151139,1.0914319106726286e-06,0.0,0.0,0.0,0.1205700025588291,-6967.567668176902,13939.135336353804,13949.446128957596,3104.0057169145794,AB_Q_E_WOB,0.3606960867076583,0.0001,sub02
-1.4131527980427665,15.505739385822046,35.25325981914236,4.27463083198948,366.02749861108737,364.4682893324823,378.5018042271293,0.5282263065368233,0.0017596303517545867,2.0305075634135463e-16,0.6985874470262545,0.0,0.0,0.0,0.0646979301965096,-7324.679234770139,14653.35846954028,14663.661440468088,5669.245898315149,AB_Q_E_WOB,1.0,0.5089024273905924,sub04
-17.691471071444248,12.248159518279678,-3.692018773557958,23.74660448926184,382.7180590973717,363.2963285651263,365.3026038183744,8.484648559069807e-08,0.014816231538825084,0.3857022673759898,0.02139577857385248,0.0,0.0,0.0,0.04575225131903515,-7331.436695598499,14666.873391196998,14677.176362124806,5729.611582349234,AB_Q_E_WOB,0.5046015178751472,0.09463934433140604,sub13
-14.445963309057946,-23.05679630802804,-11.590741740346909,17.703624509473784,442.3155376179664,420.32083561325487,425.01685063997286,3.5695583073579e-08,5.18756882218746e-06,0.007297329804874702,0.050957458143116884,0.0,0.0,0.0,0.07379661857390618,-7327.942113902511,14659.884227805022,14670.182491002137,5854.66171623187,AB_Q_E_WOB,0.8265249161686533,0.7106136887516029,sub14
-15.414102670148502,14.288507189932703,18.39398339206699,49.436764195573595,415.3139590669024,444.0842255145378,489.8687539554122,3.405733930670979e-05,0.03226993850521749,0.0012245996792352282,0.027063114014938074,0.0,0.0,0.0,0.10922994654779017,-7679.657235631225,15363.31447126245,15373.612734459568,10173.791985075326,AB_Q_E_WOB,0.7207568253669034,0.1558783314348747,sub15
-38.24257907747707,22.178128205829097,11.78396165554718,40.44978272930991,371.8280288102044,362.6370888232952,410.3626075582,8.730712792239576e-20,0.000245562261354202,0.021696773006694217,0.0026840969521972034,0.0,1.545255156768935e-309,0.0,0.12489655700612355,-7544.609330834739,15093.218661669478,15103.515353157278,8305.85711164931,AB_Q_E_WOB,0.435078493567539,0.0001,sub16
-12.418933056002846,10.262755377868707,19.654558864040826,3.3690196563561443,362.09239372537536,350.2698966314165,375.08904593182854,1.7336185121556747e-05,0.0580826394050602,2.297577511830174e-05,0.8201255968967314,0.0,0.0,0.0,0.04360707175908374,-7450.394109387558,14904.788218775117,14915.094322044994,6778.97801089207,AB_Q_E_WOB,0.7767384403721238,0.0001,sub33
-27.478755352232128,1.8860511768733892,-13.018124241100983,29.97053860813679,412.71031997375565,424.9708415329924,424.068422013313,5.074234755731803e-11,0.7238609995989909,0.0039166970216848495,0.027672001698517933,0.0,0.0,0.0,0.04998257963551245,-7392.052688861006,14788.105377722011,14798.405211394274,6416.32788206535,AB_Q_E_WOB,0.2813068082665223,0.03864168195696381,sub34
-24.098400151093262,11.996339945444305,22.359020879974885,49.03268293261546,404.9027239660083,408.96862814985235,403.40854463027426,1.7389876158429282e-10,0.0385202278107864,5.763131186081043e-06,0.003529209010741017,0.0,0.0,0.0,0.06528186109425349,-7521.669690756818,15047.33938151364,15057.643919225704,7649.088069876371,AB_Q_E_WOB,0.5136081710115421,0.6954760726242716,sub35
-32.36559676156229,-7.841484367807305,13.826639103983553,-33.506213000491464,510.3507497844722,533.6773375697401,494.90364180686777,4.2330507404253645e-06,0.5115976570826729,0.1747795865892795,0.4393308562637862,1.2325355754302499e-281,1.8341828129195858e-216,2.816913533818312e-270,0.024332600692960282,-8382.158593889613,16768.31718777923,16778.60600213987,32650.916737933185,AB_Q_E_WOB,0.6478578135401228,1.0,sub36
-21.77563529218159,27.124258879928693,17.482858085353264,4.323977347778674,395.5018608392,387.8190953656199,380.821625030041,9.741233842745102e-09,3.835421662288155e-06,0.00043005032878195177,0.7148282051598615,0.0,0.0,0.0,0.06828375886241111,-7550.704380343476,15105.408760686953,15115.71799140078,7786.124574027459,AB_Q_E_WOB,0.506759670337313,0.0001,sub37
-21.33047571000029,8.622572796233813,8.416262266816977,-23.90618467045972,392.5936763045426,405.00150724475577,402.4964805020893,3.115870490794685e-09,0.12830344687748665,0.08044613431888578,0.03173376657210133,0.0,0.0,0.0,0.047682394705269686,-7245.420252129635,14494.840504259273,14505.083009165764,7095.128697629863,AB_Q_E_WOB,0.5426492422350057,0.6505693206924074,sub38
-31.799395113677267,0.18086533414217956,32.545271798787184,62.16076688704315,391.9126915638751,374.43940087382987,350.41574320920984,1.1228189261084532e-21,0.973495495859682,3.9362717374188385e-12,0.00016021590177883578,0.0,0.0,0.0,0.1414322635450629,-7419.019044681607,14842.038089363214,14852.334780851013,6817.493884442671,AB_Q_E_WOB,0.6154312631985245,0.3413803184957884,sub39
