P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,subject
-16.109888878645993,17.931208138443424,4.554107988014044,21.557181775784393,364.4239737239172,378.5811756597101,386.9836461828825,2.818012152355832e-23,3.5925373710801914e-08,0.10094995625642368,0.11983095701478914,0.0,0.0,0.0,0.14690047968007436,-6780.151371834886,13562.302743669772,13567.453445127363,2434.8842470798213,SR_Q_WOB,0.8900961098833293,sub01
-23.51420981388641,-8.804165963618054,-6.486058865981794,87.07061093999737,411.67328116309733,401.33844410208746,388.4272079526455,1.2265894863696128e-28,0.01581573847759327,0.03623269915461585,8.390153264001193e-07,0.0,0.0,0.0,0.1364339336857281,-6955.908286174134,13913.816572348269,13918.971968650163,3048.0129340375206,SR_Q_WOB,0.6938762397260123,sub02
-6.871741578701931,14.131183034062856,35.39321953362089,3.279723643443994,367.52823062067847,366.42321997861063,380.1800569559572,0.0270984252533764,0.004388254579133018,1.3748177871956007e-16,0.7660462672937389,0.0,0.0,0.0,0.06800028023371307,-7322.422608088741,14646.845216177482,14651.996701641388,5649.229012853589,SR_Q_WOB,0.5588540466016151,sub04
-21.796358505911183,11.6107214453659,-4.150846021975782,18.308392511476036,383.98072992687423,365.520992596099,367.33418645424314,5.4360859658547926e-17,0.017523588943283288,0.3212911549147241,0.07156780469843439,0.0,0.0,0.0,0.07645110273660649,-7310.574359499302,14623.148718998604,14628.300204462508,5545.28576665822,SR_Q_WOB,0.8086898802415928,sub13
-15.80075994249131,-24.197367602789093,-9.932520904410449,21.778834450322517,442.76141235351685,420.5730332545453,424.9438316610683,2.293813003837109e-08,2.051757841292411e-06,0.0211156192778821,0.015978155088480044,0.0,0.0,0.0,0.07442447985101808,-7327.510492483933,14657.020984967863,14662.170116566422,5850.692916877505,SR_Q_WOB,0.7263196775987538,sub14
-14.814508319122574,15.029801347025677,19.152172123441503,55.39344660593919,414.6543237138013,441.85979850229796,488.9927702455306,5.141142867490972e-07,0.02267818883071216,0.0007327903709889222,0.01293243704182388,0.0,0.0,0.0,0.1148666060739758,-7675.616761649966,15353.233523299932,15358.382654898489,10109.413753103721,SR_Q_WOB,1.0,sub15
-30.28683730861397,25.270239011360715,10.93271633810575,37.290222092572826,368.44673736111434,358.07267419544416,405.8279073088109,2.3351587614591697e-18,2.6584447945956063e-05,0.0336016742810573,0.005781741123856956,0.0,5.0212632753904e-310,0.0,0.1203914004513873,-7547.875149721496,15097.750299442992,15102.898645186891,8348.61684169991,SR_Q_WOB,0.7153366614592123,sub16
-19.073266244831515,8.756903860439898,19.768114346036157,1.287900856295451,363.91182723874437,352.6860410489133,376.30129380359494,9.41398958630193e-15,0.09802600007665754,1.5052123977042676e-05,0.929527612567488,0.0,0.0,0.0,0.07438107404921313,-7429.494835754312,14860.989671508623,14866.14272314356,6560.849793295875,SR_Q_WOB,0.9634189676461018,sub33
-30.498688490621305,0.9330467282077972,-12.580199063501437,27.166226938723604,412.8248273283094,426.7108624371483,424.09806533447767,2.4236419671694523e-13,0.860699979481422,0.005105240065618489,0.045076120153887435,0.0,0.0,0.0,0.05781053514599532,-7386.782191067413,14775.564382134826,14780.714298970957,6363.4586102764115,SR_Q_WOB,0.29967333766301274,sub34
-24.44573913557489,12.387916100978437,22.498126981383837,48.411273634313716,404.7895062193686,408.8870971291076,402.6509151944162,1.1795552808967416e-16,0.0292346650645334,3.97133730248431e-06,0.0035853141193511132,0.0,0.0,0.0,0.08560295463541845,-7507.6353669744485,15017.270733948897,15022.42300280493,7482.794266747089,SR_Q_WOB,0.8236477745208587,sub35
