P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,ccc,alpha_ccc,subject
-27.18638321733128,18.24110055371586,4.687800785151376,20.73398575688481,362.5372612094267,377.02909146670686,386.80908918579564,1.727269156506105e-33,9.951105326167332e-09,0.08549456563355402,0.12742984678210373,0.0,0.0,0.0,0.1777276916209698,-6756.688441860168,13521.376883720332,13541.979689550702,2346.89838973552,SR_Q_D_alphaCCC_WOB,0.8147651888808687,0.8278181805468621,-0.7830301981401804,0.9864930888249612,sub01
-29.552566391263433,-7.807713578862506,-5.902900266496783,81.07898664871027,409.41762668541566,398.46336346954934,385.0967347016967,2.7994746126833537e-38,0.02806063464516438,0.05246439089344241,3.019560903117667e-06,0.0,0.0,0.0,0.16582599824337785,-6933.728803159997,13875.457606319995,13896.079191527582,2944.27171911528,SR_Q_D_alphaCCC_WOB,1.0,0.9222505751927804,-0.39476917229309705,1.0,sub02
-15.178580203659587,13.545493270867,35.15765858338232,3.1064471174051183,368.13054785468864,367.2073099840997,380.7742912967864,0.007727688222282624,0.006411818628444671,2.033084784897968e-16,0.7778451213090757,0.0,0.0,0.0,0.06962333657893792,-7321.310577008709,14650.621154017417,14671.227095873037,5639.39100955593,SR_Q_D_alphaCCC_WOB,0.2234513925473413,0.10392945930182183,-0.14508922549582126,0.3727076110653986,sub04
-66.38646130150181,10.358503847094568,-3.039722081630241,16.310610515198693,383.0873863455702,366.88112892686087,368.26581850025985,6.047627876058863e-25,0.03143720132677565,0.4614558719203957,0.1036011813339536,0.0,0.0,0.0,0.10244932751708358,-7292.356800541418,14592.713601082836,14613.319542938458,5389.184031516186,SR_Q_D_alphaCCC_WOB,0.3776737889007779,0.7073970133823462,-0.4187904362030565,0.4553568417043923,sub13
-64.34022740926487,-23.45312139489942,-11.042397299284609,21.804587157473836,441.8759839563392,420.9927826351306,425.4832148025,4.362500438593522e-13,2.644379795150553e-06,0.009793376475682286,0.01499306052948116,0.0,0.0,0.0,0.08983268763298125,-7316.825385182762,14641.650770365524,14662.247296759755,5753.295471971976,SR_Q_D_alphaCCC_WOB,0.22140336792084905,0.6351252846127307,-0.2449678787328855,0.4706914222631325,sub14
-60.26591618622778,13.831348950520024,18.091358648813465,46.0145391882515,416.2800121683908,445.3098699358704,492.1629032895596,3.558094575576004e-15,0.032816901266718504,0.001208808107362059,0.03622419371843295,0.0,0.0,0.0,0.1401809171545223,-7657.147846653241,15322.295693306482,15342.89221970071,9820.290275550751,SR_Q_D_alphaCCC_WOB,0.4543915373036596,0.8939167252600579,-0.918425739898868,0.6744786146086839,sub15
-55.62245998172638,27.89442546049077,12.349110657341988,27.45518805104835,366.83478094151513,354.826942703432,406.7350591914536,3.180694675145457e-27,2.0704726054475074e-06,0.014787151374446859,0.03952686072513965,0.0,2.6387e-319,0.0,0.14805840458285102,-7527.549187058233,15063.098374116465,15083.691757092063,8086.021391431823,SR_Q_D_alphaCCC_WOB,0.7047615780394042,0.8136043570167746,-0.7123809808471621,0.7412938618975348,sub16
-50.96469554205286,7.516258655275916,19.500562916229896,-2.6609017286297814,365.17960100516814,353.9082650417393,377.95377317837404,2.2611549813478023e-24,0.14802158597392515,1.4035128824512881e-05,0.8525589380996762,0.0,0.0,0.0,0.10572267639735757,-7407.483400554947,14822.966801109895,14843.579007649643,6338.69838808802,SR_Q_D_alphaCCC_WOB,0.5706893543766667,0.797964777948917,-0.6362298810020983,0.6947376294894456,sub33
-108.80859266607115,1.0167887749846507,-13.434918914786513,28.592808999641854,412.32264042741133,425.98729533142927,423.98886144263435,6.347665230151055e-16,0.846863002652062,0.0026790770623021645,0.034068881392875984,0.0,0.0,0.0,0.06647348484925075,-7380.898210490395,14769.79642098079,14790.396088325317,6304.949866615055,SR_Q_D_alphaCCC_WOB,0.11786652091293312,0.4032931131084305,-0.9283274525201184,0.1411958201648579,sub34
-56.04318136864174,14.293336627920326,22.543094303145875,45.28906055240096,403.29092969372886,407.31041305896105,403.5603630992932,4.94357154307023e-27,0.009847131580513849,2.499870392621671e-06,0.005515488544548744,0.0,0.0,0.0,0.1190301125360742,-7483.856710187477,14975.713420374954,14996.322495799084,7209.249479273744,SR_Q_D_alphaCCC_WOB,0.6175103242702533,0.9436752964179757,-0.8794317233943482,1.0,sub35
