subject,SR_Q_D_alphaCCC_relevant_WOB
sub01,13309.982149537063
sub02,13697.082769037948
sub04,13893.139343139685
sub13,13697.878222475654
sub14,13761.577536016342
sub15,15027.847133922864
sub16,14486.393360979351
sub33,14415.747595824972
sub34,14289.631294447827
sub35,14621.43556320416
sub36,16441.9087570985
sub37,14007.125141562805
sub38,13724.739616833704
sub39,14217.387562474341
sub40,13721.939216106379
sub09,14083.652560459699
sub10,14781.495555055017
sub11,13776.496796328283
sub12,14167.089986901743
sub17,13248.060667957443
sub18,14508.363021186018
sub19,13806.982654046622
sub20,14334.218939975752
sub41,14650.254941941486
sub42,14369.945813833076
sub43,14092.059554068215
sub44,14876.824776913872
sub45,13615.770941853612
sub46,15222.834165856277
sub47,13924.347375178251
sub48,14925.220933928234
sub05,14233.442445854216
sub06,13706.62698004984
sub07,15025.266151263797
sub08,14158.335973005653
sub21,13804.764203667837
sub22,14457.68895717199
sub23,13127.532457681351
sub24,13613.180890825657
sub25,13439.251752103388
sub26,15023.046202366319
sub27,15019.435585264417
sub28,14212.162446228296
sub29,12532.686776719509
sub30,14141.496735442624
sub31,14407.544019696412
sub32,13780.811430503794
