,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
alpha,2.508989,1.064128,1.009394,1.003164,1.464509,24.289595,16.303506,4.086838,4.269877,
exp_r,0.044803,0.019002,0.018025,0.017914,0.026152,0.433743,0.291134,0.072979,0.076248,
xp,0.000002,0.000000,0.000000,0.000000,0.000000,0.898719,0.101258,0.000008,0.000013,
pxp,0.000002,0.000000,0.000000,0.000000,0.000000,0.898719,0.101258,0.000008,0.000013,
