,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,524.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,2,387.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.08790196351369939,0.9120980364863006,0.5,0.5,0.0,0.0,0.5,-0.5
2,3,399.1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.08790196351369939,0.4643280835702313,0.5356719164297687,0.9120980364863006,0.08790196351369939,0.0,0.0,0.08790196351369939,-0.08790196351369939
3,4,482.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.9845464896208725,0.49691217742112515,0.5030878225788749,0.9845464896208725,0.015453510379127483,0.0,0.0,0.015453510379127455,-0.015453510379127483
4,5,394.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9972832121889907,0.49973271275465725,0.5002672872453428,0.9972832121889907,0.002716787811009277,0.0,0.0,0.002716787811009258,-0.002716787811009277
5,6,369.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5000231368447176,0.4999768631552824,0.5000231368447176,0.9995223780339244,0.0004776219660756016,-0.4999768631552824,0.49997686315528245,0.0,0.0
6,7,584.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.08789789596553899,0.08789789596553899,0.912102104034461,0.5432395181398003,0.4567604818601997,0.912102104034461,-0.912102104034461,0.0,0.0
7,8,420.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.8396488682607888,0.8396488682607888,0.16035113173921123,0.5037428872282378,0.49625711277176227,-0.8396488682607888,0.8396488682607888,0.0,0.0
8,9,415.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.500323990770619,0.14761356836435768,0.8523864316356423,0.500323990770619,0.49967600922938105,0.0,0.0,0.49967600922938105,-0.49967600922938105
9,10,379.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9121549953360961,0.46949682301942025,0.5305031769805797,0.9121549953360961,0.08784500466390394,0.0,0.0,0.08784500466390388,-0.08784500466390394
10,11,366.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5026404075820678,0.4973595924179322,0.5026404075820678,0.9845565032103455,0.015443496789654468,-0.4973595924179322,0.49735959241793215,0.0,0.0
11,12,374.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5419440462162819,0.08743776949181897,0.9125622305081811,0.5419440462162819,0.45805595378371816,0.0,0.0,0.4580559537837181,-0.45805595378371816
12,13,433.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5357120978644994,0.46428790213550064,0.5357120978644994,0.9194719645265417,0.08052803547345833,-0.46428790213550064,0.46428790213550064,0.0,0.0
13,14,437.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5363102163524118,0.0816236364667336,0.9183763635332665,0.5363102163524118,0.4636897836475881,0.0,0.0,0.46368978364758817,-0.4636897836475881
14,15,372.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9184815151122692,0.46378462075820803,0.5362153792417921,0.9184815151122692,0.08151848488773089,0.0,0.0,0.08151848488773084,-0.08151848488773089
15,16,527.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4968651343432729,0.4968651343432729,0.5031348656567272,0.9856687302314132,0.014331269768586757,0.5031348656567272,-0.5031348656567272,0.0,0.0
16,17,351.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.542040322504528,0.9115469147931448,0.08845308520685535,0.542040322504528,0.45795967749547195,0.0,0.0,0.45795967749547195,-0.45795967749547195
17,18,474.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4643757896140371,0.535624210385963,0.4643757896140371,0.9194888902760949,0.08051110972390502,-0.535624210385963,0.535624210385963,0.0,0.0
18,19,478.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.09416483959680194,0.09416483959680194,0.9058351604031981,0.5363116814744705,0.4636883185255295,0.905835160403198,-0.9058351604031981,0.0,0.0
19,20,505.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.15924937843837594,0.8407506215616241,0.15924937843837594,0.5031432017439975,0.4968567982560025,-0.8407506215616241,0.8407506215616241,0.0,0.0
20,21,345.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5002720809613407,0.14780726092125995,0.85219273907874,0.5002720809613407,0.4997279190386594,0.0,0.0,0.4997279190386593,-0.4997279190386594
21,22,292.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9121458693877738,0.4695135893810409,0.5304864106189591,0.9121458693877738,0.0878541306122263,0.0,0.0,0.08785413061222624,-0.0878541306122263
22,23,355.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9845548988327926,0.49736104374309664,0.5026389562569034,0.9845548988327926,0.01544510116720739,0.0,0.0,0.015445101167207431,-0.01544510116720739
23,24,383.3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.5002284326027387,0.4997715673972613,0.5002284326027387,0.9972846905614695,0.00271530943853052,0.5002284326027386,-0.5002284326027387,0.0,0.0
24,25,450.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.08794212286232195,0.9120578771376779,0.08794212286232195,0.5430458200547671,0.45695417994523296,-0.9120578771376779,0.912057877137678,0.0,0.0
25,26,410.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5037261203880925,0.16034335647707654,0.8396566435229235,0.5037261203880925,0.49627387961190744,0.0,0.0,0.4962738796119075,-0.49627387961190744
26,27,453.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9127531030831042,0.47059873542258857,0.5294012645774114,0.9127531030831042,0.08724689691689586,0.0,0.0,0.0872468969168958,-0.08724689691689586
27,28,529.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.984661652901055,0.49745497585507226,0.5025450241449277,0.984661652901055,0.015338347098944938,0.0,0.0,0.015338347098944993,-0.015338347098944938
28,29,380.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5002203016772021,0.49977969832279795,0.5002203016772021,0.9973034583458962,0.0026965416541038303,-0.49977969832279795,0.4997796983227979,0.0,0.0
29,30,504.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9121367663862834,0.08786323361371656,0.9121367663862834,0.5430474446265396,0.4569525553734603,-0.08786323361371656,0.08786323361371662,0.0,0.0
30,31,367.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9845532984893829,0.015446701510617111,0.9845532984893829,0.5037262610138257,0.49627373898617433,-0.015446701510617111,0.015446701510617111,0.0,0.0
31,32,354.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9972844092148134,0.002715590785186541,0.9972844092148134,0.5003225515768385,0.49967744842316153,-0.002715590785186541,0.0027155907851865724,0.0,0.0
32,33,390.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0004774115242352113,0.0004774115242352113,0.9995225884757648,0.5000279206205188,0.49997207937948124,0.9995225884757648,-0.9995225884757648,0.0,0.0
33,34,449.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.1340800422508288,0.8659199577491712,0.1340800422508288,0.5000024168570428,0.49999758314295717,-0.8659199577491712,0.8659199577491712,0.0,0.0
34,35,525.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8477678709362965,0.15223212906370354,0.8477678709362965,0.5000002092073119,0.4999997907926881,-0.15223212906370354,0.15223212906370354,0.0,0.0
35,36,448.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5000000181093456,0.026763006109140897,0.9732369938908592,0.5000000181093456,0.4999999818906544,0.0,0.0,0.4999999818906544,-0.4999999818906544
36,37,591.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9120980396699947,0.4590357900234478,0.5409642099765521,0.9120980396699947,0.0879019603300053,0.0,0.0,0.0879019603300053,-0.0879019603300053
37,38,315.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9845464901805785,0.4964540673686426,0.5035459326313574,0.9845464901805785,0.015453509819421549,0.0,0.0,0.015453509819421507,-0.015453509819421549
38,39,366.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9972832122873893,0.4996930579588055,0.5003069420411945,0.9972832122873893,0.002716787712610776,0.0,0.0,0.0027167877126107465,-0.002716787712610776
39,40,498.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4999734305677949,0.4999734305677949,0.5000265694322051,0.9995223780512232,0.00047762194877675867,0.500026569432205,-0.5000265694322051,0.0,0.0
40,41,445.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.08790663452421993,0.91209336547578,0.08790663452421993,0.5432395181412977,0.45676048185870227,-0.91209336547578,0.9120933654757801,0.0,0.0
41,42,333.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.49625711277163265,0.16034959546627858,0.8396504045337214,0.5037428872283674,0.49625711277163265,0.0,0.0,-0.5037428872283674,0.5037428872283674
42,43,640.3,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.9114400222131329,0.47059927548024894,0.5294007245197511,0.08855997778686708,0.9114400222131329,0.0,0.0,0.9114400222131329,-0.9114400222131329
43,44,303.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.8397652648449917,0.49745502260339436,0.5025449773966056,0.8397652648449917,0.1602347351550083,0.0,0.0,0.1602347351550083,-0.1602347351550083
44,45,363.2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.9718301043135543,0.49977970236941327,0.5002202976305867,0.9718301043135543,0.02816989568644565,0.0,0.0,-0.9718301043135543,0.9718301043135543
45,46,406.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.4999809306573383,0.4999809306573383,0.5000190693426617,0.17085154874176944,0.8291484512582306,0.5000190693426617,-0.5000190693426617,0.0,0.0
46,47,498.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.08790531597902512,0.9120946840209749,0.08790531597902512,0.47150834265947367,0.5284916573405263,-0.9120946840209749,0.9120946840209749,0.0,0.0
47,48,629.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5024662869744846,0.16034982727170177,0.8396501727282983,0.49753371302551536,0.5024662869744846,0.0,0.0,-0.49753371302551536,0.4975337130255154
48,49,353.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5294007044542741,0.470599295545726,0.5294007044542741,0.08746838057840844,0.9125316194215916,-0.470599295545726,0.4705992955457259,0.0,0.0
49,50,388.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.917266795786734,0.08273320421326608,0.917266795786734,0.46429055188392443,0.5357094481160756,-0.08273320421326608,0.08273320421326602,0.0,0.0
50,51,375.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9854551778037481,0.014544822196251916,0.9854551778037481,0.49690892861365976,0.5030910713863402,-0.014544822196251916,0.014544822196251861,0.0,0.0
51,52,435.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0025570368600163623,0.0025570368600163623,0.9974429631399836,0.49973243153228264,0.5002675684677174,0.9974429631399836,-0.9974429631399836,0.0,0.0
52,53,434.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.49997683881218885,0.8661989271852824,0.13380107281471765,0.49997683881218885,0.5000231611878111,0.0,0.0,0.5000231611878112,-0.5000231611878111
53,54,402.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4683011895940965,0.5316988104059035,0.4683011895940965,0.9120939646585289,0.08790603534147118,-0.5316988104059035,0.5316988104059035,0.0,0.0
54,55,673.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9065252611348458,0.09347473886515417,0.9065252611348458,0.5356715639653375,0.4643284360346624,-0.09347473886515417,0.09347473886515423,0.0,0.0
55,56,341.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9835667738296453,0.016433226170354726,0.9835667738296453,0.5030877920689462,0.49691220793105384,-0.016433226170354726,0.016433226170354698,0.0,0.0
56,57,368.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5002672846043508,0.0028890256944777825,0.9971109743055222,0.5002672846043508,0.4997327153956493,0.0,0.0,0.49973271539564923,-0.4997327153956493
57,58,407.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9121450261693794,0.45696921712380695,0.5430307828761931,0.9121450261693794,0.08785497383062058,0.0,0.0,0.08785497383062058,-0.08785497383062058
