subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB
sub01,0.10337288417695324,0.1040387338360863,0.10467946031581253,0.10399949194137503
sub02,0.12009079252062205,0.1205700025588291,0.1202275502329786,0.12268001262735685
sub04,0.06466780188341803,0.0646979301965096,0.06689530758497819,0.06926395755982673
sub13,0.044753688232895716,0.04575225131903515,0.04508237953479188,0.02703483198280276
sub14,0.07373918264593371,0.07379661857390618,0.0737766420156698,0.07540299092807977
sub15,0.10885654656198296,0.10922994654779017,0.10916739872954984,0.10932751800606366
sub16,0.12206068480699163,0.12489655700612355,0.12224071245559333,0.12476012793448887
sub33,0.04239904287658913,0.04360707175908374,0.04855728659101355,0.04401298681223531
sub34,0.049385317178119226,0.04998257963551245,0.050308997712360186,0.04994037985877786
sub35,0.06518975886654876,0.06528186109425349,0.06664637569787801,0.06774731724920491
sub36,0.023793173571935555,0.024332600692960282,0.02731816871872339,0.02422388632949679
sub37,0.06519949987346929,0.06828375886241111,0.06541073116921693,0.07091520571173404
sub38,0.04764884574475137,0.047682394705269686,0.04835705287984415,0.04887526676261023
sub39,0.141191701311546,0.1414322635450629,0.14119185361094555,0.14307867975952382
sub40,0.09905544211127093,0.09913529045775127,0.1002816888379412,0.09932171462717854
sub09,0.10410760211336012,0.10417300862210643,0.105808704563626,0.10878600401907146
sub10,0.050226867475679504,0.0504099709498077,0.054673018467231486,0.05407026061047171
sub11,0.017298578881781546,0.017488811607808685,0.018294603284320976,0.018695144357590232
sub12,0.04995236234903844,0.05055052716355568,0.05101364652067053,0.05039253937977761
sub17,0.024388834085222518,0.024402311221474186,0.024497880434499297,0.024631086215501696
sub18,0.01567882585382929,0.016153312693635402,0.016167008435750363,0.016196162575992656
sub19,0.040654781592919235,0.040700257889506375,0.04070973754869223,0.04071454639404015
sub20,0.053008572917809034,0.05366921217793375,0.053251963941373326,0.05332376879750012
sub41,0.0291497650310949,0.029818641404467664,0.031452380969071214,0.03154845820958774
sub42,0.05450959385047738,0.05480270279900745,0.05493397461403582,0.05510719347982385
sub43,0.013876246395080338,0.014994739460227781,0.012876742745415837,0.015227189314311327
sub44,0.07038285313294845,0.07188370814768719,0.07293750630100104,0.07250824813773428
sub45,0.03872332331053219,0.0387242516838564,0.0387250158437209,0.03872501584371557
sub46,0.029250187855216825,0.030377771702855605,0.029672758023148393,0.03056235317896538
sub47,0.05274560672866446,0.05274906474954355,0.05302113621358506,0.054797209036172016
sub48,0.08857549696338418,0.08872351514714616,0.08938380693258141,0.08926061721851952
sub05,0.05957557709642969,0.05972477067949977,0.06348274585674529,0.06102572948291962
sub06,0.022299933399032246,0.022839021631433143,0.02285546025908081,0.022895389837904512
sub07,0.0897838672585265,0.09123215715032952,0.09047675994288062,0.09172802290789406
sub08,0.029111030697781207,0.0232033159738545,0.023260507308987318,0.025992570290901185
sub21,0.062283769808100464,0.06260788194456057,0.06315774140298425,0.0635735288234549
sub22,0.034145424602926244,0.034699786161173314,0.03401671752237312,0.03550190213669535
sub23,0.06903908906587307,0.06903908897876754,0.06903908905155509,0.06902190989777301
sub24,0.04643833464721181,0.04706040148889401,0.04708637316629494,0.04702012710354053
sub25,0.05243570053428881,0.05254757698859836,0.05267995771876688,0.05261418038491483
sub26,0.06660479305511835,0.06784986514677804,0.06661233340637263,0.06787743596147043
sub27,0.035586582912171434,0.03576263765396759,0.035731424296645775,0.03576263765392873
sub28,0.06780706485353549,0.0679652215263693,0.06785950434624555,0.06813193392954886
sub29,0.051662170063663033,0.05249497029030725,0.053784104407823004,0.05314051643045736
sub30,0.027247205237600047,0.028409912423413064,0.02700514562137446,0.02859200159561837
sub31,0.015421051490724591,0.015996655603956356,0.018797750047698014,0.016711084049880087
sub32,0.07648847005047332,0.07659672021809072,0.07764148533774007,0.07808519679575465
