P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_error,subject
-26.633619627480712,19.306141944250086,4.943499305626362,22.56957398020741,362.6927478852007,377.5275541127068,386.59186880527056,1.8079224576584166e-36,6.716033607764212e-10,0.06292132848294105,0.08706661410088838,0.0,0.0,0.0,0.19638014602037115,-6649.51221690683,13305.02443381366,13320.445792942965,2208.7392576236143,SR_Q_D_E_WOB,0.9333934375067612,0.781717567681436,0.4439862825451283,sub01
-29.57404166325748,-6.333800270829502,-5.632496581877106,81.06337436440222,408.4118520465959,397.22793809396666,385.72831293666,3.196210369371802e-39,0.07092490449135165,0.06027244108946692,1.9273111579983277e-06,0.0,0.0,0.0,0.16840870695638366,-6843.541384512299,13693.082769024599,13708.520722427744,2829.4741363949483,SR_Q_D_E_WOB,1.0,0.9209152990315732,1.0,sub02
-14.488036332059309,18.697987603612585,37.14042040196085,13.630114580652645,370.40769595425087,368.4777543321745,380.0128044087985,0.00015485204230534358,9.804854249536536e-05,1.2941386608189184e-19,0.20921231316733852,0.0,0.0,0.0,0.09581604595753024,-6941.475881186178,13888.951762372357,13904.281400761573,4936.460153476026,SR_Q_D_E_WOB,0.4133723394326335,0.09509662793024758,0.7147914370578127,sub04
-50.64282367132625,16.71091595392609,-6.776984700137713,14.688868573810609,385.89333519411565,368.9764092347133,369.74720244426425,1.2983698610507009e-28,0.00030430085956212745,0.08199569783966923,0.12815808985252766,0.0,0.0,0.0,0.13253759496454154,-6843.789966324439,13693.579932648878,13708.8874307162,4571.6104622146695,SR_Q_D_E_WOB,0.5677659069416789,0.7461623405147163,0.2947739073971615,sub13
-29.670607722682966,-24.690068922253793,-12.893812050221847,22.20241621021502,443.36532267637136,422.90981751409606,428.29434291059783,1.8101484926750483e-11,2.538558539552761e-06,0.003903053171350125,0.017891670612058208,0.0,0.0,0.0,0.0886616494292628,-6876.745016230961,13759.490032461921,13774.745225343777,5889.690959976178,SR_Q_D_E_WOB,0.6279614075243825,0.7347235987862729,0.9981738894809852,sub14
-60.83722972881205,12.531306778614724,15.313151750420475,58.801163918212815,418.5629452770636,447.6667014121952,493.98280764656107,7.521767035419067e-16,0.051668239736690866,0.005758857489315316,0.009649059751786884,0.0,0.0,0.0,0.14320821961388894,-7511.722346770096,15029.444693540192,15044.84218619517,9525.039986840937,SR_Q_D_E_WOB,0.4551811750194776,0.8895238689126107,0.6430803393518524,sub15
-56.008486852784536,31.138817026398648,14.066289061083975,30.36000478766553,367.21526651003126,352.76088820011114,405.85473946389664,3.7319146954215464e-32,3.1082434710585373e-07,0.0058428396871212365,0.02224098692344886,0.0,1.0586413849412903e-300,0.0,0.16946231206961704,-7228.4086639908155,14462.817327981631,14478.14696637085,7889.185696073023,SR_Q_D_E_WOB,0.8054500245338158,0.8328507943825268,0.0001,sub16
-49.79607685861122,9.557725957201864,20.687908486370826,-0.6469510136908987,365.3338748720882,354.24164392880897,379.5974989255861,6.545060819540057e-26,0.07161405040031492,4.263640518328308e-06,0.9635570768371371,0.0,0.0,0.0,0.1181532661394754,-7202.134800536111,14410.26960107222,14425.650273498915,6196.980227394361,SR_Q_D_E_WOB,0.6378941717180939,0.8426257422089662,0.10999509837368376,sub33
-78.00856026955816,1.3527080055524507,-10.34494915724316,30.105764465325716,409.4518319402714,423.92106290788377,424.32683230599787,1.6068755793175035e-17,0.7964455338366974,0.019155793474426152,0.023968278795476628,0.0,0.0,0.0,0.07462127983496403,-7139.386089887503,14284.772179775005,14300.135937134737,5978.1390172516085,SR_Q_D_E_WOB,0.17737402049980486,0.3644311059407197,0.4415703101578622,sub34
-50.89194133923208,13.939008091247883,23.102812851483165,46.07917638583768,403.8484322776497,406.3236972839869,402.65194329712034,3.3545897818067486e-28,0.012226407390297228,1.348826806164197e-06,0.004956126584746144,0.0,0.0,0.0,0.1262467996401756,-7303.6603487663315,14613.320697532663,14628.71099306304,7025.738841222186,SR_Q_D_E_WOB,0.7367645765201069,0.949161544972818,0.01352714064330857,sub35
