P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_error,ccc,alpha_ccc,subject
-0.08073067628841551,0.04810325275202165,0.012970029153976105,0.053618455742494575,5.88519638240543,5.927764831090951,5.949848971407336,1.1898058940741905e-40,7.81298224433734e-10,0.051152225033237735,0.10438426062552583,0.0,0.0,0.0,0.21337898780323966,910.9067229253341,-1811.8134458506681,-1786.111180635162,0.013822337482347121,SR_Q_D_E_alphaCCC_WOB,0.7285865317036536,0.7717927092839496,0.7190076641771851,-0.33315065820989165,0.8964286095529705,sub01
-0.07731275566628065,-0.018384022812068638,-0.014766185077042582,0.18945587128665653,6.003002927253294,5.976128879304879,5.945739575935109,1.749269636367959e-41,0.03860962674528156,0.05186602438170088,1.105109821758634e-05,0.0,0.0,0.0,0.1731891087333478,742.912284047733,-1475.824568095466,-1450.094645756894,0.018156264792018442,SR_Q_D_E_alphaCCC_WOB,1.0,0.8757067186474319,0.0001,-0.8865779913166846,1.0,sub02
-0.02859268384728507,0.04899831439629152,0.09189497582731936,0.0383774613037452,5.8985820461665615,5.893341912988904,5.922781614246514,0.0017200598840148547,3.1252988181831595e-05,6.754830374689847e-20,0.14980514401450298,0.0,0.0,0.0,0.09599605668272193,414.9241314930573,-819.8482629861146,-794.2988656707532,0.029722299993797507,SR_Q_D_E_alphaCCC_WOB,0.8425841555749792,0.4684806971041354,0.9928679140523948,-0.0011152877579316822,0.3780485841200093,sub04
-0.14243929278730472,0.04044354929980504,-0.017262523284144682,0.032774864288021684,5.939355464826834,5.893540110355778,5.895412249732432,1.3515236168917496e-30,0.0009292301221154533,0.0936631820420252,0.19915379158011806,0.0,0.0,0.0,0.1374099993283796,368.3272305319077,-726.6544610638153,-701.141964284942,0.03193102937401834,SR_Q_D_E_alphaCCC_WOB,0.543410336677133,0.7485117536824047,0.2734638130782319,-0.5720086797356039,0.6251052482340539,sub13
-0.15574478508246548,-0.05208338516032759,-0.033636352284100814,0.053664086199677864,6.074814936146778,6.024138003347742,6.043064183986977,4.9885721860822976e-15,1.697569377092581e-05,0.0012286151117900308,0.013903123598127377,0.0,0.0,0.0,0.10268195722416652,362.97386319267935,-715.9477263853587,-690.522404915596,0.03187690581018378,SR_Q_D_E_alphaCCC_WOB,0.2374587248433532,0.9728033663928144,0.0001,-0.06896774887261625,0.5263656438108083,sub14
-0.15869308952920275,0.02108023725456901,0.032265646202572426,0.11337298634197712,6.024579007847517,6.089011828545871,6.1739893223242275,5.1026882897268336e-20,0.1009313948855461,0.003647438588996371,0.012627294585007786,0.0,0.0,0.0,0.15268965794467204,268.4176861094149,-526.8353722188299,-501.17288446052964,0.03813360698084064,SR_Q_D_E_alphaCCC_WOB,0.3405133071216205,0.9203494690338829,0.8010733419205507,-0.26724253808595066,0.5837986632179302,sub15
-0.14742002463144532,0.06658076447820521,0.035997719223541724,0.0644454269782673,5.887740374911079,5.851094131163443,5.973491560826215,1.6215696057696862e-32,5.838161326906279e-06,0.003527304112635466,0.04481893401503005,0.0,0.0,0.0,0.16381780404152435,146.6096907092533,-283.2193814185066,-257.66998410314517,0.04607727574021018,SR_Q_D_E_alphaCCC_WOB,0.7288464614218291,0.8583461061907127,0.0001,-0.21101926272823324,0.7447419299305988,sub16
-0.14677786203053028,0.02542712436076381,0.05683588260580282,0.001309346156197322,5.880393629191962,5.848068113498567,5.911178800756832,3.246343540896584e-30,0.061416638935034476,8.309380621494851e-07,0.9712054039715646,0.0,0.0,0.0,0.13345512931484127,226.84796862834446,-443.69593725668886,-418.0614832121949,0.0406689053905645,SR_Q_D_E_alphaCCC_WOB,0.588716309341707,0.8370516063743857,0.10219408093197477,-0.9699002480000536,0.7461589342323809,sub33
-0.1563056431819667,0.010141172883946779,-0.029351249352440077,0.07210196121751243,5.99118604605718,6.024463127740376,6.02926753076333,2.1732916893914e-17,0.4018842197396193,0.004303490477923436,0.02018115017149856,0.0,0.0,0.0,0.07924780103601192,366.6693564093541,-723.3387128187082,-697.7324505524855,0.032379341425844345,SR_Q_D_E_alphaCCC_WOB,0.22109173384647626,0.5021431950980727,0.6998641145351258,-0.5894960211728444,0.9078111165795116,sub34
-0.15132142494085216,0.03268421582688688,0.05629293156188385,0.08944215401126376,5.980287785457613,5.98351243323979,5.978289345765978,1.2619039794525643e-32,0.0106883697682104,3.340637138098736e-07,0.018025871132337848,0.0,0.0,0.0,0.13914381760874672,280.5244009301032,-551.0488018602064,-525.3983093095785,0.03736295899190959,SR_Q_D_E_alphaCCC_WOB,0.5502143306394961,0.9845099395477356,0.1819428938211004,-0.6394020963393379,0.94610999189558,sub35
