subject,SR_Q_D_alphaCCC_relevant_WOB
sub01,13335.684414752568
sub02,13722.81269137652
sub04,13918.688740455043
sub13,13723.390719254528
sub14,13787.002857486104
sub15,15053.509621681165
sub16,14511.94275829471
sub33,14441.382049869468
sub34,14315.237556714053
sub35,14647.086055754788
sub36,16467.559249649126
sub37,14032.649968804153
sub38,13750.088987475998
sub39,14243.022016518835
sub40,13747.529297128704
sub09,14109.311053012034
sub10,14807.23335141096
sub11,13801.756074443065
sub12,14192.692208763703
sub17,13273.650748979773
sub18,14533.699620429286
sub19,13832.180955795933
sub20,14359.772420590645
sub41,14675.929396199317
sub42,14395.354356763604
sub43,14117.288436952613
sub44,14902.495245519836
sub45,13641.352912574082
sub46,15248.484658406904
sub47,13949.949597040213
sub48,14950.851370294731
sub05,14259.156582860025
sub06,13732.325281729663
sub07,15050.823711846277
sub08,14183.595251120432
sub21,13830.418697819321
sub22,14483.35543694647
sub23,13153.11848519717
sub24,13638.660356931145
sub25,13464.882188469883
sub26,15048.684670863056
sub27,15045.114021999556
sub28,14237.804925956696
sub29,12558.36521345465
sub30,14167.009232221497
sub31,14433.273942034983
sub32,13806.525567509605
