P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,alpha_error,ccc,alpha_ccc,subject
-11.889442221719156,20.331432138288612,5.0271235115505535,28.899803600516552,362.40521413588067,376.50145323117897,384.361819566336,2.0773140843614155e-10,9.000803835614e-10,0.07130306972844469,0.036545392601017516,0.0,0.0,0.0,0.11664601796050122,-6709.204606784418,13426.409213568835,13446.97102574124,2427.8875252355906,AB_Q_E_alphaCCC_WOB,0.4503754104112834,0.0001,-0.5149388755255301,0.7635135359564446,sub01
-27.65499463098794,-7.093981096980218,-5.037941523357461,86.67183973315045,411.67763215021364,399.8847771803628,388.98768373783616,1.518355951487014e-22,0.052990731068097784,0.10320194906771646,7.928298179317408e-07,0.0,0.0,0.0,0.11661446452670733,-6881.878280290726,13771.756560581453,13792.34049845231,3005.703097038588,AB_Q_E_alphaCCC_WOB,0.34202022078783617,0.0001,-0.3635860069788064,0.3940760505557548,sub02
-3.3429060701031963,20.71371353247375,37.12870549537619,14.552378906133,368.29264634415694,365.03871753212815,377.4992221084964,0.1168589775567981,1.6483756069868044e-05,1.9833527337151624e-19,0.18243751033447125,0.0,0.0,0.0,0.08696278775409494,-6947.439092476818,13902.878184953635,13923.317702805924,4984.795181066752,AB_Q_E_alphaCCC_WOB,1.0,0.0001,-0.3315162667454119,1.0,sub04
-20.60691098639219,17.843813393262913,-7.2597274199245145,20.567961250314482,386.2511033813249,366.0797325021266,367.3224856478552,7.312559145042144e-10,0.00024693559511742105,0.0721441821432261,0.03960452150486471,0.0,0.0,0.0,0.06911471320359562,-6886.657523969367,13781.315047938733,13801.725045361829,4905.855160530473,AB_Q_E_alphaCCC_WOB,0.3328032751347613,0.16801468471241693,-0.11028193870534132,0.5592918311133613,sub13
-32.30900293039547,-24.27504296366867,-13.004023372510094,20.725493761775496,443.7970669497998,422.46073127887473,428.6309087025767,3.6585458209458576e-08,4.565629101850327e-06,0.00384068312209473,0.02807514844780369,0.0,0.0,0.0,0.0771888853546897,-6884.213687255382,13776.427374510764,13796.767631686576,5959.865615910418,AB_Q_E_alphaCCC_WOB,0.14105209759747134,0.14341284992615322,-0.2294152031568768,0.4448378666320709,sub14
-26.19515437573997,11.821389732944484,15.612256660810887,58.54834249256813,418.949955845958,448.1670582282609,492.5915569109815,1.2022387994915541e-06,0.0750241946619055,0.005631730206837184,0.01129566957255366,0.0,0.0,0.0,0.11421375513145315,-7532.556088246986,15073.112176493973,15093.642166700613,9847.374351951827,AB_Q_E_alphaCCC_WOB,0.26165698999615217,0.0019633488935431273,-0.8089938830238024,0.7702960471756432,sub15
-34.42443759386641,26.51115854838467,13.40941585292908,36.09634217122532,370.45382679695433,358.6780519492105,407.83688265148936,3.443519188406576e-18,3.0635253805818946e-05,0.01044666501760147,0.008076021839535584,0.0,8.43110073971523e-285,0.0,0.124805540560879,-7260.460813425287,14528.921626850572,14549.361144702862,8313.375433632771,AB_Q_E_alphaCCC_WOB,0.5629385778137049,0.0001,-0.4604312597449446,0.4670527051211471,sub16
-12.467417858610494,13.179614029654006,20.41312089511353,1.6818826620710112,362.69873554063577,350.27912671794013,377.299376266434,1.2148302251437914e-05,0.018151890686843912,1.2239401141352373e-05,0.9089817264656278,0.0,0.0,0.0,0.05035630863765672,-7248.242493294158,14504.484986588315,14524.992549823908,6673.4081473312,AB_Q_E_alphaCCC_WOB,1.0,0.0001,-0.5518462258741499,0.6633073307338372,sub33
-33.131051240105144,1.01265929394134,-9.601198583571438,33.09913930509769,410.7017093311702,423.6663126553568,424.54532194307626,4.9668859610280565e-12,0.8506142777984722,0.031299731494601815,0.013985209486651471,0.0,0.0,0.0,0.05572303668567147,-7151.900063480644,14311.800126961292,14332.285136774268,6100.225599052439,AB_Q_E_alphaCCC_WOB,0.17545796019547574,0.12440307725265748,-0.9006882942830992,0.6669512138841249,sub34
-27.10712634902833,12.95169656527057,22.94071283520319,49.23355758398625,404.92256398745036,406.6657915520374,402.0369060665134,1.1885545695730272e-10,0.026296727337764544,3.3449011143288952e-06,0.0036434948742455797,0.0,0.0,0.0,0.06825947535576282,-7343.788478410756,14695.576956821516,14716.097350862017,7492.007573096587,AB_Q_E_alphaCCC_WOB,0.3672101629569773,0.910119613135505,-0.9324393302938369,0.6644941188867267,sub35
