P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,ccc,alpha_ccc,subject
-0.01711103278002639,0.043545106319308684,-0.00018498819815968012,0.08317799522227967,5.889003440046776,5.913982907120662,5.9478938153122005,0.028402167414980212,0.012016920491152362,0.990033022754208,0.25982013728789266,0.0,0.0,0.0,0.01999833226714676,-107.8211973056334,221.6423946112668,237.0944989840444,0.06933913757077259,AB_Q_alphaCCC_WOB,0.3435368538066992,-0.34353682149867504,1.0,sub01
-0.23657629102966976,-0.05298005739692563,-0.024344604919557974,0.2226747043738797,6.030929679736418,6.015302236681809,5.952531572875436,1.9497560278200455e-10,0.0029308143672501963,0.10409867693746314,0.008952552850565025,0.0,0.0,0.0,0.05326818118342536,-125.20249238940984,256.4049847788196,271.87117368450987,0.07119014466947422,AB_Q_alphaCCC_WOB,0.05277049749523945,-0.21629341547440306,0.18802684103018424,sub02
-0.047519615037859925,-0.022021813230204523,0.08285110781418749,-0.1024786186967514,5.890964824387642,5.902612167678473,5.964749063757092,0.010180124320676323,0.5674524075493349,0.0004579477309138133,0.09524325309425448,0.0,0.0,0.0,0.02224322584725691,-701.3689763235459,1408.7379526470918,1424.192409038806,0.17577462354208487,AB_Q_alphaCCC_WOB,0.6617600550242655,-0.3624202210914947,0.0001,sub04
-0.03883000883287052,0.02803647892340166,-0.009994465727313441,0.0644105273411168,5.9263323882803896,5.8649744011718,5.878744045574536,2.603116914440521e-05,0.058228613278794965,0.42885894962496496,0.03542998797467055,0.0,0.0,0.0,0.032786193655653606,94.67033361745962,-183.34066723491924,-167.88621084320502,0.05047570390451535,AB_Q_alphaCCC_WOB,0.5458298682005156,-0.8375447451173663,0.6980959874423751,sub13
-0.09175433773802133,-0.05320446217940242,-0.0281082605887582,0.05327290972703913,6.076211707580027,6.020949082307083,6.037680890650773,8.618948842177272e-09,7.404635114600563e-06,0.0054879268318760435,0.011951957847542804,0.0,0.0,0.0,0.07726161103330552,381.4392484194009,-756.8784968388018,-741.4311020431294,0.0321560976710957,AB_Q_alphaCCC_WOB,0.08562968877727309,-0.037661508890552635,0.3102097308596468,sub14
-0.03215485655416947,0.015699915403055847,0.04966387332168143,0.10600460061928753,6.014605801303048,6.063955934427287,6.162941308915228,0.0006476556161228728,0.4390975559200537,0.004372478538398779,0.12172994216672305,0.0,0.0,0.0,0.05404379342492482,-311.4362602317301,628.8725204634602,644.3199152591326,0.0955044841813312,AB_Q_alphaCCC_WOB,0.4152124516108015,-0.8508953517564083,1.0,sub15
-0.09562916860250807,0.04646750816572813,0.02864815064334675,0.0953228733059414,5.8985595804473565,5.872453654558713,5.982914751967258,1.6931315174021143e-19,0.001442591610262881,0.020872699864483358,0.003405863991321335,0.0,0.0,0.0,0.11694046021832682,120.15453295692144,-234.3090659138429,-218.86402868214267,0.04847053031068089,AB_Q_alphaCCC_WOB,0.3364392147631767,-0.04135245330514381,0.4988385396606395,sub16
-0.02747693125512984,0.02704310459288428,0.05018222578386256,0.001691771891140892,5.872871274485936,5.830825247601132,5.899893662860014,0.0005603051510897172,0.0871643214464536,0.00020335057186894506,0.9687082681478898,0.0,0.0,0.0,0.03332097585855731,11.635576530556135,-17.271153061112273,-1.8119981562998329,0.057493343312245614,AB_Q_alphaCCC_WOB,1.0,-0.7209892856246374,0.7363230010550171,sub33
-0.07437738458483525,0.005240963150359629,-0.03506303187716081,0.07276083669634814,6.00201160074896,6.035884587847372,6.034953485420531,3.2585455325580748e-12,0.6698928066466596,0.0007468858738968598,0.020320414217162814,0.0,0.0,0.0,0.05950232285107826,345.33447425673216,-684.6689485134643,-669.2191980050679,0.034047338987161765,AB_Q_alphaCCC_WOB,0.21043186133564012,-0.9308267853151412,0.6183792871984202,sub34
-0.07357490979837736,0.02487198385998152,0.05472647130278265,0.10293471445879754,5.985025823652803,5.991468535469265,5.979833885494921,1.8440001389292655e-11,0.06293804117218439,1.487189148325909e-06,0.007869916469934441,0.0,0.0,0.0,0.06785537008284759,233.11457483755203,-460.22914967510405,-444.7723431070065,0.04064114563879062,AB_Q_alphaCCC_WOB,0.29976989608360605,-0.6104272675044283,0.4911111954865762,sub35
