subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,13421.67636,13422.63026,13425.02972,13426.40921,13351.95294,13303.98215,13305.02443,13305.41749,13309.71186
sub02,13766.76967,13768.09571,13770.74873,13771.75656,13740.92663,13691.08277,13693.08277,13695.08277,13695.65826
sub04,13897.95425,13898.81352,13902.34044,13902.87818,13885.27044,13887.13934,13888.95176,13885.49844,13899.76052
sub13,13778.39067,13778.78054,13779.37067,13781.31505,13732.97595,13693.14715,13693.57993,13696.25225,13697.08903
sub14,13770.4473,13772.434,13774.31913,13776.42737,13769.13553,13758.67793,13759.49003,13764.28687,13759.96087
sub15,15075.16178,15075.76915,15076.63429,15073.11218,15059.99452,15027.62142,15029.44469,15027.87436,15029.5788
sub16,14526.708,14524.81873,14529.77814,14528.92163,14525.42644,14480.43726,14462.81733,14484.14739,14466.61154
sub33,14500.89569,14501.19374,14504.52665,14504.48499,14455.1402,14411.22365,14410.2696,14413.75875,14413.73165
sub34,14308.16188,14309.91646,14312.14753,14311.80013,14295.40218,14284.39685,14284.77218,14288.39685,14287.71612
sub35,14691.54545,14693.4345,14693.65242,14695.57696,14661.73154,14615.43556,14613.3207,14612.39888,14611.96597
sub36,16500.3974,16501.97856,16501.20195,16499.80154,16482.16136,16435.90876,16436.17528,16427.3645,16438.70859
sub37,14084.93731,14086.02285,14087.48066,14085.22447,14050.16011,14001.12514,14001.29612,14004.43767,14001.99787
sub38,13733.09545,13735.09269,13735.28546,13738.84965,13732.11856,13718.81284,13719.90065,13722.79165,13723.90065
sub39,14441.04418,14443.0278,14443.67802,14446.91106,14396.11433,14211.38756,14209.23921,14208.88042,14201.00453
sub40,13743.74785,13745.22787,13745.66801,13746.38871,13729.6772,13715.93922,13713.10275,13713.72923,13721.99844
sub09,14163.5327,14165.434,14165.46042,14166.49061,14144.193,14078.51983,14074.86302,14081.65152,14075.88439
sub10,14798.80436,14800.16011,14797.7895,14803.92901,14797.43842,14775.49556,14775.96357,14779.44817,14781.55484
sub11,13856.68021,13858.14925,13857.36429,13861.90371,13816.54108,13770.4968,13771.1865,13773.91844,13774.14796
sub12,14188.54806,14187.39252,14196.03939,14195.46187,14187.77959,14161.18705,14159.15467,14161.00539,14163.15027
sub17,13261.05864,13262.41598,13263.58006,13261.77177,13263.8601,13243.17285,13242.10045,13245.96057,13245.26923
sub18,14514.70023,14516.6121,14518.72906,14520.12338,14511.2046,14502.36302,14504.35737,14506.11705,14508.00112
sub19,13806.13605,13805.98251,13809.14759,13810.01585,13812.13885,13800.98265,13802.68961,13803.40032,13799.27448
sub20,14433.05178,14433.93543,14436.49317,14437.90164,14381.11972,14328.21894,14327.40237,14331.58324,14332.81075
sub41,14729.44874,14730.84505,14730.45899,14735.18955,14703.35487,14649.54912,14649.5307,14649.68282,14643.08243
sub42,14367.04859,14367.71666,14370.41257,14371.63039,14365.43185,14367.30961,14368.89768,14371.02477,14372.3231
sub43,14093.13702,14093.41547,14096.69895,14097.05456,14091.62139,14086.05955,14083.237,14090.04977,14088.7406
sub44,14896.07499,14896.24043,14897.60297,14898.22544,14880.41132,14870.82478,14872.1565,14873.373,14869.84913
sub45,13695.79674,13697.47992,13698.47286,13700.93765,13668.54771,13615.51428,13617.12764,13614.46796,13616.69327
sub46,15223.37263,15224.24179,15225.12144,15228.9161,15223.69697,15216.83417,15218.6468,15217.86825,15222.95522
