P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,ccc,alpha_ccc,relevant,subject
-26.61615787589036,19.482281523514303,5.091052927656153,19.65678041565237,362.4773015427335,377.33234246440185,386.5812964664648,2.9187610958009402e-36,4.696508774049664e-10,0.055574188568013716,0.1365773854132912,0.0,0.0,0.0,0.1957700576856345,-6649.991074768532,13309.982149537063,13335.684414752568,2210.4160778874234,SR_Q_D_alphaCCC_relevant_WOB,0.9255113393513248,0.7734699104310596,-0.38509447213395664,0.4453656877416298,0.7537158715675054,sub01
-29.57404174586173,-6.333800046273756,-5.632496531682402,81.06337448342893,408.41185178207184,397.22793766658793,385.728312581254,3.19621039069808e-39,0.07092491426929229,0.0602724433802255,1.9273110917434385e-06,0.0,0.0,0.0,0.1684087069476361,-6843.541384518974,13697.082769037948,13722.81269137652,2829.4741363949493,SR_Q_D_alphaCCC_relevant_WOB,1.0,0.9209154223026981,-0.15391533383421685,0.578625824769902,0.9600141348800688,sub02
-13.053612727072116,18.365287385170127,37.19777740410064,13.211870932603825,370.6121510784242,368.54075876660886,380.0853991718817,0.00017097879140328512,0.00013748726810494799,1.1483254732522133e-19,0.2238076701390148,0.0,0.0,0.0,0.0956774671038224,-6941.569671569841,13893.139343139685,13918.688740455043,4937.216735127771,SR_Q_D_alphaCCC_relevant_WOB,0.4901261045518717,0.06326363510023766,-0.9004358575956029,0.2463948886079521,0.8476748360396757,sub04
-48.177191075842806,17.265026753935288,-6.559654795815183,13.31190600060956,385.2846075721384,368.3166535704834,369.03394846888534,1.5076032654006642e-28,0.0001869813718743344,0.09236833856187414,0.16826357332540998,0.0,0.0,0.0,0.1323246015685633,-6843.939111237827,13697.878222475654,13723.390719254528,4572.511234163437,SR_Q_D_alphaCCC_relevant_WOB,0.5825759925223257,0.7283998701143051,-0.025830194437645337,0.7076189553301947,0.6153252646870779,sub13
-39.52020074253721,-24.55047409095469,-13.141748686715493,21.596387444276857,442.85432134640206,423.01150901391014,428.5040637783728,6.861673528603031e-12,2.7693144054452454e-06,0.003253634872742168,0.02115748229001988,0.0,0.0,0.0,0.0901202224828217,-6875.788768008171,13761.577536016342,13787.002857486104,5880.264664548084,SR_Q_D_alphaCCC_relevant_WOB,0.4491039818581488,0.7396559789036659,-0.17437558860248958,0.8065158177603229,0.5222504649194353,sub14
-152.44126025730688,13.585677533877297,14.870714035717496,55.13691961954072,418.0507412189184,446.98041381555356,494.1410157943799,4.474624145308776e-17,0.03410220786150689,0.007208388514927916,0.015043320577733455,0.0,0.0,0.0,0.14703029465616302,-7508.923566961432,15027.847133922864,15053.509621681165,9482.549596008796,SR_Q_D_alphaCCC_relevant_WOB,0.15706917094484446,0.8937697665957223,-0.11743654240161315,0.3516886888985071,0.05240233261558048,sub15
-55.642620951793184,32.45900210349019,14.385431142554035,22.745867420465736,365.93075977938247,350.74497457791404,404.25054534415426,6.744822076142684e-28,1.1883817648477487e-07,0.005174056891305401,0.09023546215643637,0.0,1.4570095639105057e-296,0.0,0.15607232411674546,-7238.196680489676,14486.393360979351,14511.94275829471,8016.1370409865995,SR_Q_D_alphaCCC_relevant_WOB,0.7295706100510818,0.8817934528196688,-0.2343835730246045,0.7701584032387236,0.4710877170715972,sub16
-56.60176783701568,10.496996612128273,20.177419371765726,-5.3754824150382445,365.1949609184062,353.81493210878716,379.4280764237489,1.3733230548324576e-25,0.04749792026360729,7.373365540046422e-06,0.7044750833251578,0.0,0.0,0.0,0.11710576510113258,-7202.873797912486,14415.747595824972,14441.382049869468,6204.341306109671,SR_Q_D_alphaCCC_relevant_WOB,0.4898612568772307,0.8013052385255011,-0.2628208021236797,0.6407325234534872,0.008609005435039736,sub33
-105.5628337162191,1.3277358975726965,-10.01607836804635,30.71542587369078,409.37577846232017,423.5953175333028,423.87790193823065,2.4769115235330522e-17,0.8002711500881986,0.023340788311001757,0.02129208616346399,0.0,0.0,0.0,0.07397888698435008,-7139.815647223913,14289.631294447827,14315.237556714053,5982.2890086886,SR_Q_D_alphaCCC_relevant_WOB,0.1321470907678514,0.4193064522754302,-0.22525163275710536,0.2120072663707851,0.2807240311231117,sub34
-53.88713679787553,14.855896592139654,23.204666022616035,46.507767244329614,402.98015745207937,405.68595860342214,402.6002933296112,2.6371958343677514e-27,0.007608882614672867,1.2623544869505137e-06,0.0046339347960200426,0.0,0.0,0.0,0.12336344808346456,-7305.7177816020785,14621.43556320416,14647.086055754788,7048.92350597253,SR_Q_D_alphaCCC_relevant_WOB,0.6662107490915132,0.9777148384291732,-0.9471478750512126,0.5596329856523136,0.7829125769453863,sub35
