P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_error,ccc,alpha_ccc,subject
-26.188330576973303,19.5659850684636,4.8891529671794025,25.328583704812274,362.272057144099,377.0479968165004,386.40582086104797,2.5497046714356782e-36,3.909069227704457e-10,0.06593684272197754,0.0548050166670735,0.0,0.0,0.0,0.1959422861900536,-6649.855929558294,13309.711859116587,13335.414124332096,2209.9427100163634,SR_Q_D_E_alphaCCC_WOB,0.9201285555898572,0.8705663420159245,0.05995318707632191,-0.9097904986425159,1.0,sub01
-29.717683048447523,-6.405935136390703,-5.547995152399915,81.35322301553319,408.3596482533107,397.2979908101028,385.83696775140714,1.5680842637904302e-39,0.06766075895553403,0.06408097504545696,1.748505210045551e-06,0.0,0.0,0.0,0.1693416795234789,-6842.829131489445,13695.658262978892,13721.388185317463,2826.2997144951933,SR_Q_D_E_alphaCCC_WOB,1.0,0.8980286309471172,0.0001,-0.02337775945908427,1.0,sub02
-10.47995814743696,18.450743360042697,36.902562750319746,14.829726405971654,369.1539657816671,366.19676137065835,378.81977743524766,0.006016915696369228,0.00016534426599216806,2.793933936525271e-19,0.17273377214484667,0.0,0.0,0.0,0.09077231642428374,-6944.8802603905215,13899.76052078104,13925.309918096402,4963.9967731396055,SR_Q_D_E_alphaCCC_WOB,0.014639681150783831,0.0001,1.0,-0.4953140876165663,0.7567027859833014,sub04
-48.92284890809754,16.445551338477067,-6.7924447290721774,14.551483166916356,386.1563940465985,369.2818795278795,369.8773105985496,1.0153430166076368e-28,0.00038137599623920543,0.0812362355659665,0.131705640177447,0.0,0.0,0.0,0.13288800782000976,-6843.544516128778,13697.089032257556,13722.601529036428,4569.763752700945,SR_Q_D_E_alphaCCC_WOB,0.5975378880899211,0.7289417052893017,0.2544004653996569,-0.7737179484931863,0.5036090294480144,sub13
-31.767929829985622,-24.647082082245692,-12.992007560727995,22.002030421154014,443.39030395485764,423.5465130815043,428.4943686240548,3.0239082068840018e-12,2.4954389520163966e-06,0.003592571064198389,0.018773350529541964,0.0,0.0,0.0,0.09135135730389043,-6874.980435740944,13759.960871481888,13785.386192951648,5872.308230453405,SR_Q_D_E_alphaCCC_WOB,0.4932533985671023,0.6011316632585537,0.4875942400746505,-0.2742546597242345,0.8063353098994394,sub14
-82.89542065163943,13.473174891977484,15.407171698623705,56.75112062391859,418.445530641396,446.5844933054567,493.3123758004071,1.0709068002832179e-16,0.03578781329787604,0.0053937254685393725,0.012372901012839086,0.0,0.0,0.0,0.14584971795902102,-7509.789400805203,15029.578801610403,15055.241289368703,9495.67418532582,SR_Q_D_E_alphaCCC_WOB,0.2754615848403607,0.867130625807053,0.6086422873634213,-0.02534369350759824,0.4632147019300034,sub15
-56.27297544597294,31.342009072498765,14.098074557739489,30.39770311910613,367.1716042615197,352.58761865274096,405.6541653587752,3.3667049455475473e-32,2.5808910033175413e-07,0.0057292552788175775,0.022063423604541096,0.0,1.0988649546970282e-300,0.0,0.16960193558063175,-7228.305770680439,14466.611541360879,14492.160938676241,7887.859428754043,SR_Q_D_E_alphaCCC_WOB,0.7979824525661783,0.8341303745916089,0.0001,-0.9760927582046388,0.9593461645749396,sub16
-52.503997637460316,9.73409027059275,20.751752847740125,-0.4081612334242273,365.3103411911208,353.77903952974594,379.41533353919004,4.9977535594502395e-26,0.0663347981863014,3.9659462598049615e-06,0.9769986145292998,0.0,0.0,0.0,0.11853421984232992,-7201.865825318351,14413.731650636702,14439.366104681196,6194.303160657207,SR_Q_D_E_alphaCCC_WOB,0.5876302736533275,0.8620547258469204,0.06473758224177249,-0.7899461023497596,0.7192848107255202,sub33
-66.09485107000296,1.514008151941468,-10.330071828635653,30.57330432768012,409.2248659099028,423.82234692512077,424.2287576021148,9.440881857746403e-18,0.7724630788758995,0.01927579971221066,0.021798996278093064,0.0,0.0,0.0,0.0754103236589857,-7138.858061238355,14287.71612247671,14313.322384742933,5973.041630443126,SR_Q_D_E_alphaCCC_WOB,0.2050243296956472,0.2971757023107007,0.6769064437220629,-0.3844538136235218,0.2744266291058816,sub34
-75.98163023896258,14.890416214583745,23.526489506863232,50.50257474398642,402.70908379122886,405.4618893660104,402.65520491847036,2.2943815722366278e-29,0.007227139859253645,8.203893187630231e-07,0.002023127112396101,0.0,0.0,0.0,0.12998474722088016,-7300.982984308421,14611.965968616842,14637.616461167469,6995.682478059925,SR_Q_D_E_alphaCCC_WOB,0.3786947822080484,0.9927281667457564,0.0001,-0.010284450204101623,0.6691436531944157,sub35
-117.65715214631994,-13.084413341615006,12.1690348583185,1.3370457172085466,516.6917663235795,540.9927159249855,500.012995671574,1.4171456849592544e-21,0.2542410059804613,0.21750340968676946,0.9757045847035342,8.978664717702409e-299,5.760721032577763e-234,2.2381757150547512e-285,0.07846022169725253,-8214.354296132593,16438.708592265186,16464.359084815813,30200.46495708852,SR_Q_D_E_alphaCCC_WOB,0.5055895726074379,0.9334869262947028,0.0001,-0.9382340494648378,0.7218762192880693,sub36
-72.57969593353523,21.033682594571122,20.51233417246686,-7.036643946104193,395.1025537236185,392.90547893826823,384.13202093864965,5.15444704811194e-30,6.084495102342349e-05,2.6915225940176462e-06,0.5028298069013571,0.0,0.0,0.0,0.15084260291331475,-6995.99893334554,14001.99786669108,14027.52269393243,5709.03856564693,SR_Q_D_E_alphaCCC_WOB,0.4113866921112784,0.7197565445510884,0.023610544688885057,-0.5200640050798766,0.3007895000578474,sub37
-55.35639911101786,15.460638164932925,9.786894734488722,-27.14702482304361,394.91829358746804,404.22318188124177,404.72189705088925,6.185327278115019e-14,0.007961793291650272,0.04294049935092638,0.01428821316948406,0.0,0.0,0.0,0.07565734620008846,-6856.950326339907,13723.900652679817,13749.250023322107,6792.695213323435,SR_Q_D_E_alphaCCC_WOB,0.3482139133114793,0.4542993523686335,0.14914868611720292,-0.9658937608343556,0.6789757276314174,sub38
-88.12406039926199,2.1082422491537542,34.54306464432445,27.005327161129518,389.29298985104765,373.27999288329073,350.7530495175312,2.7584226782603742e-73,0.660568857349755,1.1251912655396436e-16,0.06550048835788642,0.0,0.0,0.0,0.29149436770220083,-7095.502265280382,14201.004530560764,14226.638984605257,5221.396359341883,SR_Q_D_E_alphaCCC_WOB,0.5919248072088987,0.9916041724237894,0.0001,-0.8415955729169482,0.9180320147025478,sub39
-43.8575692240891,4.199681840984553,-15.768337724444844,0.3961866963702647,392.8277297724514,420.5591396901188,398.57240789195424,5.278060154969448e-20,0.3243096830152903,1.1237823459543613e-05,0.966924113842857,0.0,0.0,0.0,0.1231958867284485,-6855.999219241525,13721.99843848305,13747.588519505376,3920.416239455456,SR_Q_D_E_alphaCCC_WOB,0.3828269479759672,0.3624471966688349,0.3963765959857493,-0.19706688089214,0.40113319690868393,sub40
-47.93278958233546,-9.807325765902439,-9.813510339950279,22.068536817405004,427.180011014334,431.7104549423687,416.30502649003637,1.2355660095766613e-42,0.02810636729226068,0.00978957503879381,0.0921078252765676,0.0,0.0,0.0,0.1701309032729399,-7032.942197342199,14075.884394684397,14101.54288723673,4473.093378260785,SR_Q_D_E_alphaCCC_WOB,0.7749403234697092,0.7864969041331346,0.0001,-0.7653152957429836,0.6422725839432601,sub09
-42.50400895127999,9.785155302159984,14.21103034583577,75.81225044100687,416.50717677053,410.9396180040491,390.0296253797306,2.1091471556920096e-13,0.06649053276292445,0.0018220479632703394,0.013939409903521785,0.0,0.0,0.0,0.07018482261247938,-7385.777417661982,14781.554835323965,14807.292631679911,6529.706641641791,SR_Q_D_E_alphaCCC_WOB,0.4677945073305339,0.5333798888505668,0.9062775310412332,-0.11261937642348965,0.3661941236479116,sub10
-45.622225398752015,-8.720784383559566,-12.357402312417696,-3.213611286310403,437.7032894623323,429.56948566413104,420.8241275774757,3.988460588415908e-25,0.18741066397260367,0.02567835446719378,0.7501583024673281,0.0,0.0,0.0,0.10432999405107934,-6882.073981536411,13774.147963072824,13799.407241187602,8770.36897603119,SR_Q_D_E_alphaCCC_WOB,0.9756347521942936,0.8348762924887847,0.4488781896606685,-0.7496531378885141,0.8735350997627271,sub11
-44.43072199556915,-4.273047044692192,25.18562808094833,-4.356328336035928,381.3931739640352,367.50431776946607,371.33046763204527,7.324464333177056e-13,0.38759651768037706,2.909701816542913e-09,0.7668447741414259,0.0,0.0,0.0,0.07465944631265076,-7076.57513694625,14163.1502738925,14188.752495754463,5451.4389313786405,SR_Q_D_E_alphaCCC_WOB,0.41700432845174,1.0,0.0001,-0.8545602515057642,0.4557769439085229,sub12
-23.419564856558303,4.685996441729438,5.735606437729904,-13.341834301326788,324.96352587400594,340.373117050789,335.44838885550075,4.4790850338182816e-11,0.1770461180683593,0.051983291960503525,0.0985691119142504,0.0,0.0,0.0,0.04862472680575214,-6617.6346160007215,13245.269232001443,13270.859313023771,2664.1084554686704,SR_Q_D_E_alphaCCC_WOB,0.5446541510559544,1.0,0.0001,-0.6224362160431913,0.7154439014480924,sub17
-58.89317588792854,1.0689689165464094,-3.9064599124876302,1.913696120138848,438.4710781724834,475.3137319934626,441.66970725647917,3.0998045774338002e-06,0.8951720252737535,0.568989705782084,0.893296904052387,2.8093276294577733e-277,0.0,6.447471837640406e-278,0.03833401430203187,-7249.000558619544,14508.001117239088,14533.337716482356,13655.329744693936,SR_Q_D_E_alphaCCC_WOB,0.2418608854160587,0.5708092443459228,0.4441962608994729,-0.7158414068571688,0.4427263943902829,sub18
-44.509382155460365,4.843144699235909,38.558649826206604,-18.18015515976144,392.0614806416313,386.7399219410392,401.3357790933421,7.2639391464036406e-09,0.5147890095618461,2.896686685506714e-10,0.07339849941029035,2.38003906466418e-276,0.0,6.952556436523275e-275,0.07190700485910517,-6894.637240084928,13799.274480169855,13824.472781919167,10377.306576086852,SR_Q_D_E_alphaCCC_WOB,0.28146845726541914,0.3357621263204529,1.0,-0.14888420162366744,0.12608880796779398,sub19
-59.7229570395676,5.026861835804572,6.822838932289855,31.68336539660534,413.2255195605508,427.1367771392115,438.36434456663306,1.5211525096789618e-33,0.37562470011666216,0.15557034684929896,0.008669750706812711,0.0,0.0,0.0,0.13585814262424833,-7161.405376125367,14332.810752250734,14358.364232865628,7003.836459873597,SR_Q_D_E_alphaCCC_WOB,0.7002850142863533,0.7187169863202669,0.2578792150342876,-0.2472790509581355,0.6594636106249631,sub20
-75.40293112874699,10.436708344946826,-2.550117910101129,32.96273945378877,427.60054834812576,440.9416168681968,422.41344219113984,1.674179664184637e-29,0.053772563693719265,0.5846656587341821,0.12568391170316193,0.0,0.0,0.0,0.10125499488260592,-7316.5412146735935,14643.082429347187,14668.756883605018,6781.472705484047,SR_Q_D_E_alphaCCC_WOB,0.3736788115026517,0.7564556007024911,0.952717029143739,-0.615740448436955,0.8050554902417745,sub41
-18.5410756533707,3.5596454602547283,18.77573439699228,39.732683590621264,405.0794090993975,458.23962483863465,451.0679069358141,0.0012443679896035169,0.6212584329252202,0.001462367020072333,0.003505973232709077,4.840294302966281e-302,0.0,0.0,0.0730796465804221,-7181.161549238622,14372.323098477244,14397.73164140777,10211.828742046016,SR_Q_D_E_alphaCCC_WOB,0.265857532076798,0.02626490490763,0.5512358606390252,-0.5676472822137899,0.21054286646733456,sub42
-22.103591044387628,7.580288460376611,-1.0406917543398642,9.295042462324913,439.19631217874087,415.52662398858087,420.3286557211207,5.089145826227645e-06,0.3296476022467909,0.8747060742472463,0.4260048998278512,9.232984221657656e-292,0.0,2.767758511790041e-273,0.029097725815073305,-7039.370301500046,14088.740603000091,14113.969485884487,12404.744014688717,SR_Q_D_E_alphaCCC_WOB,1.0,1.0,0.0001,-0.7668897388448783,1.0,sub43
-104.76528382848991,2.83258986452946,20.18598825689138,63.659034918979074,428.8426701693655,459.81214694671735,451.4218828056825,2.6552122102379757e-15,0.6410832554268981,8.963715685570114e-05,0.0004522715138247548,0.0,0.0,0.0,0.09000318575634947,-7429.924565706175,14869.84913141235,14895.519600018313,8201.582221128358,SR_Q_D_E_alphaCCC_WOB,0.17325930827236502,0.4925190897014865,0.6511136338419815,-0.20517859282724493,0.3547751691527969,sub44
-51.20667405658632,-3.7032476189454844,11.15473457917246,43.808596481406056,394.2311510849967,398.40321840587416,405.2480174055489,3.489346348336e-27,0.3612678913315205,0.0013330716793091642,1.1000373868151207e-05,0.0,0.0,0.0,0.11825120736919705,-6803.346633414818,13616.693266829636,13642.275237550106,3664.755203167675,SR_Q_D_E_alphaCCC_WOB,0.3690860656133888,0.9698524466069556,0.4726968051967992,-0.018432501444497373,0.6739464474794774,sub45
-31.824300835554705,-12.242528557836213,7.6456968806135395,29.97645230055335,494.69330201707567,513.6235641604012,500.0697775051431,3.6855690489638586e-07,0.08545340290505614,0.20808713886679814,0.1673227215895896,0.0,0.0,0.0,0.03697173139013698,-7606.477611709879,15222.955223419758,15248.605715970389,11409.837477587558,SR_Q_D_E_alphaCCC_WOB,0.6472759945520835,0.6528063427149525,0.6332331014341332,-0.7072300033830345,0.5461611563546737,sub46
-48.40825123830217,0.4920808148566813,5.7994161184775095,-13.32146686912612,424.8873412069635,393.31254045523184,390.1484070110577,1.2885238984229894e-26,0.9122682082159674,0.12951258000647348,0.24194409779670945,0.0,0.0,0.0,0.1348258823312004,-6955.89200486232,13921.784009724644,13947.386231586604,4485.084405552244,SR_Q_D_E_alphaCCC_WOB,0.5420139325118459,1.0,1.0,-0.16557945913179573,0.684000504709789,sub47
-80.75421793476349,-3.1614711793323247,16.996327442053612,36.912472739504345,417.42562636170965,419.06715402335607,461.11250326716345,2.1878687686680432e-20,0.6279923832690802,0.0021356702394764323,0.06633230423939765,0.0,0.0,0.0,0.11165591683483712,-7457.184188086967,14924.368376173934,14949.998812540427,9425.414938237951,SR_Q_D_E_alphaCCC_WOB,0.405852720782916,0.93899779049801,0.17749869821053638,-0.95540895555696,0.44030595058352395,sub48
-19.60575076748799,14.855731362494438,-15.958998362389273,9.192170652810404,456.3182314610568,442.0655513625879,435.9868111016589,7.391097534508572e-05,8.691193649963386e-05,2.5087568703311303e-05,0.700350858228842,0.0,0.0,0.0,0.053502525786511816,-7111.956022334625,14233.91204466925,14259.62618167506,4475.270959048019,SR_Q_D_E_alphaCCC_WOB,0.34292992013742096,0.08546014264491765,0.41099595094060587,-0.5110705411026745,0.3512493492343993,sub05
-23.711026125774477,-0.1558538087770156,11.750339885376587,14.063998832112858,366.7365068762808,366.90010290919327,371.61246260765006,1.1520240013630762e-22,0.9601566710815458,0.00017226637732271376,0.330101023614364,0.0,0.0,0.0,0.08540556335122729,-6847.353330955603,13704.706661911208,13730.40496359103,3048.236610064772,SR_Q_D_E_alphaCCC_WOB,1.0,0.96015028888449,0.0001,-0.020289119449351745,0.8616808629013718,sub06
