,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,552.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,-0.5,0.5
1,2,267.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.5,0.5,0.5,0.49993297408250065,0.5000670259174993,-0.5,0.5,0.0,0.0
2,3,227.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.49756587468429736,0.49756587468429736,0.5024341253157026,0.5,0.5,0.5024341253157026,-0.5024341253157026,0.0,0.0
3,4,302.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.5,0.4976332269007619,0.5023667730992382,0.5,0.5,0.0,0.0,-0.5,0.5
4,5,370.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.5024341253157026,0.5,0.5,0.49756587468429736,0.5024341253157026,0.0,0.0,-0.49756587468429736,0.49756587468429736
5,6,329.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.4974991750657632,0.5025008249342368,-0.5,0.5,0.0,0.0
6,7,284.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5000670259174993,0.49993297408250065,0.5000670259174993,0.5,0.5,-0.49993297408250065,0.4999329740825007,0.0,0.0
7,8,244.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4998659571499485,0.4998659571499485,0.5001340428500514,0.5,0.5,0.5001340428500515,-0.5001340428500514,0.0,0.0
8,9,295.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.4999330010361379,0.500066998963862,0.5,0.5,0.0,0.0,-0.5,0.5
9,10,291.2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.5000670259174993,0.5,0.5,0.49993297408250065,0.5000670259174993,0.0,0.0,0.5000670259174993,-0.5000670259174993
10,11,262.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.5,0.5,0.5,0.5023674256971685,0.4976325743028315,0.5,-0.5,0.0,0.0
11,12,318.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5000670259174993,0.5000670259174993,0.49993297408250065,0.5,0.5,0.4999329740825007,-0.49993297408250065,0.0,0.0
12,13,313.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5001340428500514,0.4998659571499485,0.5,0.5,0.0,0.0,0.5,-0.5
13,14,344.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5000670259174993,0.49993297408250065,-0.5,0.5,0.0,0.0
14,15,264.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.49993297408250065,0.5000670259174993,0.5,0.5,0.0,0.0,-0.5,0.5
15,16,303.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5000670259174993,0.5,0.5,0.49993297408250065,0.5000670259174993,0.0,0.0,-0.49993297408250065,0.4999329740825007
16,17,255.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.4998659571499485,0.5001340428500514,0.5,-0.5,0.0,0.0
17,18,322.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5000670259174993,0.49993297408250065,0.5,0.5,0.0,0.0,0.5,-0.5
18,19,374.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5000670259174993,0.49993297408250065,-0.5,0.5,0.0,0.0
19,20,329.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5000670259174993,0.49993297408250065,0.5000670259174993,0.5,0.5,-0.49993297408250065,0.4999329740825007,0.0,0.0
20,21,325.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.4998659571499485,0.5001340428500514,0.5,0.5,0.0,0.0,-0.5,0.5
21,22,288.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.49993297408250065,0.5000670259174993,0.5,-0.5,0.0,0.0
22,23,339.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.49993297408250065,0.5000670259174993,0.49993297408250065,0.5,0.5,-0.5000670259174993,0.5000670259174993,0.0,0.0
23,24,359.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.4999999910150527,0.5000000089849472,0.5,0.5,0.0,0.0,-0.5,0.5
24,25,358.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.49993297408250065,0.5,0.5,0.49993297408250065,0.5000670259174993,0.0,0.0,0.5000670259174993,-0.5000670259174993
25,26,402.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4999999910150527,0.5,0.5,0.5000000089849472,0.4999999910150527,0.0,0.0,-0.5000000089849472,0.5000000089849472
26,27,341.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.49993298306624345,0.5000670169337565,0.5,-0.5,0.0,0.0
27,28,313.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5000670259174993,0.5000670259174993,0.49993297408250065,0.5,0.5,0.4999329740825007,-0.49993297408250065,0.0,0.0
28,29,300.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5001340428500514,0.5001340428500514,0.4998659571499485,0.5,0.5,0.49986595714994864,-0.4998659571499485,0.0,0.0
29,30,351.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5002010507988607,0.5002010507988607,0.4997989492011392,0.5,0.5,0.4997989492011393,-0.4997989492011392,0.0,0.0
30,31,339.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5002680497651315,0.5002680497651315,0.4997319502348684,0.5,0.5,0.4997319502348685,-0.4997319502348684,0.0,0.0
31,32,294.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.500335039750068,0.500335039750068,0.4996649602499319,0.5,0.5,-0.500335039750068,0.5003350397500681,0.0,0.0
32,33,346.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.5,0.49789928337689054,0.5021007166231094,0.5,0.5,0.0,0.0,-0.5,0.5
33,34,365.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.49993297408250065,0.5,0.5,0.49993297408250065,0.5000670259174993,0.0,0.0,0.5000670259174993,-0.5000670259174993
34,35,357.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5000000089849472,0.4999999910150527,0.5,-0.5,0.0,0.0
35,36,400.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.49993297408250065,0.5000670259174993,0.49993297408250065,0.5,0.5,-0.5000670259174993,0.5000670259174993,0.0,0.0
36,37,375.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4999999910150527,0.4999999910150527,0.5000000089849472,0.5,0.5,0.5000000089849472,-0.5000000089849472,0.0,0.0
37,38,339.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.49993298306624345,0.5000670169337565,0.49993298306624345,0.5,0.5,-0.5000670169337565,0.5000670169337565,0.0,0.0
38,39,310.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4999999820325143,0.4999999820325143,0.5000000179674857,0.5,0.5,0.5000000179674857,-0.5000000179674857,0.0,0.0
39,40,434.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5000670079524222,0.4999329920475778,0.5,0.5,0.0,0.0,0.5,-0.5
40,41,349.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5000670259174993,0.5,0.5,0.5000670259174993,0.49993297408250065,0.0,0.0,0.4999329740825007,-0.49993297408250065
41,42,328.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5001340428500514,0.4998659571499485,-0.5,0.5,0.0,0.0
42,43,304.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5000670259174993,0.49993297408250065,0.5000670259174993,0.5,0.5,-0.49993297408250065,0.4999329740825007,0.0,0.0
43,44,307.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.4998659571499485,0.5001340428500514,0.5,0.5,0.0,0.0,0.5,-0.5
44,45,347.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5000670259174993,0.5,0.5,0.5000670259174993,0.49993297408250065,0.0,0.0,0.4999329740825007,-0.49993297408250065
45,46,362.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5001340428500514,0.5,0.5,0.5001340428500514,0.4998659571499485,0.0,0.0,0.49986595714994864,-0.4998659571499485
46,47,382.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4997989492011392,0.5,0.5,0.5002010507988607,0.4997989492011392,0.0,0.0,-0.5002010507988607,0.5002010507988608
47,48,401.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5001339979301328,0.4998660020698671,-0.5,0.5,0.0,0.0
48,49,329.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.49993297408250065,0.5000670259174993,0.5,0.5,0.0,0.0,-0.5,0.5
