subject,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB
sub_1,0.9575059293189709,0.957517906804024,0.960658814753489,0.9540762966559608,0.8004106556256616
sub_2,0.9533201596577342,0.9610499923393556,0.9609601381772408,0.9530065083474138,0.8888195508844393
sub_3,0.7379735560312024,0.9087591359203478,0.908777156159091,0.9087591359200448,0.90877715616005
sub_4,0.9403461950758009,0.9402694776549568,0.9381944056016543,0.9402693711371756,0.9405870071997484
sub_5,0.90349578809128,0.9037911660205026,0.8997809896657771,0.9036179791876118,0.90349024472175
sub_6,0.8954260763601857,0.8921784840140692,0.892231568895088,0.8921785320836991,0.8921786043304035
sub_7,0.9481724573870416,0.9477466524218024,0.9503466384865464,0.9477466524219684,0.9421903098732901
sub_8,0.9412979517161336,0.9405613544328324,0.9405614038473558,0.9414890657112024,0.9405614038473558
sub_9,0.7077332018963355,0.9457794301540228,0.9457794301432676,0.9457794301540228,0.9457794301432676
sub_10,0.9078034149560784,0.9094954680974277,0.9094942537619654,0.9078027645607978,0.907802629001884
sub_11,0.9181916869193292,0.9182079052077294,0.9182080408680072,0.9182083640460612,0.9201726213390216
sub_12,0.8837554132274035,0.8861341262571194,0.8861949314271471,0.8861341262572898,0.8861686148538259
sub_13,0.8988924707686631,0.8984817941987302,0.8604644529346678,0.8973223488257509,0.9003432115386145
sub_14,0.7326704893729192,0.9518021136273794,0.9521957950298868,0.9521930231939096,0.9521957950299482
sub_15,0.7006088542913038,0.9400542737816108,0.9381884615298616,0.9400542737816842,0.9402067345566464
sub_16,0.9387085195110274,0.9387134843510214,0.940627724283692,0.9387134843510216,0.940627724283698
sub_17,0.9170333467715478,0.9189851683556348,0.9113105745125556,0.8268818433353345,0.9195163731588716
sub_18,0.9809682439411032,0.9813665150717016,0.9809569294832164,0.9813959718736692,0.9813959718719416
