subject,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB
sub_1,11405.776357504817,11412.366551614741,11346.101320928057,11500.243287797866,12905.85696600057
sub_2,11257.772178891542,11095.16651497317,11104.16491141388,11284.565164125479,12097.438904335984
sub_3,11877.81670392371,11007.882064637352,11014.440554191773,11021.327324229822,11027.88581377275
sub_4,11611.649899326367,11619.715615077725,11658.83924250309,11633.419670155095,11635.2321163555
sub_5,12553.15154515874,12557.09782164561,12602.707269928746,12572.51541134156,12580.62769099572
sub_6,7489.557804052284,7511.942248604942,7517.949921905205,7524.476414751695,7530.743262179225
sub_7,11610.465292900815,11625.12258123087,11583.343110906684,11638.841811035145,11742.004414225425
sub_8,11203.25866022707,11220.576095152617,11227.318270800388,11220.721997338396,11240.80403207197
sub_9,13020.802001141608,11449.168184653308,11456.010868121411,11462.853551217782,11469.69623468589
sub_10,12468.16752555427,12457.461919083084,12464.328993194744,12488.7372766466,12495.593025005792
sub_11,12639.551367454656,12646.222033820872,12653.080068078472,12659.935917461687,12643.629577775395
sub_12,12469.767386144793,12457.550924002539,12463.884432256476,12471.201844073672,12477.748302089367
sub_13,12719.05411338251,12729.761451225357,13038.795087957085,12754.262889304058,12732.7501537903
sub_14,13040.703010769406,11428.611521698838,11427.712229411496,11434.618206779593,11441.41459926527
sub_15,13362.016087612476,11844.191321878809,11880.10231610275,11857.900030882158,11862.340252932392
sub_16,12033.72935389723,12040.509830269719,12017.189768200797,12054.224858394811,12030.904796325789
sub_17,11898.525505545418,11882.993262163704,11974.917057756536,12610.466598958506,11897.347136068178
sub_18,10474.553746408405,10461.117900473411,10488.858167376024,10473.332947257244,10480.19988063085
