,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB
alpha,4.035880,9.320875,5.289235,1.032244,3.321766,
exp_r,0.175473,0.405255,0.229967,0.044880,0.144425,
xp,0.047276,0.806466,0.121329,0.000741,0.024188,
pxp,0.091239,0.631888,0.143975,0.058100,0.074797,
