P_diff,congruency,Response,P,congruency.1,Response.1,p_DIFF,CONGRUENCY,rESPONSE,p,CONGRUENCY.1,rESPONSE.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,alpha_v,subject
-477.3089111594615,-18.095407027167152,-3.8404308606688815,-477.3089111594617,-18.09540702716753,-3.840430860669168,0.0,8.387290681428691e-09,0.21809063514450944,0.0,8.387290681423266e-09,0.2180906351444756,0.9575059293189709,-5696.029613717617,11396.059227435231,11405.776357504817,9214.851011258552,SR_Q_V_WOB,0.0001,0.00010978645919903568,sub_1
-449.3427115298186,-16.95572910572458,10.98921108081176,-449.34271152981836,-16.955729105724654,10.989211080811787,0.0,1.7265820813025956e-07,0.000661889728854716,0.0,1.7265820813023796e-07,0.0006618897288546907,0.9533201596577342,-5622.044473969295,11248.088947938591,11257.772178891542,9653.139481176375,SR_Q_V_WOB,0.0001,0.004023909698316558,sub_2
-197.8911201548431,142.68452331121262,145.86592675407567,-197.89112015484318,142.68452331121256,145.86592675407562,3.666612619549951e-50,1.0884908174878368e-47,1.0672498450635006e-49,3.666612619549689e-50,1.0884908174879613e-47,1.0672498450635462e-49,0.7379735560312024,-5932.185722167001,11868.371444334,11877.81670392371,92906.12798298842,SR_Q_V_WOB,0.9538354888779244,0.13391388597135698,sub_3
-465.8400655061212,-23.694336841750737,1.7116198743978568,-465.8400655061212,-23.694336841750733,1.7116198743980853,0.0,1.6262253081042356e-10,0.638759957151543,0.0,1.626225308104289e-10,0.6387599571514979,0.9403461950758009,-5798.973764735691,11601.94752947138,11611.649899326367,12520.007861636721,SR_Q_V_WOB,0.0007953876325263624,0.0001,sub_4
-529.8348512274812,-11.065126756483982,28.30796613396419,-529.8348512274815,-11.065126756484112,28.307966133964197,2.1566367907077484e-284,0.05701336778342896,1.3549387979948518e-06,2.156636790708239e-284,0.057013367783426284,1.3549387979948518e-06,0.90349578809128,-6269.720363780761,12543.440727561521,12553.15154515874,32062.518625769462,SR_Q_V_WOB,0.0003011651919919312,0.0001,sub_5
-997.2423921033153,-21.407490002657386,-136.71989030862449,-997.2423921033153,-21.407490002657443,-136.71989030862397,3.0918302120950563e-175,0.09494829675440006,3.155596524389323e-19,3.0918302120955843e-175,0.0949482967543994,3.1555965243901627e-19,0.8954260763601857,-3738.5117014776006,7481.023402955201,7489.557804052284,84967.4166924494,SR_Q_V_WOB,0.0005838798122811817,0.00312360432842108,sub_6
-436.2494077160092,1.1130319103827184,16.431991843601757,-436.2494077160096,1.113031910382862,16.431991843601867,0.0,0.7449832071048592,2.137431734204679e-06,0.0,0.7449832071048275,2.1374317342043067e-06,0.9481724573870416,-5798.373031546756,11600.746063093507,11610.465292900815,11280.114344398524,SR_Q_V_WOB,0.0017305287621299733,0.0013951350934480653,sub_7
-680.166450444312,4.218811588871584,24.489523399497784,-680.1664504443116,4.218811588871706,24.489523399498147,0.0,0.4918885388619453,6.502193632421502e-05,0.0,0.4918885388619325,6.502193632419915e-05,0.9412979517161336,-5594.886449477743,11193.772898955483,11203.25866022707,31495.810799193736,SR_Q_V_WOB,0.0023249490237542804,0.0001,sub_8
-173.44359304203118,99.33105188692534,113.35369139149248,-173.44359304203113,99.3310518869255,113.35369139149248,7.631419448734318e-59,9.581829459176263e-41,3.281627134200224e-51,7.6314194487356246e-59,9.581829459175033e-41,3.281627134199848e-51,0.7077332018963355,-6503.558317288565,13011.11663457713,13020.802001141608,62553.92272551291,SR_Q_V_WOB,0.3883564479988149,0.7826339759372726,sub_9
-541.2975952772099,-8.180174273862068,7.749438434940966,-541.2975952772099,-8.1801742738622,7.749438434941032,2.5362096948562054e-300,0.14526410844502574,0.1673807787140155,2.5362096948562054e-300,0.14526410844501925,0.16738077871401158,0.9078034149560784,-6227.2294082748795,12458.458816549759,12468.16752555427,29724.821573896053,SR_Q_V_WOB,0.0001,0.0006875526589389503,sub_10
