P_diff,congruency,Response,P,congruency.1,Response.1,p_DIFF,CONGRUENCY,rESPONSE,p,CONGRUENCY.1,rESPONSE.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_error,alpha_v,subject
-489.8897263500396,-20.210907342193853,-3.578706440141052,-489.8897263500395,-20.210907342193924,-3.5787064401408912,0.0,2.976807543413436e-11,0.2319891731835648,0.0,2.9768075434130045e-11,0.2319891731835856,0.960658814753489,-5659.333530394446,11326.667060788892,11346.101320928057,8531.146930446332,SR_Q_D_E_V_WOB,0.031421297058099304,0.42304255051939305,0.17208810126480226,0.043365072923879915,sub_1
-463.0877010746418,-17.95225130206999,10.238304774809844,-463.0877010746417,-17.952251302069605,10.23830477480946,0.0,1.4816213802712785e-09,0.0005089165253097327,0.0,1.481621380272337e-09,0.0005089165253099854,0.9609601381772408,-5538.399224753985,11084.798449507969,11104.16491141388,8073.233086012552,SR_Q_D_E_V_WOB,0.09589188617614183,0.8746696729455123,0.09207709205285544,0.06693394426962943,sub_2
-525.3164596220424,22.15243116423769,26.56563181696559,-525.3164596220427,22.152431164238056,26.56563181696577,4.0425147806661763e-240,0.0004042449129920485,2.1214336654019488e-05,4.0425147806666355e-240,0.00040424491299195504,2.1214336654016517e-05,0.908777156159091,-5493.7750175061765,10995.550035012351,11014.440554191773,32344.679021677897,SR_Q_D_E_V_WOB,0.05889058556187625,0.7008502676959167,0.0001,0.030898383772254012,sub_3
-457.5693723267793,-21.08301355059941,4.937951326913665,-457.5693723267794,-21.08301355059936,4.9379513269135895,0.0,1.821163474531601e-08,0.1809541093588101,0.0,1.8211634745317082e-08,0.1809541093588168,0.9381944056016543,-5815.717251396558,11639.434502793116,11658.83924250309,12971.620813796177,SR_Q_D_E_V_WOB,0.02569006357214356,0.9999999642715032,0.974409950576264,0.0001,sub_4
-522.2739178934755,-12.93720722060312,33.51879326283423,-522.2739178934752,-12.937207220603154,33.51879326283397,1.2463466814549898e-276,0.02996683836308506,1.6629511875508806e-08,1.2463466814549898e-276,0.029966838363084582,1.6629511875513527e-08,0.8997809896657771,-6287.642817367152,12583.285634734304,12602.707269928746,33296.721723880706,SR_Q_D_E_V_WOB,0.0001,0.9172490733439288,0.8540143819133983,0.0001,sub_5
-888.4955579576274,-17.019284113191333,-29.5665332497744,-888.4955579576275,-17.019284113191468,-29.56653324977424,8.239967429423298e-172,0.189251520635602,0.0302236972717223,8.239967429423298e-172,0.18925152063559866,0.030223697271723037,0.892231568895088,-3746.44055985552,7500.88111971104,7517.949921905205,87562.98726403354,SR_Q_D_E_V_WOB,0.0001,0.9417734989716472,0.05457534301664002,0.0001,sub_6
-448.934241196362,-1.2466264488931174,16.106655855964732,-448.93424119636177,-1.2466264488929737,16.106655855964696,0.0,0.7108955472354516,2.0451393716464317e-06,0.0,0.7108955472354832,2.045139371646561e-06,0.9503466384865464,-5777.9523256460325,11563.904651292069,11583.343110906684,10806.910133441816,SR_Q_D_E_V_WOB,0.033123631428628696,0.3700302581758979,0.03815123865865132,0.029706651551257623,sub_7
-678.3151791068301,7.292235263439293,24.29427779196227,-678.3151791068303,7.292235263439313,24.29427779196291,3.95e-322,0.23589072517805684,8.315941816651871e-05,3.95e-322,0.2358907251780553,8.315941816648087e-05,0.9405614038473558,-5600.17337412861,11208.34674825722,11227.318270800388,32016.155219863365,SR_Q_D_E_V_WOB,0.0001,1.0,0.0001,0.0001,sub_8
-464.28808398636147,-14.162651321430907,-0.2521317647058785,-464.2880839863612,-14.162651321430696,-0.2521317647055925,0.0,6.35227268797897e-05,0.9429935978548728,0.0,6.352272687980464e-05,0.9429935978549372,0.9457794301432676,-5714.320067496229,11436.640134992458,11456.010868121411,11604.190585426984,SR_Q_D_E_V_WOB,0.0001,1.0,0.0001,0.0001,sub_9
-548.0068417258667,-8.334961296305176,8.701140597170749,-548.0068417258665,-8.334961296305167,8.701140597170912,4.024375354185622e-304,0.1339365869558973,0.11674258244255825,4.024375354186997e-304,0.13393658695589766,0.11674258244255105,0.9094942537619654,-6218.455787592862,12444.911575185724,12464.328993194744,29179.683277590077,SR_Q_D_E_V_WOB,0.012248218254839023,0.08662106956334098,0.02589638212733505,9.999999999999941e-05,sub_10
-613.7180914354644,0.9367678558102366,-4.123852524874286,-613.7180914354644,0.9367678558104088,-4.123852524874135,0.0,0.8741372843130262,0.4856370844097962,0.0,0.8741372843130031,0.4856370844098122,0.9182080408680072,-6312.8208042319275,12633.641608463855,12653.080068078472,33201.581019931466,SR_Q_D_E_V_WOB,0.00010414895861282441,0.9999996960165434,0.0001040746158358777,0.0001,sub_11
-589.8604959326698,-22.973998325493067,25.213255851234827,-589.8604959326699,-22.97399832549301,25.21325585123499,1.0650942786450418e-255,0.0007818194931211675,0.00022352138646976913,1.0650942786454054e-255,0.0007818194931211869,0.00022352138646974584,0.8861949314271471,-6218.291296055728,12444.582592111456,12463.884432256476,42850.38629940187,SR_Q_D_E_V_WOB,0.030464128633813387,0.3039252755299324,0.021293003338457173,0.05179395930851508,sub_12
-578.5320092695653,-25.128819800327353,45.39291419959417,-578.5320092695649,-25.128819800327506,45.392914199594145,4.837662178680693e-239,0.0004989422501211604,3.4354625619356236e-10,4.837662178678489e-239,0.000498942250121122,3.435462561935711e-10,0.8604644529346678,-6505.684620009353,13019.369240018706,13038.795087957085,51963.72038017064,SR_Q_D_E_V_WOB,0.1800812436001085,0.4031013488775657,0.5127856410171399,0.2138711582631609,sub_13
-453.1798114848384,-8.019615002713246,8.354035174826777,-453.1798114848384,-8.019615002713172,8.354035174826757,0.0,0.014457449771270553,0.010969641487828986,0.0,0.014457449771271415,0.010969641487829142,0.9521957950298868,-5700.153744850761,11408.307489701521,11427.712229411496,10157.223264190126,SR_Q_D_E_V_WOB,0.02466861935164593,0.7527736615946656,0.035053544847913634,0.017778489640928426,sub_14
-515.4268138700676,-11.88808602876033,-14.667193136108224,-515.4268138700672,-11.888086028760796,-14.667193136108661,0.0,0.003682815758960121,0.0003451514887929209,0.0,0.0036828157589588227,0.00034515148879278915,0.9381884615298616,-5926.342449046864,11860.684898093728,11880.10231610275,15752.815743909463,SR_Q_D_E_V_WOB,0.0001014045278168672,1.0,0.0001014045278168673,0.00010140452781686723,sub_15
-550.6761402840832,-19.468060785349678,4.491314668816164,-550.676140284083,-19.468060785349728,4.49131466881621,0.0,6.3286013423117935e-06,0.2951508371790027,0.0,6.328601342311454e-06,0.2951508371789978,0.940627724283692,-5994.879855975307,11997.759711950614,12017.189768200797,17494.670096874546,SR_Q_D_E_V_WOB,0.02198596081861493,0.19927528683508547,0.0001,0.01314147890055599,sub_16
-413.11220506053115,17.141481829489365,11.461610401409098,-413.1122050605316,17.141481829489216,11.4616104014095,2.6921602330426836e-292,0.00015378627410202,0.010722876855845873,2.6921602330423787e-292,0.0001537862741020422,0.010722876855843036,0.9113105745125556,-5973.766769127739,11955.53353825548,11974.917057756536,19385.196758617192,SR_Q_D_E_V_WOB,0.0001,0.9999999999992478,0.9999917429552512,0.0001,sub_17
-436.63390331972346,-19.673428252282783,-13.992319403636305,-436.63390331972346,-19.673428252282605,-13.992319403636525,0.0,7.991530837097154e-26,3.487650273253914e-14,0.0,7.991530837103624e-26,3.4876502732509785e-14,0.9809569294832164,-5230.695217119088,10469.390434238176,10488.858167376024,3164.3371972327063,SR_Q_D_E_V_WOB,0.00010337485931362808,1.0,0.8936567143015564,0.00010463543535146308,sub_18
