"","Subject_num","s_20_con","v_20_con","s_80_con","v_80_con","s_20_inc","v_20_inc","s_80_inc","v_80_inc"
"1",1,0,2.08333333333334,0,0,0.520833333333337,0.520833333333337,8.33333333333334,2.08333333333334
"2",2,0,8.33333333333334,0.520833333333337,1.5625,3.125,2.60416666666666,6.25,4.16666666666666
"3",4,2.08333333333334,0,0.520833333333337,0,0,0,6.25,12.5
"4",5,0,2.12765957446809,0,0,0,0.526315789473686,4.16666666666666,2.08333333333334
"5",7,0,0,0.520833333333337,0.520833333333337,0.520833333333337,0,2.08333333333334,6.25
"6",9,0,6.25,0.520833333333337,1.04166666666667,3.125,2.08333333333334,14.5833333333333,0
"7",10,2.08333333333334,0,0.523560209424079,0,1.57068062827225,0.531914893617025,0,0
"8",11,0,0,0,0,0.523560209424079,0,0,2.12765957446809
"9",12,2.08333333333334,4.16666666666666,0,2.08333333333334,1.04166666666666,8.90052356020941,6.25,14.5833333333333
"10",13,0,0,0,0.520833333333337,0.526315789473686,0.523560209424079,4.16666666666666,2.08333333333334
"11",14,2.08333333333334,4.16666666666666,0,0,1.04712041884817,1.5625,2.12765957446809,4.25531914893616
"12",15,0,0,0,0.523560209424079,0,2.08333333333334,0,6.25
"13",16,0,2.12765957446809,0.523560209424079,0.520833333333337,0,0,2.08333333333334,2.08333333333334
"14",17,10.4166666666667,8.33333333333333,1.5625,0.520833333333337,2.08333333333334,0.520833333333337,2.08333333333334,2.08333333333334
"15",18,0,0,0,0,0,0,0,0
"16",19,4.16666666666666,0,0,2.28571428571429,7.56756756756756,7.22222222222223,21.7391304347826,9.30232558139534
"17",20,0,0,0,0,0,0,0,0
"18",21,0,8.33333333333334,0,1.04166666666666,1.0752688172043,3.125,4.25531914893618,8.51063829787234
"19",22,0,0,0.540540540540535,1.05820105820106,2.90697674418605,0.529100529100535,9.09090909090909,2.08333333333334
"20",23,0,0,1.04166666666666,1.04166666666666,1.5625,3.64583333333333,0,2.08333333333334
"21",24,0,0,0,0,1.04166666666666,2.08333333333334,12.5,14.5833333333333
"22",25,0,2.08333333333334,0.520833333333337,0,0,0,2.08333333333334,2.08333333333334
"23",26,0,2.17391304347826,0.60606060606061,0,1.89873417721519,1.61290322580645,5,2.22222222222223
"24",28,0,0,0.520833333333337,0,0,1.04712041884817,0,0
"25",29,10.4166666666667,6.25,3.125,4.16666666666667,3.64583333333334,2.60416666666667,12.5,6.25
"26",30,0,0,0,0,0,0,0,0
"27",31,0,0,0,0,0,0.520833333333337,0,2.08333333333334
"28",32,0,2.12765957446809,0.520833333333337,0,0,0,0,0
"29",33,0,0,0,0,0.714285714285712,1.63934426229508,14.7058823529412,4.34782608695652
"30",34,8.33333333333334,4.16666666666666,1.04166666666666,1.04166666666667,1.04166666666666,2.60416666666666,18.75,18.75
"31",35,4.87804878048781,0,0.529100529100535,0.529100529100535,0.574712643678166,0,0,2.08333333333334
"32",36,6.25,20.8333333333333,2.08333333333334,1.04166666666666,3.125,0.520833333333337,4.16666666666667,6.25
