"","sub","v_RT_part_1","v_RT_part_2","v_RT_part_3","s_RT_part_1","s_RT_part_2","s_RT_part_3"
"1","1",88.9792658730159,94.8120634920635,83.1866666666666,86.4120634920635,96.1995391705069,64.0341269841269
"2","2",75.065120967742,47.5960655737705,23.3531182795699,81.0819047619048,57.8444444444444,48.6650793650794
"3","4",79.3079365079365,101.985359801489,120.703225806452,69.1862365591398,88.8140552995392,89.737311827957
"4","5",62.9298412698413,39.3679569892474,-36.888064516129,70.0043010752688,69.0233021077283,61.3836559139785
"5","7",47.2487096774194,58.2725806451613,13.8744086021505,58.600634920635,56.9327956989247,19.4203174603174
"6","9",43.3514112903226,41.8566666666667,14.7417338709678,68.7753456221198,78.8427490542245,105.545905707196
"7","10",72.10625,35.9692473118279,-18.7824596774194,71.190120967742,71.9894623655914,17.08
"8","11",44.1625396825397,29.5972350230414,31.9668817204301,41.9155241935484,43.8888172043011,136.131612903226
"9","12",114.299648711944,145.59717948718,222.432857142857,126.090793650794,207.588279569893,247.822795698925
"10","13",91.9939516129032,220.455376344086,298.15625,79.2803174603175,125.954920634921,168.212698412698
"11","14",41.3819047619048,40.8979262672811,1.97505376344088,35.7939682539682,47.7627956989247,80.4015873015873
"12","15",76.3539682539682,78.7119815668203,76.1204301075269,54.549503968254,42.6952380952381,-4.09079365079367
"13","16",92.6518026565465,82.2148711943794,150.475698924731,66.4238095238096,86.5689247311828,123.891182795699
"14","17",33.5368055555556,12.7095238095238,-63.9260317460318,23.1530241935484,53.8526775956284,5.85892473118281
"15","18",44.040625,52.4625992063492,60.86875,51.5984375,58.8910714285714,66.3015625
"16","19",78.0012362637362,77.6289393939394,167.127832167832,68.9783333333334,84.7913713405239,90.5633333333333
"17","20",24.1241530054644,22.0400000000001,-36.7911475409836,32.1175403225807,14.840752688172,-15.935685483871
"18","21",57.8193208430913,63.609079445145,59.4492974238876,72.7446994535519,106.88,141.119672131148
"19","22",69.8862903225806,47.4392349726776,-17.9550819672131,107.488498789346,132.80482398957,405.14406779661
"20","23",68.5983870967742,40.6887431693989,93.1792338709678,55.3147177419355,22.6010752688172,11.102688172043
"21","24",123.039955357143,137.1442002442,228.696825396825,141.970634920635,146.472084367246,92.3509925558313
"22","25",45.140625,33.2339682539683,-0.620312500000011,63.0734126984127,46.8184946236559,7.90387096774191
"23","26",50.2263157894737,42.5142857142857,79.2875,49.5448717948718,77.1213836477987,58.3925925925926
"24","28",26.4086693548387,36.186987704918,50.660685483871,31.9960317460317,33.2324731182796,33.550496031746
"25","29",44.8533333333334,24.2880952380952,-13.4745355191258,50.5770491803279,43.9969047619048,41.6483333333333
"26","30",46.4510110294117,13.8150793650793,-55.5143849206349,87.5050403225806,76.8997983870968,197.005053763441
"27","31",56.6967261904762,62.3447311827957,46.055238095238,52.3676587301588,60.0729032258064,5.75999999999999
"28","32",60.0983333333333,28.6116666666667,29.4675,26.06875,22.5088888888889,11.0388888888889
"29","33",62.6063276836159,31.3076354679803,62.6177966101695,83.82,81.9868480725624,31.2560090702948
"30","34",71.6230158730159,61.9200879765395,57.0794871794872,84.766253101737,65.4459677419355,122.949007444169
"31","35",15.0758064516129,-8.53836065573768,-17.2884153005464,24.567311827957,7.98120218579237,87.5774193548386
"32","36",42.1155208333333,35.32043715847,31.5311111111111,41.7078125,43.2576112412178,31.895376344086
