,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,488.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,2,459.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.9073774248212678,0.09262257517873218,0.5,0.5,0.0,0.0,-0.5,0.5
2,3,491.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2361729019369051,0.7638270980630949,0.2361729019369051,0.09262257517873218,0.9073774248212678,-0.7638270980630949,0.7638270980630949,0.0,0.0
3,4,422.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.2361729019369051,0.14149526562780368,0.8585047343721963,0.2361729019369051,0.7638270980630949,0.0,0.0,0.7638270980630949,-0.7638270980630949
4,5,458.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.26782399330843,0.26782399330843,0.73217600669157,0.8585047343721963,0.14149526562780368,0.73217600669157,-0.73217600669157,0.0,0.0
5,6,501.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.73217600669157,0.8643679455522922,0.13563205444770776,0.73217600669157,0.26782399330843,0.0,0.0,0.26782399330843,-0.26782399330843
6,7,473.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9503869040902433,0.7359731586610354,0.26402684133896465,0.9503869040902433,0.049613095909756655,0.0,0.0,0.04961309590975671,-0.049613095909756655
7,8,532.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.009190585411502174,0.6528217075299089,0.34717829247009113,0.9908094145884978,0.009190585411502174,0.0,0.0,-0.9908094145884978,0.9908094145884978
8,9,520.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.598970893235805,0.598970893235805,0.401029106764195,0.1835426389810375,0.8164573610189625,0.401029106764195,-0.401029106764195,0.0,0.0
9,10,459.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.07428869718025294,0.925711302819747,0.07428869718025294,0.29505485053579406,0.704945149464206,-0.925711302819747,0.925711302819747,0.0,0.0
10,11,422.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.36727275310120255,0.17148352947844825,0.8285164705215518,0.36727275310120255,0.6327272468987974,0.0,0.0,0.6327272468987974,-0.6327272468987974
11,12,586.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7127549093366119,0.2872450906633881,0.7127549093366119,0.8827903460129678,0.1172096539870322,-0.2872450906633881,0.2872450906633881,0.0,0.0
12,13,437.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9467892399906171,0.053210760009382824,0.9467892399906171,0.747903933801628,0.252096066198372,-0.053210760009382824,0.05321076000938285,0.0,0.0
13,14,377.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6605483550837513,0.009857035238573071,0.9901429647614269,0.6605483550837513,0.3394516449162487,0.0,0.0,0.3394516449162487,-0.3394516449162487
14,15,508.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.18257201270840265,0.18257201270840265,0.8174279872915974,0.9371182289984009,0.06288177100159908,0.8174279872915974,-0.8174279872915974,0.0,0.0
15,16,492.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.783087934776269,0.8485754295877685,0.15142457041223145,0.783087934776269,0.216912065223731,0.0,0.0,0.21691206522373097,-0.216912065223731
16,17,467.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7257455579051433,0.7257455579051433,0.2742544420948568,0.9598180918632818,0.04018190813671815,0.2742544420948567,-0.2742544420948568,0.0,0.0
17,18,462.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.050804305362064234,0.9491956946379357,0.050804305362064234,0.797788894086175,0.202211105913825,-0.9491956946379357,0.9491956946379357,0.0,0.0
18,19,406.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8241661008281378,0.1758338991718622,0.8241661008281378,0.6928550159514688,0.30714498404853124,-0.1758338991718622,0.1758338991718622,0.0,0.0
19,20,489.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.37510260484436253,0.03257237709003083,0.9674276229099692,0.6248973951556375,0.37510260484436253,0.0,0.0,-0.6248973951556375,0.6248973951556375
20,21,481.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.11575921192359384,0.19728299657013873,0.8027170034298613,0.11575921192359384,0.8842407880764062,0.0,0.0,0.8842407880764062,-0.8842407880764062
21,22,512.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3039534257837285,0.3039534257837285,0.6960465742162715,0.8361986822605834,0.16380131773941664,0.6960465742162715,-0.6960465742162715,0.0,0.0
22,23,408.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8710607477035088,0.8710607477035088,0.12893925229649117,0.7177300883875968,0.2822699116124032,0.12893925229649117,-0.12893925229649117,0.0,0.0
23,24,331.6,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.3589929292092626,0.9761146288213575,0.023885371178642534,0.6410070707907374,0.3589929292092626,0.0,0.0,0.3589929292092626,-0.3589929292092626
24,25,499.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.3589570263264124,0.8083429105636797,0.19165708943632037,0.6410429736735876,0.3589570263264124,0.0,0.0,-0.6410429736735876,0.6410429736735876
25,26,526.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8812498979562402,0.699690042564423,0.300309957435577,0.1187501020437598,0.8812498979562402,0.0,0.0,-0.1187501020437598,0.1187501020437598
26,27,409.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6293239174089776,0.6293239174089776,0.37067608259102236,0.02199788050806052,0.9780021194919395,0.37067608259102236,-0.37067608259102236,0.0,0.0
27,28,557.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8095652934349429,0.9313340533465102,0.0686659466534898,0.19043470656505718,0.8095652934349429,0.0,0.0,-0.19043470656505718,0.19043470656505712
28,29,480.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7793419680536529,0.7793419680536529,0.22065803194634717,0.03527710585092361,0.9647228941490764,0.22065803194634714,-0.22065803194634717,0.0,0.0
29,30,636.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.19903464184195813,0.9591241696945167,0.04087583030548325,0.19903464184195813,0.8009653581580419,0.0,0.0,0.8009653581580418,-0.8009653581580419
30,31,459.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2026605060546091,0.7973394939453908,0.2026605060546091,0.8516250517968933,0.14837494820310682,-0.7973394939453908,0.7973394939453908,0.0,0.0
31,32,415.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.1477032744418585,0.1477032744418585,0.8522967255581415,0.7277205641980794,0.27227943580192066,0.8522967255581415,-0.8522967255581415,0.0,0.0
32,33,558.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.15788383507519244,0.8421161649248076,0.15788383507519244,0.6474771353567982,0.3525228646432018,-0.8421161649248076,0.8421161649248076,0.0,0.0
