P_diff,congruency,hand,postError,block1,block2,block3,P,congruency.1,hand.1,postError.1,block1.1,block2.1,block3.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,BLOCK1.1,BLOCK2.1,BLOCK3.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_error,subject
-36.27032245081946,8.785435036420324,2.712965869721464,9.271752154745878,163.64851407732414,171.07487320908137,175.49812540453732,-36.27032245081922,8.78543503642024,2.7129658697213737,9.271752154745878,163.64851407732425,171.07487320908143,175.4981254045374,4.083476233739488e-30,4.415085066217242e-08,0.048024533642681035,0.17581378817935875,0.0,0.0,0.0,4.0834762337436974e-30,4.415085066218584e-08,0.04802453364268845,0.17581378817935905,0.0,0.0,0.0,0.16765937360653016,-6764.446911314196,13534.893822628392,13550.34592700117,2375.635000442127,SR_Q_D_E_WOB,0.5339379457787965,0.5515090732923206,0.7043572970722035,sub01
-30.703826053662013,-4.114762469592845,-2.9684742929393466,40.62537656756287,189.6431380313488,184.27472977457646,177.57460984654222,-30.70382605366189,-4.114762469592984,-2.9684742929393053,40.62537656756293,189.6431380313489,184.27472977457646,177.57460984654222,2.103454171034626e-37,0.02103900649967052,0.05148329872079354,2.9823433236007238e-06,0.0,0.0,0.0,2.10345417103598e-37,0.02103900649966631,0.051483298720796634,2.9823433236006695e-06,0.0,0.0,0.0,0.16319555824859674,-6935.745344085336,13877.490688170672,13892.956877076362,2957.343520686963,SR_Q_D_E_WOB,0.9286876034249752,0.7026428685565148,0.8895233429573741,sub02
-6.820499375227993,7.050808871387581,17.695268464240847,1.619351419329682,180.36283783330262,179.8045989151015,186.6833680713293,-6.8204993752280565,7.050808871387675,17.695268464240907,1.6193514193296146,180.36283783330262,179.80459891510154,186.6833680713293,0.02705214939905454,0.00448875757997606,1.3814835789326152e-16,0.7689091757233136,0.0,0.0,0.0,0.027052149399053028,0.004488757579975525,1.3814835789322471e-16,0.768909175723323,0.0,0.0,0.0,0.06800244807898048,-7322.421124089487,14650.842248178977,14666.296704570688,5649.215872662437,SR_Q_D_E_WOB,0.5723896621568537,0.00010000000000000304,0.4978556883677847,sub04
-39.715760084453,5.623273249927951,-1.6527183905600342,8.495200227867722,171.5910085161886,163.11613744355418,163.97016422507,-39.71576008445321,5.623273249927956,-1.652718390560015,8.495200227867821,171.59100851618854,163.11613744355424,163.97016422507016,9.22974287557872e-24,0.01952254819289092,0.42415025003891615,0.09058848464019646,0.0,0.0,0.0,9.229742875572234e-24,0.01952254819289073,0.4241502500389213,0.09058848464019273,0.0,0.0,0.0,0.09862063568543866,-7295.072536036295,14596.14507207259,14611.599528464305,5412.172732745045,SR_Q_D_E_WOB,0.7181115461293782,0.6367820074924976,0.5635507158068265,sub13
-32.119100810930306,-11.591578886869168,-5.579965953778799,10.984038960514367,204.8983767067436,194.20449962145852,196.43108201973504,-32.11910081093049,-11.591578886869314,-5.579965953778812,10.984038960514276,204.8983767067436,194.20449962145847,196.4310820197353,4.4885692255475904e-12,3.559634133499122e-06,0.009180898594097028,0.014431910545953762,0.0,0.0,0.0,4.488569225546207e-12,3.559634133498172e-06,0.00918089859409687,0.01443191054595464,0.0,0.0,0.0,0.08653686496779599,-7319.1260633858265,14644.252126771655,14659.699521567329,5773.939395597567,SR_Q_D_E_WOB,0.580586501172652,0.7848267035385074,0.7198420839441342,sub14
-93.67233307569586,5.88875409034297,9.156650544998023,22.78127279448815,162.17813454340674,176.98804417196786,199.99809707495388,-93.67233307569569,5.888754090343009,9.156650544998085,22.78127279448811,162.17813454340674,176.98804417196774,199.99809707495427,3.872031017523668e-13,0.07207203151433016,0.0010959114302981313,0.0388489979624685,1.2699527121161576e-111,7.999494228582025e-122,8.567561210979981e-159,3.872031017524353e-13,0.0720720315143284,0.0010959114302980491,0.03884899796246893,1.2699527121160128e-111,7.999494228579748e-122,8.567561211001918e-159,0.13389138894246388,-7661.786861882181,15329.573723764363,15345.021118560036,9891.740829978398,SR_Q_D_E_WOB,0.21011535739157144,0.5857831151082489,0.21190543842578569,sub15
-110.92136192728728,14.18064910350109,6.241344936201077,13.449883403008904,126.67628364800848,121.09481832673872,147.12133836313208,-110.9213619272872,14.180649103501038,6.2413449362010125,13.44988340300883,126.67628364800831,121.09481832673876,147.12133836313208,4.732693090688225e-19,2.0193476699169897e-06,0.01520447940467675,0.04735405060844141,4.638796588599922e-78,1.6311350815312835e-68,2.6878649173906966e-102,4.732693090688768e-19,2.0193476699171507e-06,0.015204479404677873,0.04735405060844251,4.638796588603227e-78,1.631135081531423e-68,2.687864917390927e-102,0.1225818521846983,-7546.289370761426,15098.578741522851,15114.02377875455,8327.826632554792,SR_Q_D_E_WOB,0.22842334616938906,0.90199004951416,0.4853945067013869,sub16
-43.40496881261919,3.866101021963364,9.795138224780818,-0.9853767340451648,160.66548965397288,154.86846203984982,167.04146402590226,-43.40496881261915,3.866101021963315,9.795138224780763,-0.985376734045058,160.66548965397277,154.86846203984976,167.04146402590226,2.9643450039720944e-24,0.13663220551686095,1.2871597778434382e-05,0.8905298581974512,0.0,7.5386412908075e-273,0.0,2.9643450039722215e-24,0.136632205516866,1.2871597778435793e-05,0.890529858197463,0.0,7.538641290810073e-273,0.0,0.10534498661916993,-7407.75321933664,14821.50643867328,14836.965593578094,6340.898301667646,SR_Q_D_E_WOB,0.7309672831290892,0.9586116264553849,0.4419439788327855,sub33
-20.863693927240067,3.0335328750241466,-6.272292490448992,14.654690531943238,193.46393252908265,198.50460234647824,199.3124249031896,-20.86369392724001,3.033532875024157,-6.272292490448914,14.654690531943213,193.46393252908277,198.50460234647832,199.31242490318974,1.8759629506158728e-10,0.2465936706838919,0.005467415954870919,0.03145487592242928,0.0,0.0,0.0,1.87596295061607e-10,0.24659367068389035,0.0054674159548715115,0.03145487592242971,0.0,0.0,0.0,0.048062906128544684,-7393.338558139189,14792.677116278379,14808.126866786775,6429.293175665859,SR_Q_D_E_WOB,0.9617970966237048,0.5938403145702429,0.11458453992821915,sub34
-35.33664992771479,6.4255586963659175,11.08308564463725,23.21555480907755,184.8730033238455,186.48321985708267,184.2200030037022,-35.336649927714596,6.425558696365877,11.083085644637153,23.215554809077506,184.8730033238455,186.48321985708267,184.22000300370217,1.701720360441374e-24,0.0212160675855174,4.042932652554647e-06,0.004616812993401489,0.0,0.0,0.0,1.7017203604423136e-24,0.021216067585518264,4.042932652555471e-06,0.004616812993401598,0.0,0.0,0.0,0.11095800531813382,-7489.680485996359,14985.360971992715,15000.817778560815,7274.6557967893505,SR_Q_D_E_WOB,0.9681334016517188,0.4733994855704926,0.3929266727087143,sub35
