,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,633.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,2,436.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.6498364955992019,0.35016350440079813,0.5,0.5,0.0,0.0,-0.5,0.5
2,3,511.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6498364955992019,0.6498364955992019,0.35016350440079813,0.35016350440079813,0.6498364955992019,0.35016350440079813,-0.35016350440079813,0.0,0.0
3,4,419.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7547710403715044,0.7547710403715044,0.24522895962849556,0.35016350440079813,0.6498364955992019,0.24522895962849556,-0.24522895962849556,0.0,0.0
4,5,370.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6498364955992019,0.8282595362318483,0.17174046376815172,0.35016350440079813,0.6498364955992019,0.0,0.0,-0.35016350440079813,0.35016350440079813
5,6,806.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.8282595362318483,0.8282595362318483,0.17174046376815172,0.24522895962849556,0.7547710403715044,-0.8282595362318483,0.8282595362318483,0.0,0.0
6,7,521.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.7547710403715044,0.5800525235206477,0.4199474764793524,0.24522895962849556,0.7547710403715044,0.0,0.0,-0.24522895962849556,0.24522895962849556
7,8,409.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8282595362318483,0.5800525235206477,0.4199474764793524,0.17174046376815172,0.8282595362318483,0.0,0.0,-0.17174046376815172,0.17174046376815166
8,9,396.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8797255147190515,0.5800525235206477,0.4199474764793524,0.12027448528094861,0.8797255147190515,0.0,0.0,-0.12027448528094861,0.12027448528094853
9,10,408.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.08423147051195837,0.5800525235206477,0.4199474764793524,0.08423147051195837,0.9157685294880417,0.0,0.0,0.9157685294880417,-0.9157685294880417
