P_diff,congruency,hand,postError,block1,block2,block3,P,congruency.1,hand.1,postError.1,block1.1,block2.1,block3.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,BLOCK1.1,BLOCK2.1,BLOCK3.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,subject
-85.42678064866864,9.15108088182275,2.8579919215512817,11.190256584278385,138.31444895341107,145.57726698104602,149.98523013968602,-85.4267806486687,9.151080881822761,2.85799192155118,11.190256584278178,138.31444895341102,145.57726698104608,149.98523013968588,4.2870995225276966e-24,1.6856895061677667e-08,0.039474258168196,0.1057041925883332,2.892423724933914e-170,8.765099026341848e-182,6.0751349634278464e-195,4.287099522527573e-24,1.6856895061677792e-08,0.039474258168203116,0.10570419258833946,2.892423724935066e-170,8.765099026347836e-182,6.0751349634205865e-195,0.14940704612600053,-6778.275520075906,13560.551040151811,13570.852443066997,2427.7301002020113,SR_Q_D_WOB,0.1721465360480314,0.8573204575427675,sub01
-29.523389191012345,-3.830644399269354,-2.9348360864494083,40.5937457334498,189.8649412193506,184.33155071468727,177.6746342714561,-29.52338919101245,-3.83064439926954,-2.934836086449291,40.593745733449815,189.8649412193507,184.33155071468715,177.67463427145626,3.4439446994567083e-38,0.031089189301938557,0.05384692830552488,2.9401207959691867e-06,0.0,0.0,0.0,3.443944699454889e-38,0.031089189301930525,0.05384692830553405,2.940120795969176e-06,0.0,0.0,0.0,0.16555612887359572,-6933.935982209991,13871.871964419981,13882.182757023777,2947.8900779229793,SR_Q_D_WOB,1.0,1.0,sub02
-12.49776846219374,7.5343543278667005,17.574651990118554,1.9385737053093823,177.06995726021458,176.3656738638306,183.2483179494777,-12.4977684621936,7.534354327866543,17.574651990118394,1.938573705309773,177.06995726021438,176.36567386383064,183.2483179494775,0.1346510733842185,0.0022547537413045537,2.3771423258830637e-16,0.7251703273089438,4.537277782175339e-231,1.1217024211257751e-212,3.9584606819531614e-238,0.13465107338422333,0.0022547537413050308,2.3771423258844516e-16,0.7251703273088907,4.5372777821717283e-231,1.1217024211257751e-212,3.958460681949109e-238,0.0660538112052308,-7323.75367313722,14651.50734627444,14661.810317202251,5661.02735237815,SR_Q_D_WOB,0.2868953640719161,0.904889335617246,sub04
-46.669537296483114,4.278906081718083,-1.857875302700148,9.929966553694838,169.77741603189932,161.3201076836313,161.442988752793,-46.669537296483135,4.278906081718061,-1.8578753027001795,9.929966553694769,169.77741603189932,161.3201076836312,161.44298875279284,3.4882607140738204e-17,0.08388699801735475,0.3745284426118132,0.05040440941162793,0.0,6.20926878829055e-289,0.0,3.488260714073694e-17,0.0838869980173563,0.37452844261180496,0.050404409411629617,0.0,6.209268788289845e-289,0.0,0.07708811468665633,-7310.1341512434965,14624.268302486993,14634.5712734148,5541.460947147792,SR_Q_D_WOB,0.27953522747774323,0.15934106026171674,sub13
-33.481267097404,-11.916768111579502,-5.485052588251027,10.869620441317997,204.4897771814989,193.9537218847631,195.9987971051809,-33.48126709740383,-11.916768111579481,-5.485052588251035,10.86962044131791,204.48977718149888,193.95372188476318,195.99879710518059,2.5436358916178464e-11,2.132610908714688e-06,0.010524690282174514,0.01562078127063224,0.0,0.0,0.0,2.543635891618612e-11,2.132610908714747e-06,0.010524690282174379,0.015620781270633075,0.0,0.0,0.0,0.08408040838426832,-7320.835421993357,14645.670843986714,14655.96910718383,5790.012498895326,SR_Q_D_WOB,0.50445523963258,0.5701064789393934,sub14
-87.4517623890939,6.617230636013821,9.057254497173233,22.36869781840561,164.58174791843575,179.3259155291087,202.5346971923336,-87.45176238909382,6.617230636013763,9.057254497173274,22.368697818405515,164.5817479184359,179.32591552910858,202.53469719233345,7.549762945480491e-15,0.0415380156468952,0.0011992929262986474,0.04190447550606252,4.0038320547621675e-134,1.4594751985020282e-142,3.163039390675123e-188,7.549762945480875e-15,0.04153801564689707,0.0011992929262985795,0.041904475506063216,4.0038320547635347e-134,1.4594751985015296e-142,3.163039390674224e-188,0.1391740209114659,-7657.892787659423,15319.785575318847,15330.083838515964,9831.707116248526,SR_Q_D_WOB,0.2791704196491516,0.8700122389785337,sub15
-97.7864842719522,12.455819274798708,6.048087716475374,16.35196036424525,135.23054620219835,130.63667794671892,155.46998355990792,-97.78648427195229,12.455819274798756,6.048087716475393,16.351960364245286,135.23054620219818,130.63667794671895,155.46998355990797,3.393530160358211e-22,2.973504339204901e-05,0.017964446742907324,0.014906169243862103,1.062610600825899e-122,8.879448248256555e-109,2.0714716938229783e-154,3.393530160358113e-22,2.9735043392046564e-05,0.017964446742906943,0.014906169243861938,1.062610600825536e-122,8.879448248258578e-109,2.0714716938212096e-154,0.13246140685232244,-7539.087514392178,15082.175028784355,15092.471720272155,8233.57938623968,SR_Q_D_WOB,0.26116266035346297,0.509761820532478,sub16
-47.51948025037716,3.7472773778432633,9.688283900470907,-1.5403001727661805,158.8396775478297,153.2969586231151,165.26802023729567,-47.5194802503771,3.7472773778433446,9.688283900470813,-1.5403001727660557,158.8396775478297,153.29695862311502,165.26802023729581,3.71102994185143e-24,0.14940251370362334,1.602189508085236e-05,0.8297123324253767,5.38413e-319,1.828102824364343e-261,0.0,3.7110299418519355e-24,0.1494025137036143,1.6021895080855532e-05,0.8297123324253901,5.38413e-319,1.828102824364551e-261,0.0,0.1050315284034674,-7407.9770650824785,14819.954130164957,14830.260233434832,6343.597291778611,SR_Q_D_WOB,0.6323988891550664,0.7975252179780973,sub33
-57.22213467974265,0.11973889390784632,-6.598139273788531,13.889805142230998,178.0447869020773,185.05519481782486,183.74455921443473,-57.22213467974268,0.11973889390776635,-6.598139273788588,13.889805142230944,178.0447869020771,185.05519481782508,183.7445592144345,3.1334526052343165e-15,0.9639547473892924,0.003218596974498991,0.039750119270135706,2.5520140352381648e-281,2.290826223216863e-278,1.2885401952663802e-290,3.1334526052341237e-15,0.9639547473893164,0.003218596974498737,0.03975011927013647,2.5520140352352618e-281,2.290826223217644e-278,1.2885401952659402e-290,0.06415219295116004,-7382.480198304743,14768.960396609486,14779.260230281749,6320.627654065785,SR_Q_D_WOB,0.19996074501685746,0.19315312501251064,sub34
-31.24613276316664,6.431006481892723,11.150371318215438,23.884542861008054,186.7882270400917,188.592314826774,186.13189773326906,-31.246132763166752,6.431006481892679,11.150371318215498,23.884542861008164,186.7882270400917,188.59231482677419,186.13189773326923,1.797311076526927e-21,0.021933085342424084,3.987154358328903e-06,0.00374601205563868,0.0,0.0,0.0,1.797311076526321e-21,0.021933085342424958,3.9871543583284145e-06,0.003746012055638461,0.0,0.0,0.0,0.10125106568243157,-7496.614117622931,14997.228235245862,15007.532772957928,7354.7409305377805,SR_Q_D_WOB,0.9332810102043506,0.2766245406346961,sub35
