P_diff,congruency,hand,postError,block1,block2,block3,P,congruency.1,hand.1,postError.1,block1.1,block2.1,block3.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,BLOCK1.1,BLOCK2.1,BLOCK3.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,subject
-12.701993764529838,9.882442069156346,2.635612604485732,14.172618363795285,175.1260066971112,182.19298455377324,186.02905084930103,-12.70199376452974,9.882442069156225,2.6356126044857886,14.172618363795273,175.1260066971112,182.19298455377358,186.0290508493013,8.773418965017212e-10,3.4895259609086664e-09,0.05901984077019633,0.040527572806630115,0.0,0.0,0.0,8.773418965019705e-10,3.489525960910079e-09,0.059019840770190776,0.04052757280663037,0.0,0.0,0.0,0.1146634299936039,-6710.619227934093,13423.238455868186,13428.378908911289,2433.3366441371804,AB_Q_WOB,0.5712464292819753,sub01
-28.471873034509283,-3.839313594140697,-2.5724481474102285,42.28953663436771,191.93857880629383,186.33025166116641,180.74381776091667,-28.47187303450934,-3.839313594140637,-2.572448147410232,42.28953663436771,191.93857880629372,186.33025166116641,180.7438177609169,5.523660331850684e-22,0.0372924639707737,0.09639242943979227,1.4746796709927931e-06,0.0,0.0,0.0,5.523660331849376e-22,0.037292463970776485,0.096392429439792,1.4746796709927959e-06,0.0,0.0,0.0,0.11482261996764898,-6883.163986048518,13768.327972097037,13773.473956564749,3011.5937731216945,AB_Q_WOB,0.28208799254277844,sub02
5.968251085036008,11.94982228328007,18.640707749894663,7.821287436618036,185.49740743234744,183.57849424120639,190.33302987779868,5.968251085035903,11.94982228328011,18.640707749894634,7.821287436617857,185.4974074323471,183.57849424120627,190.33302987779857,0.3258399643034323,4.3799442294896964e-06,1.4838179455301375e-19,0.15138803022751274,0.0,0.0,0.0,0.3258399643034404,4.379944229489388e-06,1.4838179455303612e-19,0.1513880302275224,0.0,0.0,0.0,0.08584111564281449,-6948.190476982958,13898.380953965916,13903.490833428987,4990.919030007172,AB_Q_WOB,0.012367610470592951,sub04
-20.290745882599506,8.56255760094281,-3.6983663860200497,9.77739782262008,183.29571290665334,173.3430276414503,173.69241535062162,-20.29074588259966,8.562557600942746,-3.6983663860200555,9.777397822620108,183.2957129066535,173.34302764145062,173.69241535062153,3.757815639877945e-09,0.0004943956581623318,0.06726061215248831,0.05068315842086265,0.0,0.0,0.0,3.757815639876944e-09,0.000494395658162374,0.06726061215248799,0.050683158420862025,0.0,0.0,0.0,0.06665215606901997,-6888.262478097395,13778.52495619479,13783.627455550564,4918.833074071009,AB_Q_WOB,0.4105398252586739,sub13
-21.332142105954386,-13.052630726394847,-6.354209601659735,9.621935833712737,212.25079454302363,201.7721960539719,203.9983716452412,-21.33214210595422,-13.052630726394876,-6.354209601659676,9.621935833712712,212.2507945430236,201.77219605397175,203.9983716452417,3.3150027395590234e-06,1.6142094691071853e-06,0.004864933341334084,0.04249264544500545,0.0,0.0,0.0,3.315002739559569e-06,1.6142094691070782e-06,0.004864933341334462,0.042492645445005715,0.0,0.0,0.0,0.07039948266571228,-6888.589919282143,13779.179838564285,13784.264902858235,6007.713557867498,AB_Q_WOB,0.2546076945465481,sub14
-18.39157964160071,5.896439441928144,7.98675260029573,29.337313314525925,199.85855021002155,214.69320844726624,236.96107012459683,-18.391579641600774,5.89643944192812,7.986752600295677,29.337313314526092,199.85855021002172,214.6932084472664,236.96107012459703,0.000280350197306045,0.08155374680788254,0.0047857699744579,0.011500642659094007,0.0,0.0,0.0,0.0002803501973060267,0.08155374680788396,0.004785769974458173,0.011500642659093764,0.0,0.0,0.0,0.1067974361626448,-7537.77550564529,15077.55101129058,15082.68350884224,9929.822312553912,AB_Q_WOB,0.3453013445832434,sub15
-38.562129640789735,12.587637463425894,6.606348576431242,17.828668135369274,166.39757590165638,160.85181198171406,184.7823060450504,-38.56212964078973,12.587637463425848,6.606348576431357,17.828668135369266,166.39757590165618,160.85181198171395,184.78230604505023,4.080899846079908e-17,8.761165829655144e-05,0.011793298143893485,0.009015445373283776,0.0,4.3541807368102693e-252,0.0,4.0808998460797897e-17,8.761165829655647e-05,0.011793298143891916,0.009015445373283812,0.0,4.3541807368102693e-252,0.0,0.12128778510381287,-7262.915755022826,14527.831510045651,14532.941389508724,8352.544540282106,AB_Q_WOB,0.35763236592004044,sub16
-12.159932310232838,6.974402292855974,10.325011614222145,-0.9572598599122549,174.87219343064854,168.35411142637156,182.11538228198532,-12.159932310232813,6.974402292855981,10.325011614222161,-0.9572598599122408,174.87219343064842,168.3541114263713,182.1153822819854,4.3007659235445696e-05,0.0121625030660903,9.874667843380968e-06,0.8964335941679842,0.0,0.0,0.0,4.3007659235446665e-05,0.0121625030660903,9.874667843380694e-06,0.8964335941679857,0.0,0.0,0.0,0.0485081621049549,-7249.452792677143,14500.905585354287,14506.03247616319,6686.395582813192,AB_Q_WOB,0.7574886815870635,sub33
-20.25658420973861,2.7348226326882696,-4.7832283037428835,16.26258635899791,193.43385207184102,198.6761857637022,200.58881938375188,-20.256584209738588,2.734822632688319,-4.783228303743104,16.262586358997904,193.43385207184096,198.67618576370214,200.58881938375183,1.2395207233743556e-10,0.2984099277439081,0.03235469547287026,0.016001972539343434,0.0,0.0,0.0,1.2395207233744187e-10,0.2984099277438994,0.032354695472862516,0.016001972539343476,0.0,0.0,0.0,0.05087734770983965,-7155.0684258273905,14312.136851654781,14317.258104108025,6131.356125916712,AB_Q_WOB,0.6275197961110309,sub34
-23.385892812358584,6.377062445103923,11.403003753926455,24.3747788701616,190.75172520040698,192.00048518620054,189.4731947355984,-23.385892812358566,6.377062445103955,11.403003753926495,24.374778870161663,190.75172520040692,192.00048518620065,189.4731947355984,3.725891187111269e-10,0.0291720383753123,3.8907237536506636e-06,0.004028125018391654,0.0,0.0,0.0,3.725891187111391e-10,0.029172038375311463,3.890723753650348e-06,0.004028125018391561,0.0,0.0,0.0,0.06658265815712072,-7344.9113566844835,14691.822713368967,14696.952811879097,7505.490647250124,AB_Q_WOB,0.5417479001500898,sub35
