P_diff,congruency,hand,postError,block1,block2,block3,P,congruency.1,hand.1,postError.1,block1.1,block2.1,block3.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,BLOCK1.1,BLOCK2.1,BLOCK3.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,ccc,alpha_ccc,subject
-29.59562933118821,9.685614009554932,2.5667540287118062,10.049312580195682,166.39682272527318,173.85141512984902,178.58385798920304,-29.595629331188164,9.685614009554854,2.566754028711776,10.049312580195732,166.3968227252731,173.851415129849,178.5838579892031,9.982596864374023e-37,5.732042716381331e-10,0.05337074441940552,0.1276011725310598,0.0,0.0,0.0,9.982596864376165e-37,5.732042716383064e-10,0.053370744419408096,0.12760117253105804,0.0,0.0,0.0,0.19713602319792733,-6648.918425017866,13305.836850035732,13326.398662208137,2206.9055720087163,SR_Q_D_alphaCCC_WOB,0.7509204497685641,0.7771748686935431,-0.2628509790959681,0.9293055091439051,sub01
-23.92626085716203,-3.514021097637489,-3.079609747687201,43.58142785105058,193.3720972011443,187.83026574511902,182.42741767419918,-23.926260857161978,-3.5140210976375377,-3.0796097476873387,43.58142785105047,193.3720972011444,187.8302657451191,182.42741767419903,1.1492531753823574e-27,0.05175316271108359,0.04422271363682805,5.429359432107311e-07,0.0,0.0,0.0,1.1492531753827113e-27,0.051753162711080165,0.0442227136368188,5.429359432107679e-07,0.0,0.0,0.0,0.13282744058792684,-6870.124968600871,13748.249937201743,13768.833875072603,2952.4683895855987,SR_Q_D_alphaCCC_WOB,0.6305117152308917,0.0035772289917041494,-0.9181177648726491,0.6949485192799538,sub02
-9.253306269442811,10.242989885665995,18.49760036029405,7.360725104993853,179.74770479652284,178.30129401845247,184.39239992280926,-9.253306269442806,10.242989885665978,18.497600360294,7.360725104993853,179.74770479652284,178.3012940184523,184.39239992280903,0.00563073283449203,1.7419372495415718e-05,2.2414268720121897e-19,0.17590518413145745,0.0,0.0,0.0,0.0056307328344920755,1.7419372495416243e-05,2.2414268720128185e-19,0.17590518413145745,0.0,0.0,0.0,0.09086170858306386,-6944.820087683849,13897.640175367698,13918.079693219985,4963.508730182763,SR_Q_D_alphaCCC_WOB,0.8772203622060532,0.7738548899278351,-0.7480911569097395,0.7721600751455447,sub04
-43.8645887562368,7.846264838409683,-3.160158369381511,7.903518522534706,171.6485351739129,162.6889899159072,163.221434409008,-43.86458875623661,7.846264838409712,-3.1601583693815747,7.903518522534687,171.648535173913,162.68898991590692,163.2214344090081,3.422158236496698e-24,0.0008239068093952889,0.10787087727890456,0.10438101100189916,0.0,9.773e-321,0.0,3.4221582364986366e-24,0.0008239068093952424,0.10787087727889763,0.10438101100190017,0.0,9.773e-321,0.0,0.11791642927543546,-6853.944103538861,13715.888207077722,13736.298204500821,4648.665417893553,SR_Q_D_alphaCCC_WOB,0.5799852982866437,0.5873023471564364,-0.39095553484802215,0.24790504250135104,sub13
-29.593278502012602,-11.786807778972461,-6.52165876042135,11.125211582999453,206.55126226044567,196.1879216800272,198.97562991354656,-29.59327850201272,-11.786807778972445,-6.521658760421317,11.125211582999489,206.55126226044587,196.1879216800269,198.9756299135465,8.301367567307875e-12,6.253775969320974e-06,0.003493104692069069,0.01757371937087424,0.0,0.0,0.0,8.301367567306191e-12,6.253775969321082e-06,0.003493104692069233,0.017573719370873753,0.0,0.0,0.0,0.08983392198674645,-6875.97658898757,13759.95317797514,13780.293435150947,5882.114933661643,SR_Q_D_alphaCCC_WOB,0.5652436847473573,0.8081474989202351,-0.4951520221655262,0.8821632289808841,sub14
-24.56220219609966,6.257926745567082,8.107439090465547,33.14837241292613,196.95519166985474,210.70122568211303,234.00723126668373,-24.56220219609984,6.257926745567255,8.10743909046553,33.14837241292611,196.95519166985488,210.70122568211306,234.0072312666837,4.4047340009540513e-10,0.055384882053901366,0.003809191928910549,0.0038946675041193844,0.0,1.2e-322,0.0,4.4047340009529946e-10,0.0553848820538948,0.003809191928910624,0.0038946675041194342,0.0,1.2e-322,0.0,0.12507290841315122,-7524.834313206264,15057.668626412527,15078.198616619165,9726.064044513154,SR_Q_D_alphaCCC_WOB,0.4633159972683063,0.10465940694580947,-0.238279048212929,0.8443949137187211,sub15
-46.42688786342226,13.970258789765456,6.5025005675103245,15.66972957506989,161.41782381986818,155.30905244957427,179.7915371756022,-46.426887863422344,13.970258789765484,6.502500567510426,15.669729575069866,161.41782381986818,155.30905244957418,179.79153717560212,5.787928154656265e-20,9.086846620629064e-06,0.012701037649936898,0.021092098707871525,2.3516291952323165e-295,2.112686961701553e-228,0.0,5.787928154655556e-20,9.086846620628388e-06,0.012701037649935435,0.02109209870787171,2.3516291952323165e-295,2.112686961701553e-228,0.0,0.13059411588231795,-7256.399572568389,14520.799145136778,14541.238662989064,8258.390399670587,SR_Q_D_alphaCCC_WOB,0.5103005399537079,0.16162679678258096,-0.05737666678498333,0.5044079861853962,sub16
-55.70239556879879,6.8956489901625755,10.063223807989607,-0.4178620289200961,153.1286853187707,147.14338283695025,160.43081950203174,-55.70239556879889,6.895648990162492,10.06322380798956,-0.41786202892001256,153.1286853187707,147.14338283695028,160.43081950203174,2.165045073450284e-17,0.009996194495258482,1.0592441057924097e-05,0.953665825639984,6.549895911936801e-227,1.796649372389186e-194,4.466824877051882e-240,2.1650450734500507e-17,0.009996194495259498,1.059244105792522e-05,0.9536658256399934,6.54989591193531e-227,1.7966493723879593e-194,4.4668248770523916e-240,0.09005757340386145,-7221.658305547343,14451.316611094686,14471.82417433028,6394.4164063091175,SR_Q_D_alphaCCC_WOB,0.14977112724411862,0.3536023419694845,-0.1903373626959015,0.7522694736103949,sub33
-35.55420403592507,3.2680214053784127,-4.48032672273788,15.374301756263776,184.61771831404891,189.828439442748,191.9905186710939,-35.55420403592514,3.268021405378608,-4.480326722737747,15.374301756263895,184.61771831404883,189.828439442748,191.990518671094,5.456283289678575e-13,0.20883407445386032,0.04408434996297113,0.0222124511689532,0.0,1.8e-322,0.0,5.456283289677864e-13,0.20883407445383295,0.044084349962977463,0.022212451168952083,0.0,1.8e-322,0.0,0.05904263763694895,-7149.7201380628085,14307.44027612562,14327.925285938596,6078.780285142718,SR_Q_D_alphaCCC_WOB,0.5735648379115051,0.8956504697256507,-0.015858852237547568,0.5688261503917443,sub34
-45.616900069229814,5.693867804105206,11.538780917672876,22.94360114034239,180.8026535275,182.1438412165309,179.35756927815743,-45.61690006922987,5.693867804105184,11.538780917672973,22.943601140342512,180.8026535275,182.14384121653094,179.35756927815743,9.583606232588117e-20,0.04583919033542196,1.999517682611392e-06,0.005880456973490229,0.0,1.3581194122152697e-301,0.0,9.583606232586804e-20,0.045839190335422685,1.999517682610989e-06,0.005880456973489987,0.0,1.3581194122154247e-301,0.0,0.0986791533964747,-7323.059403628659,14654.118807257319,14674.639201297825,7247.4067951745865,SR_Q_D_alphaCCC_WOB,0.4525209258995193,0.1832930273045084,-0.3743837950607124,0.5183506904098327,sub35
