P_diff,congruency,hand,postError,block1,block2,block3,P,congruency.1,hand.1,postError.1,block1.1,block2.1,block3.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,BLOCK1.1,BLOCK2.1,BLOCK3.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,alpha_error,subject
-12.67903566451404,9.206096493892037,2.5542497837469007,14.31040726603166,175.23793088583992,182.20373500948463,186.17872573668808,-12.679035664514096,9.206096493892023,2.5542497837469247,14.310407266031596,175.23793088584011,182.20373500948463,186.1787257366881,7.259614006755358e-09,5.5211891521518444e-08,0.07319012344068783,0.04388260130015426,0.0,0.0,0.0,7.2596140067543255e-09,5.521189152152167e-08,0.07319012344068512,0.04388260130015517,0.0,0.0,0.0,0.10178500829176916,-6813.0038121525295,13630.007624305059,13640.309027220246,2563.598621323529,AB_Q_E_WOB,0.5176602153900234,0.045508019717841984,sub01
-26.48425613839428,-4.510062300448124,-2.7006258125458955,42.980925658154575,193.14726194340355,187.69016212306397,181.11505808605847,-26.484256138394194,-4.510062300448172,-2.700625812545913,42.98092565815453,193.14726194340375,187.69016212306357,181.11505808605847,2.0327263339750933e-23,0.014893169080087634,0.0841367057504782,1.4405816108955504e-06,0.0,0.0,0.0,2.0327263339757354e-23,0.0148931690800866,0.08413670575047635,1.4405816108956141e-06,0.0,0.0,0.0,0.12012608336592867,-6967.8908985713915,13939.781797142783,13950.09258974658,3105.520481721281,AB_Q_E_WOB,0.4151498395526823,0.06080128145680516,sub02
6.10522582307393,8.996530207973484,17.637196207100327,2.4034831974155404,184.76217720590358,183.83368017660302,191.17004087846703,6.105225823074213,8.996530207973489,17.63719620710023,2.4034831974155977,184.7621772059036,183.83368017660308,191.17004087846698,0.2932146339302281,0.0006285474133644508,1.8995087193800943e-16,0.6627960036539049,0.0,0.0,0.0,0.2932146339302065,0.0006285474133644406,1.8995087193807244e-16,0.6627960036538976,0.0,0.0,0.0,0.06521907637192426,-7324.323644916973,14652.647289833943,14662.950260761752,5666.0870191752165,AB_Q_E_WOB,0.01858551809412501,0.018115716586789888,sub04
-16.230838137250707,6.383898774753369,-1.8315773236992376,11.780127182521568,183.0214793005774,173.19337674374498,174.33326590236248,-16.230838137250814,6.3838987747534315,-1.8315773236992257,11.780127182521506,183.0214793005773,173.19337674374503,174.33326590236268,1.0106711412322818e-07,0.010798328371835295,0.3895140065649028,0.02244659227655945,0.0,0.0,0.0,1.0106711412320996e-07,0.010798328371834452,0.38951400656490587,0.022446592276560245,0.0,0.0,0.0,0.0454974088706166,-7331.607057829396,14667.214115658791,14677.517086586598,5731.141738730172,AB_Q_E_WOB,0.6067490600408325,0.05410869400720985,sub13
-15.809070552816355,-11.6794371836119,-5.7628207272635015,8.655101829888514,213.40004833808777,202.46493980044647,204.7043449199365,-15.809070552816431,-11.679437183611961,-5.762820727263493,8.655101829888434,213.4000483380881,202.4649398004465,204.70434491993626,5.3453829250196974e-08,4.1415730891372875e-06,0.007643073419921129,0.056594966331467274,0.0,0.0,0.0,5.345382925018921e-08,4.1415730891368115e-06,0.007643073419921248,0.05659496633146915,0.0,0.0,0.0,0.07322339586348814,-7328.335918767823,14660.671837535647,14670.97010073276,5858.2851374904085,AB_Q_E_WOB,0.6921824321953897,0.7265782282725585,sub14
-17.9571121006664,6.559309473049339,9.281750914060812,23.5825163698802,198.8744421756633,213.73496975621282,236.2897071430188,-17.957112100666233,6.559309473049465,9.281750914060764,23.582516369880175,198.87444217566326,213.73496975621285,236.28970714301872,0.00034091314215516094,0.053707176465660166,0.0011240402069413286,0.03559661412254615,0.0,0.0,0.0,0.0003409131421552041,0.05370717646565548,0.0011240402069413859,0.03559661412254625,0.0,0.0,0.0,0.106165787269358,-7681.842974323288,15367.685948646576,15377.984211843692,10208.788804779537,AB_Q_E_WOB,0.3434833445537365,0.8024957624597487,sub15
-42.172304256459896,10.204902542116267,5.764741362864162,20.64358987392454,165.45799491989897,161.29837553519351,184.52248075315399,-42.17230425645984,10.20490254211625,5.764741362864165,20.643589873924483,165.45799491989897,161.29837553519354,184.52248075315373,4.179152258769948e-18,0.0008559304499481385,0.02512242583293973,0.002254850363171501,0.0,1.2151933876508994e-264,0.0,4.179152258770641e-18,0.0008559304499481559,0.02512242583293964,0.002254850363171577,0.0,1.215193387650761e-264,0.0,0.11959158583926455,-7548.453192006728,15100.906384013459,15111.203075501257,8358.173922249654,AB_Q_E_WOB,0.2513534169921475,0.17198627454548426,sub16
-13.875535046426485,4.916721911863755,9.908687809152939,1.1640657095421474,174.30488729404206,168.38173149660358,180.91106022216653,-13.875535046426515,4.916721911863705,9.908687809152926,1.164065709542084,174.30488729404212,168.38173149660372,180.91106022216647,5.347082243878997e-05,0.07124636331014292,1.997268369581056e-05,0.8751797960725773,0.0,0.0,0.0,5.347082243878778e-05,0.07124636331014589,1.997268369581089e-05,0.8751797960725841,0.0,0.0,0.0,0.04199426162822095,-7451.470777414352,14906.941554828703,14917.247658098579,6790.44228631526,AB_Q_E_WOB,0.5545254155219853,0.3164282492102648,sub33
-23.17529693944358,1.8475515784795684,-6.309864359903443,14.6387858748716,193.98659091142002,199.49474691082898,199.62234556215645,-23.17529693944366,1.8475515784796768,-6.309864359903389,14.638785874871598,193.98659091142036,199.49474691082875,199.62234556215628,1.2752892770149094e-10,0.4848085477102064,0.0051824430876896525,0.0315887208835566,0.0,0.0,0.0,1.2752892770147654e-10,0.484808547710181,0.005182443087690027,0.03158872088355675,0.0,0.0,0.0,0.04862968293686154,-7392.959179762902,14789.918359525804,14800.218193198069,6425.465218405658,AB_Q_E_WOB,0.4645083257888084,0.35423073155519336,sub34
-15.025363651362506,7.327543144362143,11.309057622036526,25.06596379836445,193.1196391867986,195.26549038950586,192.89323890415784,-15.025363651362447,7.3275431443622425,11.309057622036619,25.06596379836441,193.11963918679882,195.2654903895058,192.89323890415767,2.114692041067383e-08,0.011047795549963758,4.873792234250204e-06,0.002956045172872095,0.0,0.0,0.0,2.114692041067642e-08,0.011047795549962665,4.873792234249289e-06,0.002956045172872177,0.0,0.0,0.0,0.05836947425092765,-7526.3741244785715,15056.748248957143,15067.052786669208,7812.146315931353,AB_Q_E_WOB,0.966112291250726,0.3040464829752384,sub35
