P_diff,congruency,hand,postError,block1,block2,block3,P,congruency.1,hand.1,postError.1,block1.1,block2.1,block3.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,BLOCK1.1,BLOCK2.1,BLOCK3.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,subject
-11.645705602363114,9.59692126231898,2.4049833179370297,14.787329601796445,175.46455472410253,181.89939354150056,186.34163602227483,-11.645705602363286,9.596921262318931,2.4049833179369458,14.787329601796374,175.46455472410258,181.8993935415006,186.3416360222747,0.0012753069262054998,4.943201189011134e-08,0.09454243663442366,0.039057179955397085,0.0,0.0,0.0,0.0012753069262052767,4.9432011890116956e-08,0.0945424366344353,0.039057179955398084,0.0,0.0,0.0,0.0852751815671664,-6824.615124832013,13651.230249664026,13656.38095112162,2610.772835690225,AB_Q_WOB,0.028519538226311317,sub01
-26.578549302005463,-4.403368299384171,-2.6668542195538856,41.51474897662853,192.99327359328998,187.58850846388046,180.99971688042487,-26.578549302005356,-4.403368299384205,-2.6668542195537848,41.51474897662853,192.99327359328998,187.5885084638805,180.99971688042496,2.79148928036595e-23,0.017332946035791684,0.08818725383945374,3.235326573613274e-06,0.0,0.0,0.0,2.7914892803674715e-23,0.01733294603579081,0.08818725383946552,3.2353265736133623e-06,0.0,0.0,0.0,0.11969196360946575,-6968.206836033623,13938.413672067249,13943.569068369143,3107.104812348056,AB_Q_WOB,0.4077919044741815,sub02
-1.3750220853222703,7.745810445913478,17.629748440627694,2.1586376532766827,182.32538649898373,181.53269423753738,188.54752777076303,-1.3750220853221125,7.745810445913535,17.629748440627612,2.1586376532766938,182.32538649898385,181.53269423753747,188.54752777076285,0.6035614812995274,0.0019026302116146308,2.0149201158119867e-16,0.6957933099627465,0.0,0.0,0.0,0.6035614812995692,0.001902630211614468,2.0149201158124363e-16,0.6957933099627446,0.0,0.0,0.0,0.06460344050705802,-7324.743686008814,14651.487372017627,14656.638857481534,5669.814831087593,AB_Q_WOB,0.7779858586131645,sub04
-10.710303378920253,7.365999013064184,-1.9129300710872001,10.816940312343144,184.96715562573527,174.72798649364248,176.18682010778568,-10.71030337892024,7.365999013064264,-1.9129300710871424,10.816940312343199,184.96715562573533,174.72798649364253,176.18682010778545,4.019939225999619e-06,0.0030821071157556604,0.37010188419667744,0.036597399102332714,0.0,0.0,0.0,4.0199392259997315e-06,0.003082107115755352,0.3701018841966917,0.036597399102331576,0.0,0.0,0.0,0.04014135172871669,-7335.1770981149975,14672.354196229993,14677.5056816939,5763.318707353486,AB_Q_WOB,0.9622824643876364,sub13
-13.089179759450204,-11.279495103315627,-5.828539572084965,8.438502185734711,214.43767861027092,203.29142372331842,205.82865214549432,-13.089179759450165,-11.279495103315575,-5.828539572085035,8.438502185734825,214.4376786102706,203.29142372331842,205.828652145494,4.873083020721064e-08,7.814662115110401e-06,0.006996887040374196,0.06325376836946668,0.0,0.0,0.0,4.8730830207214296e-08,7.81466211511107e-06,0.006996887040373536,0.06325376836946303,0.0,0.0,0.0,0.07335471106299607,-7328.245726540205,14658.491453080407,14663.640584678966,5857.455075257563,AB_Q_WOB,0.9267463323483438,sub14
-18.567176523896425,6.5405663298106855,9.36550721662994,24.977220181204935,198.57705507587312,213.41247487623366,236.0583947726014,-18.567176523896453,6.5405663298106775,9.365507216630037,24.9772201812051,198.5770550758733,213.41247487623366,236.0583947726017,0.0008650062267990357,0.05593831155382814,0.0010205023276257592,0.025872565930872032,0.0,1.2e-322,0.0,0.0008650062267990139,0.055938311553828335,0.0010205023276256366,0.02587256593087105,0.0,1.2e-322,0.0,0.10493966579363867,-7682.715498019939,15367.43099603988,15372.580127638435,10222.792763157064,AB_Q_WOB,0.2433508702788537,sub15
-40.971947198843615,10.402269534398213,5.780503146463612,20.316434656181194,165.8677730652281,161.65289114774305,184.96287324505352,-40.971947198843694,10.402269534398213,5.780503146463606,20.316434656181148,165.86777306522782,161.65289114774305,184.96287324505352,2.390992960221013e-18,0.0006568563800014237,0.02466616275879949,0.002633565695781482,0.0,5.760588527481883e-267,0.0,2.3909929602206868e-18,0.0006568563800014211,0.02466616275879957,0.002633565695781541,0.0,5.760588527480572e-267,0.0,0.12035894127536828,-7547.898618858869,15097.797237717738,15102.945583461636,8348.924923804108,AB_Q_WOB,0.2946155033175941,sub16
-13.466932323630258,4.983819003686286,9.927527178794012,1.1278306884218532,174.36226856168662,168.33225589739297,181.15572024461545,-13.466932323630227,4.983819003686401,9.9275271787939,1.1278306884218179,174.3622685616867,168.332255897393,181.15572024461545,0.002529130571874852,0.07218564983520774,2.0331720158665875e-05,0.8794062218146814,0.0,3.75414632823e-313,0.0,0.0025291305718749325,0.07218564983520168,2.0331720158670415e-05,0.8794062218146852,0.0,3.75414632823e-313,0.0,0.0365486351289821,-7455.092783488678,14912.185566977356,14917.338618612292,6831.823814706817,AB_Q_WOB,0.2397459211385132,sub33
-21.91777763696716,2.105896947951498,-6.252413539361888,14.421263669201226,194.38076386742267,199.72589415176608,200.0081306815396,-21.917777636967152,2.1058969479514484,-6.252413539361983,14.421263669201178,194.38076386742298,199.72589415176614,200.0081306815396,2.1962115502953543e-10,0.425001206301425,0.00562218392775706,0.03428121175729692,0.0,0.0,0.0,2.1962115502953543e-10,0.4250012063014362,0.00562218392775638,0.0342812117572975,0.0,0.0,0.0,0.04783141819581027,-7393.493442204463,14788.986884408923,14794.136801245057,6430.967224510425,AB_Q_WOB,0.5152457341296861,sub34
-35.67069401282818,5.314443301343309,11.269801327547725,24.19470621574536,184.73908431097243,186.27996651265582,183.27342612377566,-35.670694012828285,5.314443301343287,11.269801327547812,24.194706215745395,184.73908431097252,186.27996651265582,183.2734261237756,6.108834760287692e-06,0.07866858903756255,5.758848823768442e-06,0.004316606865164365,1.4553710760760031e-282,4.261213280028077e-251,9.254825423900301e-262,6.1088347602873065e-06,0.07866858903756356,5.75884882376735e-06,0.004316606865164298,1.4553710760740163e-282,4.2612132800280795e-251,9.254825423891879e-262,0.05022547423801793,-7531.87265705345,15065.7453141069,15070.897582962933,7772.2991853013955,AB_Q_WOB,0.00964467039390944,sub35
-30.04547335368043,-3.4940472848902555,6.984350248329765,-13.272307282309413,239.78345652945998,251.1239239147931,232.11532877693375,-30.045473353680443,-3.4940472848901702,6.9843502483297755,-13.272307282309447,239.7834565294601,251.12392391479318,232.1153287769341,6.202059188796783e-06,0.5578362058048513,0.17053754144516656,0.5389142960267166,1.1109412264753284e-238,4.985324641403667e-195,6.917428629399085e-228,6.202059188796783e-06,0.5578362058048612,0.17053754144516567,0.5389142960267155,1.1109412264758335e-238,4.985324641401966e-195,6.917428629397511e-228,0.023765780660699898,-8382.526522782238,16767.053045564477,16772.197452744796,32669.885489644068,AB_Q_WOB,0.7239424724411436,sub36
-16.58398094758262,14.395207489450195,8.721274188344719,0.46655977167634705,188.5399929787626,184.23055910553384,181.19361763708287,-16.583980947582578,14.395207489450266,8.721274188344799,0.4665597716763497,188.5399929787625,184.23055910553398,181.19361763708298,4.90327379988416e-07,9.003748492414354e-07,0.00046116211811520657,0.9375308146172869,0.0,0.0,0.0,4.903273799884547e-07,9.003748492413458e-07,0.0004611621181151469,0.9375308146172866,0.0,0.0,0.0,0.06270928168548784,-7554.522103925895,15111.04420785179,15116.198823208704,7832.885286335559,AB_Q_WOB,0.7048705235126945,sub37
-15.47891467401615,5.049188135603778,4.221551713332955,-12.215910624402994,187.41138504595958,193.6446135099062,192.50576448277315,-15.478914674016073,5.049188135603736,4.221551713333025,-12.215910624402998,187.41138504595943,193.6446135099061,192.50576448277315,1.699293447475679e-08,0.07370832141717877,0.07989547582697804,0.028490258187536237,0.0,0.0,0.0,1.6992934474759036e-08,0.07370832141718114,0.07989547582697297,0.028490258187536286,0.0,0.0,0.0,0.04512572645489255,-7247.079842454587,14496.159684909175,14501.280937362419,7114.139264124683,AB_Q_WOB,0.9086344307671748,sub38
-32.77351105215738,-0.037633177812203655,16.268257677267197,29.976692214928804,179.6453665601912,171.03150025392694,158.90807947742732,-32.773511052157396,-0.03763317781218234,16.268257677267115,29.976692214928928,179.64536656019138,171.03150025392696,158.90807947742746,1.4435639382607635e-21,0.9889808591651482,4.025099990294943e-12,0.0002724483062067601,0.0,0.0,0.0,1.4435639382606285e-21,0.9889808591651544,4.0250999902961236e-12,0.00027244830620674416,0.0,0.0,0.0,0.1410946047683902,-7419.269122520694,14840.538245041384,14845.686590785286,6820.175078890424,AB_Q_WOB,0.569901707505209,sub39
-24.25951618559968,-0.6501759773151145,-8.394397375336759,0.3452857818994887,184.46579324002087,201.27019338092828,188.4664291151757,-24.259516185599576,-0.6501759773152287,-8.394397375336721,0.3452857818993857,184.46579324002082,201.27019338092842,188.466429115176,1.0074756499214188e-13,0.764389628325561,5.230439970831093e-06,0.9431255979899122,0.0,0.0,0.0,1.0074756499216884e-13,0.7643896283255206,5.23043997083154e-06,0.9431255979899292,0.0,0.0,0.0,0.0986428424959942,-7180.234343987316,14362.468687974631,14367.624864612111,4288.689875264496,AB_Q_WOB,0.3336982129495205,sub40
-31.358329771275,-3.292006881929161,-5.246084565073458,14.709177962602876,197.95943439303062,201.2336071890868,191.43502904704042,-31.358329771275073,-3.2920068819291477,-5.246084565073437,14.709177962602814,197.95943439303053,201.2336071890871,191.43502904704076,1.3115291422623024e-22,0.15299728244815186,0.007428371089357588,0.031154863144456073,0.0,0.0,0.0,1.3115291422619636e-22,0.15299728244815386,0.007428371089357808,0.031154863144456656,0.0,0.0,0.0,0.10371601975455448,-7237.951035671206,14477.902071342412,14483.055122977352,4874.533565140845,AB_Q_WOB,0.4488805117080417,sub09
-17.2885291987823,4.479347068225639,7.201523350534692,27.089041128326613,199.3456268366418,196.82672672979703,185.5539393650091,-17.2885291987822,4.479347068225785,7.201523350534698,27.08904112832663,199.34562683664163,196.82672672979683,185.5539393650089,2.7105004685628254e-07,0.09857697097401366,0.0017278789837272455,0.08350914120970737,0.0,0.0,0.0,2.710500468563304e-07,0.09857697097400228,0.0017278789837272338,0.08350914120970684,0.0,0.0,0.0,0.04957114802615648,-7446.98351321838,14895.96702643676,14901.120860238338,6681.730812555703,AB_Q_WOB,0.590370670063037,sub10
-17.187255620330124,-4.595121663069035,-3.9594211609074,-2.288957563787416,205.2992955256052,203.24219358209496,196.24254649216428,-17.18725562033015,-4.595121663069119,-3.9594211609072207,-2.288957563787419,205.2992955256049,203.24219358209476,196.24254649216428,0.003903833957969143,0.2188997879324179,0.20881041408281814,0.6785098276135697,5.6483440853004905e-229,2.3990869903990063e-293,1.55230945266652e-220,0.0039038339579691205,0.21889978793240986,0.20881041408283896,0.6785098276135689,5.6483440852998476e-229,2.3990869903992792e-293,1.55230945266652e-220,0.017266446803851587,-7817.539097571543,15637.078195143084,15642.228111979217,12513.39310281397,AB_Q_WOB,0.2664840304206764,sub11
-10.411285771304764,-1.0490314936166636,12.736915850554492,14.160697869050296,184.0986588756342,178.70020890887488,179.73601602898609,-10.411285771304813,-1.0490314936166945,12.73691585055454,14.160697869050427,184.0986588756342,178.70020890887488,179.73601602898583,0.00050438315903678,0.7048146765352712,8.211708580908109e-08,0.07841171620071974,0.0,0.0,2.64566e-318,0.0005043831590367422,0.7048146765352632,8.211708580907278e-08,0.07841171620071688,0.0,0.0,2.64566e-318,0.0389239004240558,-7401.8033058043075,14805.606611608615,14810.750229211319,7011.6975152768055,AB_Q_WOB,0.7586320187781168,sub12
-8.221436052069995,1.8574731744147568,2.422498317734957,-4.762838130010616,158.5514594872369,165.31881757663774,163.74860117803328,-8.221436052070093,1.857473174414648,2.4224983177349477,-4.762838130010802,158.55145948723685,165.31881757663768,163.74860117803306,6.015934155741783e-05,0.28365417609106824,0.09884210875469147,0.23342030243262585,0.0,0.0,0.0,6.015934155740553e-05,0.2836541760910967,0.09884210875469304,0.23342030243260814,0.0,0.0,0.0,0.024048160415398482,-6875.500780498821,13753.001560997642,13758.155394799222,2733.921790123622,AB_Q_WOB,0.6433158026850666,sub17
