P_diff,congruency,hand,postError,block1,block2,block3,P,congruency.1,hand.1,postError.1,block1.1,block2.1,block3.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,BLOCK1.1,BLOCK2.1,BLOCK3.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,ccc,alpha_ccc,subject
-11.231283443039752,9.614691022983708,2.3991003939071547,14.548666598138347,175.54683861162727,182.4321929784932,186.4620786112265,-11.231283443039707,9.614691022983747,2.3991003939071125,14.548666598138306,175.5468386116271,182.43219297849308,186.4620786112267,5.590065100383371e-09,1.0479515572333652e-08,0.0921437909188451,0.04043862307606999,0.0,0.0,0.0,5.590065100383962e-09,1.0479515572332234e-08,0.09214379091885114,0.040438623076070636,0.0,0.0,0.0,0.10214519828451996,-6812.748119278793,13631.496238557584,13646.948342930364,2562.623071085289,AB_Q_alphaCCC_WOB,0.605777986594284,-0.724743240229319,0.7847227599485243,sub01
-15.578992261875985,-2.8778746210529182,-2.8294502385147715,41.42124008472461,196.88849258653718,190.56061164838218,184.5095186161607,-15.57899226187591,-2.877874621052911,-2.8294502385146845,41.421240084724595,196.88849258653718,190.56061164838192,184.50951861616073,3.5533145061176726e-18,0.11861289026870403,0.07299689658916578,4.165242473889402e-06,0.0,0.0,0.0,3.55331450611885e-18,0.11861289026870493,0.07299689658917427,4.16524247388944e-06,0.0,0.0,0.0,0.10347559009306828,-6979.898288037416,13965.796576074832,13981.262764980522,3164.3415628096886,AB_Q_alphaCCC_WOB,0.371524437528527,-0.7076231608049021,0.942234551186938,sub02
-1.5817225897612683,7.713223529129058,17.628118874277558,2.147173695826131,182.24630090114127,181.4569225104555,188.47401026888497,-1.5817225897613536,7.7132235291290465,17.628118874277607,2.1471736958261114,182.24630090114135,181.45692251045574,188.47401026888497,0.6438724597973381,0.002224887938122397,2.0399911072179402e-16,0.6975212465342742,0.0,0.0,0.0,0.6438724597973204,0.002224887938122436,2.039991107217617e-16,0.6975212465342767,0.0,0.0,0.0,0.06456218593296204,-7324.771823634088,14655.543647268176,14670.99810365989,5670.068699533755,AB_Q_alphaCCC_WOB,0.4603617542170778,-0.438851104032397,0.4824788385436656,sub04
-26.485565280078088,7.755369355707816,-1.8018949306185201,12.385435247361855,176.79973109559074,166.12636146827668,167.4281524824422,-26.485565280078124,7.755369355707682,-1.8018949306184884,12.385435247362006,176.79973109559072,166.12636146827646,167.4281524824422,0.0005883389408255857,0.0019233700101937386,0.4008375708044036,0.017281367617845884,3.736228413086179e-249,2.079314856783114e-213,5.2622346169084495e-229,0.0005883389408255733,0.001923370010194082,0.4008375708044115,0.017281367617844556,3.736228413086179e-249,2.0793148567834687e-213,5.2622346169084495e-229,0.0329694440521755,-7339.926409302509,14685.852818605019,14701.30727499673,5806.363683107028,AB_Q_alphaCCC_WOB,0.06484038529994228,-0.44064291286247215,0.5121210874973597,sub13
-14.21773024124759,-11.556598151545547,-5.8112536816804905,8.189455909653438,214.21194060975046,203.1511220181804,205.4700817657505,-14.21773024124765,-11.556598151545485,-5.811253681680489,8.189455909653434,214.21194060975049,203.15112201818053,205.47008176575054,5.432078273512146e-08,5.037313833464111e-06,0.007166186955656119,0.07177716854199577,0.0,0.0,0.0,5.432078273511399e-08,5.037313833464571e-06,0.007166186955656094,0.07177716854199608,0.0,0.0,0.0,0.07320055812100222,-7328.351603285459,14662.703206570917,14678.150601366591,5874.551326939778,AB_Q_alphaCCC_WOB,0.9147079795663134,-0.5602637102631666,0.7420264872614158,sub14
-12.757467094693162,6.915025807786339,9.422212280244132,24.501954975220922,201.07916797000888,215.7813649771931,238.43321026858086,-12.757467094692974,6.915025807786281,9.422212280244064,24.50195497522099,201.07916797000905,215.7813649771932,238.43321026858086,0.0015424576730375462,0.042264610569691066,0.0009554483920555245,0.029021647524752957,0.0,0.0,0.0,0.0015424576730378053,0.04226461056969275,0.0009554483920556096,0.029021647524752538,0.0,0.0,0.0,0.10418319971652268,-7683.25321295018,15372.50642590036,15387.953820696033,10231.273088032563,AB_Q_alphaCCC_WOB,0.6571784676341279,-0.4173099366120171,0.2994696007220642,sub15
-33.375902759092256,9.620804255719756,5.7449817328912225,19.10984023141478,170.1762362251354,166.144738863187,189.33827360609303,-33.37590275909221,9.620804255719873,5.744981732891151,19.109840231414864,170.1762362251353,166.14473886318711,189.338273606093,1.9459232604745388e-17,0.0018161209035631387,0.02580101076773437,0.004738206606688144,0.0,9.257363832443678e-288,0.0,1.9459232604746078e-17,0.0018161209035628906,0.025801010767736426,0.004738206606687947,0.0,9.257363832437358e-288,0.0,0.11747504271865815,-7549.9803309142735,15105.960661828547,15121.40569906025,8388.66108490566,AB_Q_alphaCCC_WOB,0.5142565318819758,-0.1557744965970571,0.2362696325795535,sub16
-15.014635278043336,5.053362945612328,9.924106328174515,1.0157587413920408,173.516757008077,167.51925187486748,180.14981796045788,-15.014635278043238,5.053362945612356,9.924106328174522,1.0157587413919194,173.5167570080769,167.51925187486762,180.149817960458,9.108420829219766e-05,0.06351789213312227,1.9539088630940315e-05,0.8910065814373396,0.0,9.32584173e-315,0.0,9.108420829220855e-05,0.06351789213312034,1.9539088630939915e-05,0.8910065814373525,0.0,9.32584173e-315,0.0,0.041234013780813705,-7451.977669699682,14909.955339399365,14925.414494304183,6795.798407427241,AB_Q_alphaCCC_WOB,0.41131002982776,-0.7206068113308052,0.5923086922062031,sub33
-26.74887456383609,1.5184118100677506,-6.3383406806717755,14.6213946986209,192.4502504755554,198.20844933310025,198.08673457059243,-26.74887456383616,1.5184118100677062,-6.338340680671804,14.621394698620946,192.45025047555558,198.20844933310028,198.0867345705925,6.254051686718702e-11,0.5668486921958023,0.004961457554389165,0.031697517494286474,0.0,0.0,0.0,6.254051686718024e-11,0.5668486921958136,0.004961457554388969,0.03169751749428599,0.0,0.0,0.0,0.049675747494768115,-7392.258390896744,14790.516781793483,14805.966532301882,6416.904618328101,AB_Q_alphaCCC_WOB,0.3330549637064004,-0.7689349008078301,0.4031383350888447,sub34
-53.16047866999865,6.6926329184214834,11.416936019210874,24.971393098623285,175.21306090817433,176.42097311401974,173.6959706633472,-53.16047866999874,6.692632918421423,11.416936019211088,24.97139309862324,175.21306090817453,176.4209731140197,173.6959706633473,3.616504021208047e-07,0.02182524576808791,4.165505381087173e-06,0.0031329725580241845,1.189713809913683e-180,1.272785349901417e-165,8.61292628276184e-168,3.616504021208047e-07,0.021825245768089228,4.165505381085381e-06,0.003132972558024261,1.1897138099154427e-180,1.2727853499004752e-165,8.6129262827687e-168,0.054283013181822486,-7529.1390731195725,15064.278146239149,15079.734952807245,7739.095044369276,AB_Q_alphaCCC_WOB,0.06724293915039785,-0.3314865572476228,0.348757494300301,sub35
