P_diff,congruency,hand,postError,block1,block2,block3,P,congruency.1,hand.1,postError.1,block1.1,block2.1,block3.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,BLOCK1.1,BLOCK2.1,BLOCK3.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,subject
-22.075420538104588,9.408388956719012,2.6382230667651223,9.923004632670594,171.10319993110625,178.502694906791,182.57794200426358,-22.07542053810463,9.40838895671917,2.6382230667652213,9.92300463267065,171.10319993110625,178.50269490679094,182.5779420042635,2.220202151218223e-30,3.002509999981281e-09,0.04969187117016125,0.1371183762039298,0.0,0.0,0.0,2.2202021512177785e-30,3.0025099999794187e-09,0.04969187117015253,0.13711837620392767,0.0,0.0,0.0,0.17833907909471924,-6663.52134197769,13331.04268395538,13341.323590041584,2258.324909382033,SR_Q_D_WOB,0.8301899777308105,0.18190511949851024,sub01
-29.41041406148738,-3.2392504331343304,-2.8341112402743507,40.514666421954665,189.59215373774586,184.05318233752723,178.2842541600138,-29.4104140614873,-3.2392504331341674,-2.834111240274341,40.514666421954644,189.59215373774583,184.05318233752732,178.28425416001357,4.2239421645569856e-39,0.06492466868360673,0.05871675286996685,1.9564486760390118e-06,0.0,0.0,0.0,4.2239421645591005e-39,0.06492466868362037,0.05871675286996756,1.9564486760390444e-06,0.0,0.0,0.0,0.16804315960580574,-6843.820234030402,13691.640468060808,13701.932436996236,2830.558653229457,SR_Q_D_WOB,0.9999999999719534,0.8319753666428676,sub02
-11.977716761734511,9.755541452711512,18.504080335446428,6.982565244399055,178.79936006712379,177.59601829954448,183.52252070330815,-11.977716761734483,9.755541452711503,18.504080335446414,6.982565244399012,178.79936006712398,177.59601829954448,183.52252070330815,0.0006895145734468398,4.535693759672458e-05,1.9065820389942249e-19,0.1986814534068662,0.0,0.0,0.0,0.0006895145734468586,4.535693759672561e-05,1.906582038994266e-19,0.19868145340686869,0.0,0.0,0.0,0.09373624960367356,-6942.881981926181,13889.763963852361,13899.983722778506,4947.814957350174,SR_Q_D_WOB,0.6900244684080876,0.36452096902948655,sub04
-27.340713925257283,8.490800174436536,-3.5932486212814454,7.318859371454367,179.70355501958977,170.57065610097712,170.90509518104938,-27.34071392525719,8.490800174436524,-3.593248621281399,7.31885937145435,179.70355501958988,170.5706561009771,170.90509518104932,2.8150306491308257e-23,0.0002871729817918545,0.06784546053030803,0.13349051298427198,0.0,0.0,0.0,2.815030649132037e-23,0.0002871729817918629,0.06784546053031157,0.1334905129842734,0.0,0.0,0.0,0.11486206830325195,-6856.044039665312,13716.088079330624,13726.293078042176,4664.76219377396,SR_Q_D_WOB,0.8620262088859932,0.19376419953046686,sub13
-29.315786187453018,-12.31235039982722,-6.508533419548223,10.898117124166737,206.98319507221703,196.9150757694376,199.43167910049584,-29.315786187452968,-12.312350399827187,-6.5085334195480895,10.898117124166877,206.98319507221714,196.91507576943752,199.43167910049598,3.478232372026189e-11,2.732924802321236e-06,0.0035991160416676436,0.02015905821636657,0.0,0.0,0.0,3.4782323720264906e-11,2.7329248023213568e-06,0.0035991160416682937,0.020159058216364982,0.0,0.0,0.0,0.08767898426267384,-6877.3883942346265,13758.776788469253,13768.946917057156,5896.041613455577,SR_Q_D_WOB,0.6696991704169946,0.7562719887569771,sub14
-31.276870015941967,5.665434696741092,8.040755380963267,31.49384183491828,194.17615324212056,208.3333335701325,231.32667119443192,-31.276870015942183,5.665434696740968,8.040755380963322,31.49384183491828,194.17615324212056,208.33333357013282,231.32667119443195,5.1825616033337466e-11,0.08322618293350796,0.004045368758675047,0.00598992340607981,0.0,5.372900037366806e-309,0.0,5.182561603332035e-11,0.08322618293351491,0.004045368758674758,0.005989923406079827,0.0,5.37290003736741e-309,0.0,0.12800829775474698,-7522.730545745786,15049.461091491572,15059.726086594892,9693.896989691491,SR_Q_D_WOB,0.6509458766002921,0.23347997114675476,sub15
-44.07642936223334,15.750623833982091,6.763326613738334,12.440087170404663,161.591817346535,154.13561319958797,180.36124736879086,-44.07642936223339,15.750623833982134,6.763326613738352,12.440087170404748,161.59181734653504,154.13561319958814,180.36124736879088,2.6803453582649324e-26,3.1137700524555375e-07,0.00873060098956242,0.06442448240506296,2.60555375e-315,2.0232990421465305e-232,0.0,2.680345358264529e-26,3.113770052455245e-07,0.008730600989562225,0.06442448240506113,2.60555375e-315,2.0232990421465305e-232,0.0,0.15099087433814296,-7241.87059980073,14487.74119960146,14497.960958527605,8064.643844840783,SR_Q_D_WOB,0.8840851796114549,0.5320230986663431,sub16
-50.588891310221214,5.179732830406096,10.079436800350926,-2.5860633345431956,157.37945085567694,151.74394151376197,164.43689913909068,-50.58889131022125,5.179732830406217,10.079436800350877,-2.5860633345431547,157.3794508556769,151.74394151376214,164.43689913909074,2.879040870933068e-25,0.05072607925861153,7.610042551051977e-06,0.7153104926267062,4.0253661063751114e-306,1.0065137642759179e-252,1.6049e-319,2.879040870932965e-25,0.0507260792586061,7.610042551052809e-06,0.7153104926267103,4.025366106372822e-306,1.0065137642759179e-252,1.6049e-319,0.11605839457811562,-7203.611827119355,14411.223654238709,14421.477435856508,6211.7014676578465,SR_Q_D_WOB,0.6071359740893401,0.8271600290977212,sub33
-37.481583493781685,3.079068377075476,-4.505998291744269,15.35432663596442,183.81304514978848,189.13225571673752,191.17882916981227,-37.48158349378181,3.079068377075462,-4.50599829174422,15.354326635964535,183.8130451497883,189.13225571673743,191.17882916981245,1.7282059194031e-13,0.2363647368215421,0.04269301299450782,0.02226294360112677,0.0,2.280567e-318,0.0,1.7282059194027622e-13,0.2363647368215443,0.04269301299450984,0.022262943601125747,0.0,2.280567e-318,0.0,0.06076799632392527,-7148.584085124408,14301.168170248817,14311.410675155304,6067.63410857941,SR_Q_D_WOB,0.5450704242525686,0.8473551843344174,sub34
-37.42885530535237,7.789991079570058,11.607284880243206,23.704063535509057,182.33738683675202,183.32267340603028,181.9144023115141,-37.42885530535233,7.789991079569968,11.607284880243096,23.704063535508965,182.33738683675188,183.32267340602996,181.91440231151444,9.200752816874103e-26,0.005222135803436305,1.337950771638488e-06,0.00399853321289134,0.0,4e-323,0.0,9.200752816875686e-26,0.005222135803436879,1.3379507716387793e-06,0.0039985332128914955,0.0,4e-323,0.0,0.11837595287271464,-7309.260713878221,14622.521427756441,14632.781624776691,7113.946334067254,SR_Q_D_WOB,1.0,1.0,sub35
-181.6102468932294,-6.680527676360056,5.415002959189248,1.7782315122542232,167.5404099413417,181.1884204463121,159.5115411998811,-181.6102468932293,-6.680527676360071,5.415002959189208,1.7782315122542232,167.54040994134175,181.1884204463121,159.51154119988104,2.1550745284027333e-12,0.2559835075500006,0.280462255510728,0.936507144682032,9.035663346131334e-37,4.851005379263944e-41,9.47394882107154e-34,2.1550745284026396e-12,0.25598350754999943,0.2804622555107315,0.936507144682032,9.035663346130299e-37,4.851005379264428e-41,9.473948821071812e-34,0.046989516256291775,-8235.324981958882,16474.649963917764,16484.910160938016,31231.779751404974,SR_Q_D_WOB,0.16120401871383105,0.4496502437243209,sub36
-32.295799329697324,13.170130042043926,10.23791789205447,-3.01478660402403,179.57870638663826,176.84116466222937,173.86929680087002,-32.295799329697445,13.170130042043596,10.237917892054538,-3.0147866040239704,179.57870638663826,176.84116466222898,173.86929680087,1.7855924586909018e-23,5.5652843128107e-07,3.6954792674722436e-06,0.5705703062333826,0.0,0.0,0.0,1.7855924586902738e-23,5.565284312814165e-07,3.6954792674716486e-06,0.5705703062333901,0.0,0.0,0.0,0.12963681970360974,-7011.020535188734,14026.041070377469,14036.25100127401,5867.796276683087,SR_Q_D_WOB,1.0,1.0,sub37
-23.477403676884784,8.940705891002064,5.222378060329817,-12.786232801349337,183.43865615417732,188.34930930859662,188.6061741253457,-23.477403676884922,8.940705891002182,5.222378060329809,-12.78623280134931,183.43865615417724,188.34930930859676,188.6061741253457,9.8010079038293e-11,0.0021823005568021472,0.03171946945257316,0.02171174652728991,0.0,1.4043922336e-314,0.0,9.801007903827195e-11,0.002182300556801868,0.0317194694525735,0.021711746527290098,0.0,1.4043922336e-314,0.0,0.0641551527368095,-6864.222040562295,13732.44408112459,13742.583829381509,6877.221113120086,SR_Q_D_WOB,0.9578412558184544,0.6080896305679875,sub38
-122.26873420995108,0.5669541452473377,17.40568283901635,12.601701218492735,133.51642796195958,126.55165987273192,114.46558028632994,-122.26873420995109,0.5669541452472862,17.405682839016336,12.601701218492767,133.51642796195964,126.55165987273199,114.46558028632992,1.8396905206830957e-63,0.8169422347829847,2.281216130794651e-16,0.09142882872524638,1.4869645690026183e-187,1.4719734447722282e-159,1.592213367546526e-149,1.8396905206830957e-63,0.8169422347830011,2.281216130794717e-16,0.09142882872524563,1.4869645690026183e-187,1.471973444772731e-159,1.5922133675437174e-149,0.26520064950364763,-7118.185829574684,14240.371659149368,14250.625440767166,5415.170299067326,SR_Q_D_WOB,0.35016681487845913,0.7311678294580184,sub39
-40.723495669098185,2.128264420672413,-7.9028020323817145,0.1919987010774804,176.03930871285505,189.89640957111197,178.9441265353067,-40.723495669098064,2.128264420672452,-7.902802032381571,0.1919987010773632,176.0393087128551,189.8964095711121,178.94412653530694,5.123226401092728e-20,0.317671703138848,1.0709832517242524e-05,0.9679405102594192,0.0,0.0,0.0,5.1232264010943476e-20,0.317671703138839,1.0709832517246276e-05,0.9679405102594388,0.0,0.0,0.0,0.12323796547917433,-6855.96960805265,13715.9392161053,13726.175248514231,3920.228094409216,SR_Q_D_WOB,0.4274433354352507,0.3564185490212269,sub40
-52.928463243062474,-5.067890656049719,-4.778290360843791,11.277478656117387,187.09120644556214,189.3156291656496,181.63450565608025,-52.92846324306243,-5.067890656049718,-4.7782903608435925,11.27747865611758,187.09120644556216,189.31562916564948,181.63450565608048,9.244494823726035e-41,0.0236921111585247,0.012175864197067978,0.08622810413107777,0.0,0.0,0.0,9.24449482372696e-41,0.0236921111585246,0.012175864197071435,0.08622810413107264,0.0,0.0,0.0,0.1643826406440726,-7037.259917895514,14078.519835791029,14088.783232811962,4504.0771996864205,SR_Q_D_WOB,0.6317294922546707,0.7739000854511436,sub09
-51.52988003873913,4.9910659954136065,7.101056443727362,35.378289002076826,182.3941106862512,179.67056483235226,169.24135353481032,-51.52988003873909,4.991065995413488,7.101056443727424,35.37828900207693,182.3941106862513,179.67056483235214,169.2413535348104,2.0506117200312233e-13,0.06141478006578183,0.001833706451256739,0.02167046579689001,6.138610829908022e-224,7.096965180939563e-256,4.955271229089278e-204,2.0506117200312233e-13,0.0614147800657881,0.0018337064512565552,0.021670465796889672,6.138610829908721e-224,7.096965180935526e-256,4.955271229091816e-204,0.07022551749746675,-7385.749603354373,14775.499206708746,14785.794325251123,6529.420858358794,SR_Q_D_WOB,0.347081796168021,0.5148672427917046,sub10
