,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,376.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,2,383.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7416456948832826,0.7416456948832826,0.2583543051167174,0.5,0.5,0.2583543051167174,-0.2583543051167174,0.0,0.0
2,3,386.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.8665061060553161,0.13349389394468386,0.5,0.5,0.0,0.0,-0.5,0.5
3,4,414.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.13349389394468386,0.8665061060553161,0.13349389394468386,0.2583543051167174,0.7416456948832826,-0.8665061060553161,0.8665061060553161,0.0,0.0
4,5,397.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7416456948832826,0.4477311658186277,0.5522688341813722,0.2583543051167174,0.7416456948832826,0.0,0.0,-0.2583543051167174,0.2583543051167174
5,6,393.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5522688341813722,0.4477311658186277,0.5522688341813722,0.13349389394468386,0.8665061060553161,-0.4477311658186277,0.4477311658186278,0.0,0.0
6,7,420.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.2313465484483387,0.2313465484483387,0.7686534515516612,0.13349389394468386,0.8665061060553161,0.7686534515516613,-0.7686534515516612,0.0,0.0
7,8,348.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8665061060553161,0.6028301432976082,0.39716985670239174,0.13349389394468386,0.8665061060553161,0.0,0.0,-0.13349389394468386,0.13349389394468392
8,9,399.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.06897744441480715,0.6028301432976082,0.39716985670239174,0.06897744441480715,0.9310225555851929,0.0,0.0,0.9310225555851929,-0.9310225555851929
9,10,383.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.39716985670239174,0.6028301432976082,0.39716985670239174,0.5189326292075941,0.4810673707924059,-0.6028301432976082,0.6028301432976082,0.0,0.0
10,11,278.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.31148752555012954,0.31148752555012954,0.6885124744498704,0.5189326292075941,0.4810673707924059,0.6885124744498705,-0.6885124744498704,0.0,0.0
11,12,285.8,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.4810673707924059,0.6442396761986241,0.3557603238013759,0.5189326292075941,0.4810673707924059,0.0,0.0,0.4810673707924059,-0.4810673707924059
12,13,293.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,0.6442396761986241,0.6442396761986241,0.3557603238013759,0.7514283474092034,0.24857165259079658,-0.6442396761986241,0.6442396761986241,0.0,0.0
13,14,352.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.24857165259079658,0.3328841877458292,0.6671158122541708,0.7514283474092034,0.24857165259079658,0.0,0.0,-0.7514283474092034,0.7514283474092034
14,15,372.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3328841877458292,0.3328841877458292,0.6671158122541708,0.3882694970798162,0.6117305029201838,0.6671158122541708,-0.6671158122541708,0.0,0.0
15,16,439.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6552955157853984,0.6552955157853984,0.3447044842146017,0.3882694970798162,0.6117305029201838,0.34470448421460165,-0.3447044842146017,0.0,0.0
16,17,431.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6117305029201838,0.8218882250202402,0.17811177497975983,0.3882694970798162,0.6117305029201838,0.0,0.0,-0.3882694970798162,0.3882694970798162
17,18,254.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8218882250202402,0.8218882250202402,0.17811177497975983,0.20062219223214653,0.7993778077678535,0.17811177497975983,-0.17811177497975983,0.0,0.0
18,19,281.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7993778077678535,0.907968112283998,0.09203188771600199,0.20062219223214653,0.7993778077678535,0.0,0.0,-0.20062219223214653,0.2006221922321465
19,20,465.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.907968112283998,0.907968112283998,0.09203188771600199,0.10366321413025745,0.8963367858697425,0.09203188771600201,-0.09203188771600199,0.0,0.0
20,21,420.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8963367858697425,0.9524463312011051,0.047553668798894916,0.10366321413025745,0.8963367858697425,0.0,0.0,-0.10366321413025745,0.10366321413025747
21,22,332.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9524463312011051,0.9524463312011051,0.047553668798894916,0.0535636753055763,0.9464363246944237,0.04755366879889489,-0.047553668798894916,0.0,0.0
22,23,319.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.975428609883422,0.975428609883422,0.024571390116578048,0.0535636753055763,0.9464363246944237,0.02457139011657805,-0.024571390116578048,0.0,0.0
23,24,327.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9464363246944237,0.9873037511613594,0.012696248838640602,0.0535636753055763,0.9464363246944237,0.0,0.0,-0.0535636753055763,0.053563675305576264
