,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,548.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,2,527.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.8714712875220895,0.12852871247791053,-0.5,0.5,0.0,0.0
2,3,467.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2401152540557907,0.12852871247791053,0.8714712875220895,0.7598847459442093,0.2401152540557907,0.0,0.0,-0.7598847459442093,0.7598847459442093
3,4,442.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7598847459442093,0.2401152540557907,0.7598847459442093,0.19533401605562672,0.8046659839443733,-0.2401152540557907,0.2401152540557907,0.0,0.0
4,5,450.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9382765910998057,0.06172340890019434,0.9382765910998057,0.2868528618634686,0.7131471381365314,-0.06172340890019434,0.06172340890019434,0.0,0.0
5,6,437.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.015866460551379163,0.015866460551379163,0.9841335394486208,0.350880292221633,0.649119707778367,0.9841335394486208,-0.9841335394486208,0.0,0.0
6,7,433.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3956744742513884,0.5341294556849892,0.46587054431501085,0.3956744742513884,0.6043255257486115,0.0,0.0,0.6043255257486115,-0.6043255257486115
7,8,344.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4761227173731964,0.5238772826268037,0.4761227173731964,0.8446536365159891,0.15534636348401082,-0.5238772826268037,0.5238772826268037,0.0,0.0
8,9,404.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.13466654526489907,0.13466654526489907,0.865333454735101,0.7411228694475597,0.25887713055244027,0.8653334547351009,-0.865333454735101,0.0,0.0
9,10,483.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6686917879594974,0.5903672099242819,0.4096327900757181,0.6686917879594974,0.33130821204050265,0.0,0.0,0.33130821204050265,-0.33130821204050265
10,11,458.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9148347641461512,0.5632217352504331,0.436778264749567,0.9148347641461512,0.08516523585384878,0.0,0.0,0.08516523585384883,-0.08516523585384878
11,12,378.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5442305102860308,0.5442305102860308,0.4557694897139693,0.9781076437756544,0.02189235622434553,0.45576948971396924,-0.4557694897139693,0.0,0.0
12,13,469.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.1171589313993015,0.8828410686006984,0.1171589313993015,0.8344885263285168,0.16551147367148317,-0.8828410686006984,0.8828410686006984,0.0,0.0
13,14,369.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5820794305993413,0.4179205694006587,0.5820794305993413,0.7340112644129201,0.26598873558707986,-0.4179205694006587,0.4179205694006587,0.0,0.0
14,15,400.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8925704145937962,0.10742958540620384,0.8925704145937962,0.6637164433507354,0.3362835566492645,-0.10742958540620384,0.10742958540620384,0.0,0.0
15,16,340.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9723844274114097,0.02761557258859021,0.9723844274114097,0.6145375368602757,0.3854624631397242,-0.02761557258859021,0.027615572588590265,0.0,0.0
16,17,359.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9929012120216965,0.0070987879783035585,0.9929012120216965,0.5801315193606671,0.4198684806393328,-0.0070987879783035585,0.007098787978303545,0.0,0.0
17,18,319.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5560607515323297,0.0018247961580100521,0.99817520384199,0.5560607515323297,0.44393924846767024,0.0,0.0,0.4439392484676703,-0.44393924846767024
