P_diff,congruency,hand,postError,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,congruency.1,hand.1,postError.1,nblock_1.1,nblock_2.1,nblock_3.1,nblock_4.1,nblock_5.1,nblock_6.1,nblock_7.1,nblock_8.1,nblock_9.1,nblock_10.1,nblock_11.1,nblock_12.1,nblock_13.1,nblock_14.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,NBLOCK_1,NBLOCK_2,NBLOCK_3,NBLOCK_4,NBLOCK_5,NBLOCK_6,NBLOCK_7,NBLOCK_8,NBLOCK_9,NBLOCK_10,NBLOCK_11,NBLOCK_12,NBLOCK_13,NBLOCK_14,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,NBLOCK_1.1,NBLOCK_2.1,NBLOCK_3.1,NBLOCK_4.1,NBLOCK_5.1,NBLOCK_6.1,NBLOCK_7.1,NBLOCK_8.1,NBLOCK_9.1,NBLOCK_10.1,NBLOCK_11.1,NBLOCK_12.1,NBLOCK_13.1,NBLOCK_14.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_error,alpha_v,subject
-70.0370090246746,-17.667132758401962,-6.308795665630587,18.61125689454358,201.54709855379792,222.94271311180347,232.55270791893815,213.87566935531945,219.68898891133892,203.92390294485023,213.45602600985347,212.00279701959084,200.43456168214328,197.13707695969762,201.19582814711868,198.44335426576842,201.5362818004046,204.4054248848807,-70.03700902467466,-17.667132758402595,-6.308795665630465,18.611256894544553,201.54709855379792,222.94271311180376,232.5527079189381,213.87566935531964,219.68898891133895,203.92390294485028,213.4560260098534,212.00279701959087,200.43456168214334,197.13707695969745,201.19582814711856,198.44335426576774,201.53628180040369,204.4054248848816,4.374078550031606e-33,2.0877522129835553e-09,0.006482616596965697,0.14142701257229767,7.452042693439679e-145,9.88557108088667e-175,3.17622602426034e-176,3.572506691662821e-232,9.296079637870421e-164,5.621835731933338e-155,2.2376080140582631e-209,2.1991208423162737e-160,5.3313908758085426e-142,1.7411207591521796e-154,2.982397731505881e-213,3.7808252788667827e-246,8.54214410903243e-215,3.1919992790520075e-254,4.374078550031105e-33,2.0877522129809592e-09,0.006482616596966722,0.14142701257227708,7.452042693441799e-145,9.885571080883856e-175,3.17622602426034e-176,3.572506691661603e-232,9.296079637866717e-164,5.621835731934619e-155,2.2376080140587716e-209,2.1991208423157737e-160,5.331390875806418e-142,1.741120759151387e-154,2.982397731505881e-213,3.780825278868934e-246,8.542144109042148e-215,3.191999279048378e-254,0.22810423878203645,-5286.372176646571,10580.744353293141,10600.097974096529,4885.908137712915,SR_Q_D_E_V_WOB,0.29149919631803944,0.2960101828287098,0.8848797217916552,0.4934347851582377,sub_1
-94.874750026306,-8.851685751626873,8.130729690910327,23.89996996720135,239.20146988040452,204.22037862738117,192.38158510442585,175.2585947310536,186.95947281534802,172.53322407810398,185.73138169623863,164.22675813194496,171.67883408046302,161.15133265206262,176.984491019698,171.3392397065445,177.97261758371053,165.78306894083084,-94.87475002630622,-8.851685751627087,8.130729690910579,23.899969967201443,239.20146988040474,204.22037862738117,192.38158510442605,175.2585947310536,186.95947281534797,172.53322407810398,185.73138169623866,164.22675813194513,171.6788340804629,161.15133265206248,176.98449101969769,171.33923970654484,177.97261758371133,165.78306894083119,1.961853675142161e-66,0.002666549820384151,0.0005253645091155673,0.002000394210308449,3.682897288912356e-176,2.7386439137204064e-139,1.0834638671121966e-140,8.52087047206452e-157,8.76226367975527e-142,3.569955984964367e-112,3.266853092687495e-194,3.015835822279526e-104,1.582602311514667e-121,2.30582929346339e-102,1.873853361613162e-219,1.5765007272558652e-176,1.7718757212695095e-220,9.346645658246205e-174,1.9618536751405948e-66,0.002666549820383519,0.0005253645091153582,0.002000394210308397,3.6828972889104684e-176,2.7386439137200947e-139,1.0834638671120733e-140,8.52087047206452e-157,8.762263679756766e-142,3.5699559849652813e-112,3.2668530926878664e-194,3.015835822278753e-104,1.582602311514667e-121,2.305829293463785e-102,1.873853361613695e-219,1.576500727254789e-176,1.7718757212672922e-220,9.346645658242481e-174,0.39430009686568346,-5233.134099684221,10474.268199368442,10493.57871630645,4922.270071655796,SR_Q_D_E_V_WOB,0.6296751124439298,0.6980303765667124,0.07451744120331384,0.5157140172326788,sub_2
-143.59358352474433,13.251513788175115,24.960514668841405,-5.242331309512416,202.4480215948916,163.2417151062635,165.64315759317205,170.98838851227404,175.44619473240851,236.77681595040005,206.5082060786816,228.4894950117129,203.54496942940412,221.15552518276095,203.52235403536628,179.80690748072337,217.76180617691097,,-143.5935835247438,13.251513788174933,24.960514668841448,-5.242331309512443,202.44802159489154,163.24171510626417,165.64315759317103,170.98838851227356,175.4461947324083,236.77681595040002,206.50820607868215,228.4894950117131,203.54496942940403,221.15552518276093,203.52235403536704,179.80690748072254,217.7618061769116,,5.623995585913908e-06,0.03634548005721554,7.543705364854928e-07,0.6621125940751176,2.7634541638288588e-28,6.942976099810501e-21,1.0054892031057511e-19,2.062941396813284e-23,8.98895865415333e-17,3.415311358265431e-26,9.229557818691416e-27,8.9151465100909e-24,2.9250184404808153e-18,2.777324093080284e-34,1.8662725299339865e-23,8.006528308851003e-21,1.838881308424403e-25,,5.623995585914628e-06,0.03634548005721824,7.543705364854624e-07,0.6621125940751156,2.7634541638288987e-28,6.942976099809302e-21,1.0054892031058449e-19,2.0629413968128987e-23,8.988958654153912e-17,3.415311358265064e-26,9.229557818691944e-27,8.91514651009013e-24,2.9250184404806886e-18,2.777324093080164e-34,1.8662725299340538e-23,8.00652830885106e-21,1.8388813084243245e-25,,0.14284860178735248,-5189.984514211952,10387.969028423904,10406.781780876867,19896.14454878433,SR_Q_D_E_V_WOB,0.1000780021102758,0.5129883975514556,0.2853014311700206,0.1567935475149162,sub_3
-51577.98799808401,-22.972883929972767,-0.09607947865914744,14.007477808801019,-25559.994567686746,-25546.538212818883,-25559.65421053102,-25556.939708672042,-25557.03561950589,-25561.04439167072,-25556.618867035588,-25562.585832255707,-25566.83751881474,-25550.99972153428,-25572.356271970333,-25570.20562411373,-25567.648336877206,,-51577.987998080156,-22.972883981516823,-0.09607945713584742,14.007477817179087,-25559.994567718993,-25546.538212817984,-25559.654210448633,-25556.939708637557,-25557.035619479586,-25561.04439165431,-25556.6188670449,-25562.58583227139,-25566.83751871813,-25550.99972153957,-25572.356271951296,-25570.205624152884,-25567.648336861424,,3.674747265291465e-12,8.313166261227557e-15,0.9662826893786344,0.2075709722688129,5.559298483042702e-12,5.689839256373113e-12,5.5681005895852084e-12,5.588893668761443e-12,5.601368164882885e-12,5.5601067786468365e-12,5.608928612255743e-12,5.5477733663045855e-12,5.523935455636676e-12,5.660550789879601e-12,5.458459484791325e-12,5.451427016458451e-12,5.499890508870631e-12,,3.674747265291371e-12,8.313165285295266e-15,0.9662826969268832,0.2075709719930556,5.5592984830421596e-12,5.6898392563734625e-12,5.5681005895870445e-12,5.588893668762172e-12,5.6013681648833745e-12,5.560106778647219e-12,5.608928612255437e-12,5.547773366304204e-12,5.523935455638679e-12,5.660550789879356e-12,5.458459484791701e-12,5.451427016457817e-12,5.49989050887093e-12,,0.13504782357216494,-5202.954560999925,10413.90912199985,10433.215302894076,4667.404541746291,SR_Q_D_E_V_WOB,0.00012217999031321092,0.18037978845584568,0.0008193014717931843,0.0001,sub_4
56.836411162196285,0.9763414768734382,-11.76912733699568,41.50476769815091,305.7437221645022,325.70573922963473,305.5116512066775,305.38987670427736,310.0693531066455,335.1691341225975,317.009023920365,327.07452520507843,278.90111597137303,308.2739155319189,287.55530308582087,305.78763107916865,276.34644266563805,284.5890478810488,56.836411162195986,0.9763414768734968,-11.769127336995867,41.50476769815104,305.7437221645023,325.7057392296338,305.5116512066746,305.3898767042766,310.06935310664437,335.1691341225972,317.0090239203646,327.0745252050783,278.9011159713729,308.27391553191865,287.55530308582127,305.7876310791692,276.3464426656384,284.58904788105025,0.0005875886664655039,0.8733425065790015,0.3153681534470591,0.2122227626159168,9.83824822941763e-55,3.077598847855632e-63,1.3222415858078407e-55,3.632268777643036e-64,5.011061457532119e-57,8.306286678700507e-66,1.3475406257103283e-70,1.0349669735236505e-63,1.3380290037889013e-46,3.3329250431245403e-59,2.653134467845988e-62,1.0194500470992544e-77,3.181562556930972e-57,2.992951483057776e-71,0.0005875886664655363,0.8733425065789941,0.3153681534470516,0.2122227626159156,9.838248229416506e-55,3.077598847855896e-63,1.3222415858086711e-55,3.632268777644073e-64,5.011061457532548e-57,8.306286678701216e-66,1.3475406257105975e-70,1.0349669735238865e-63,1.3380290037889013e-46,3.33292504312473e-59,2.6531344678458364e-62,1.0194500470993998e-77,3.1815625569309725e-57,2.9929514830571787e-71,0.0905832197401013,-5948.764048165705,11905.528096331409,11924.868834676001,21060.697307669252,SR_Q_D_E_V_WOB,0.0001,0.0001,0.7188783675284368,0.0001,sub_5
-74973.51961924409,-33.827489461791956,-6.943396962314478,-73.24761804713927,-37154.8018122452,-36984.60773361438,-36788.33373951918,-36923.42712530114,-36955.11894123105,-36928.17723608975,-37000.90057709442,-37036.21970937829,-37070.806838920165,-37102.04988430678,-37016.73905372662,-37021.181853278205,-37100.66663736933,-37090.73013800928,-74973.51961925736,-33.82748950829662,-6.943396970852858,-73.24761807038973,-37154.80181226468,-36984.607733626726,-36788.33373947954,-36923.42712528496,-36955.11894128091,-36928.17723609295,-37000.900577063185,-37036.2197094318,-37070.80683884374,-37102.049884260734,-37016.739053675985,-37021.181853272436,-37100.666637363705,-37090.730138027764,0.017384921148392997,0.01921296428600341,0.575360385589099,0.3485388415282943,0.018389376525023756,0.01892776447665246,0.019539426188286732,0.019115510395053846,0.01901205809907214,0.019103394043356217,0.01886597946358636,0.01876152240802561,0.01865127327415956,0.018556846356969976,0.018822009451948767,0.01879423102817103,0.018549397308069013,0.018584451582323136,0.01738492114839315,0.019212964136544285,0.5753603851231883,0.34853884138735625,0.01838937652502389,0.018927764476652325,0.019539426188287853,0.01911551039505413,0.019012058099071347,0.019103394043356103,0.01886597946358664,0.01876152240802527,0.0186512732741598,0.018556846356970063,0.0188220094519492,0.01879423102817097,0.01854939730806906,0.018584451582323105,0.2534247541250626,-3672.800999074399,7353.601998148798,7370.670800342963,66213.96352529577,SR_Q_D_E_V_WOB,0.00015741566527510846,0.5888074789063382,0.002860882225965695,0.0001,sub_6
-45.131452734863636,-2.553499989171893,14.694195473629437,-1.4915082444756889,194.59267937822872,202.89201108637675,193.10026892440155,198.4224768168514,197.41989256392628,187.81106488355223,207.71940315555548,203.8946557046664,192.2774217212347,189.16274982729968,200.36583071972152,198.30661788971017,210.43031324855087,,-45.1314527348637,-2.5534999891718044,14.694195473629506,-1.4915082444755754,194.59267937822943,202.89201108637675,193.10026892440132,198.4224768168514,197.41989256392617,187.81106488355223,207.71940315555509,203.8946557046664,192.2774217212344,189.16274982729945,200.36583071972117,198.3066178897103,210.43031324855102,,3.725025339266919e-18,0.4256005001776596,1.000256235809636e-08,0.9259061257173072,4.044912690478032e-196,6.509588144361769e-240,5.89800502480677e-191,3.975867146793001e-262,2.3142668265583234e-122,1.4567101367364467e-127,1.1668424079731858e-182,5.99369319447843e-144,1.3199763173805084e-121,1.886477810052569e-192,2.7469596518576863e-125,3.6778513861277104e-138,4.8915056402191094e-127,,3.7250253392663824e-18,0.42560050017767537,1.0002562358094934e-08,0.9259061257173128,4.044912690478032e-196,6.509588144360287e-240,5.89800502480677e-191,3.975867146791645e-262,2.3142668265589818e-122,1.4567101367369435e-127,1.1668424079734515e-182,5.99369319447809e-144,1.3199763173811089e-121,1.8864778100535345e-192,2.74695965185925e-125,3.677851386126872e-138,4.891505640218552e-127,,0.13230938747739185,-5385.968913000039,10779.937826000078,10799.300012117232,5901.206215524222,SR_Q_D_E_V_WOB,0.4639249953740881,0.5376585741874889,0.04449303505481992,0.7554324336834181,sub_7
-52.272131409044256,11.352356364730538,21.629251411683306,37.56759560654412,367.845124525439,338.031605115381,323.5044878737852,283.7835940050972,254.14228852895863,275.72033504816,326.16143781906595,314.89462338249666,319.6280448559504,303.9492771959184,320.7781105228395,333.9318001853705,287.85730352100194,,-52.27213140904397,11.352356364730312,21.62925141168372,37.567595606543705,367.84512452543953,338.03160511538124,323.50448787378525,283.7835940050968,254.14228852895832,275.72033504815965,326.16143781906663,314.8946233824965,319.62804485595063,303.94927719591874,320.7781105228396,333.9318001853705,287.8573035210016,,1.1162879598635885e-09,0.06179866969442972,1.0264983914924623e-05,0.014732400088997281,7.324215754454098e-151,9.315602165575954e-177,1.1519099069555147e-203,1.959016298766988e-155,5.386990912386742e-80,2.8393509466261427e-80,8.419951429046312e-173,3.5439422964904225e-86,8.893808064233116e-108,2.671704052270099e-132,8.065140144898975e-106,8.008908611313572e-94,4.080763069099139e-98,,1.1162879598638486e-09,0.06179866969443525,1.0264983914920593e-05,0.014732400088998437,7.324215754451182e-151,9.315602165579131e-177,1.1519099069555147e-203,1.9590162987673224e-155,5.386990912388276e-80,2.839350946625496e-80,8.419951429042002e-173,3.543942296491532e-86,8.89380806422957e-108,2.6717040522696434e-132,8.065140144897141e-106,8.008908611313572e-94,4.0807630691006473e-98,,0.18626950178501944,-5277.3433068977065,10562.686613795417,10581.577132974837,19212.381010223908,SR_Q_D_E_V_WOB,0.12846932740288966,0.0001,0.028218072075162262,0.4673443214865524,sub_8
-110409.77151393096,-12.713077852646071,-3.8758540218797575,5.792818865641903,-54985.35716336219,-54976.81268646504,-54971.454827986716,-54973.193967841835,-54988.21528688754,-54961.971031566136,-54967.3577364058,-54967.3016554274,-54966.09133999252,-54974.719383451775,-54970.97192131393,-54972.50392661933,-54979.127161220335,-54986.32127769168,-110409.77151384296,-12.713077747423053,-3.8758539837991615,5.792819036240804,-54985.35716354611,-54976.81268648127,-54971.454827876296,-54973.19396796677,-54988.215286734914,-54961.971031461464,-54967.357736281396,-54967.3016556964,-54966.09134003123,-54974.71938348255,-54970.97192112874,-54972.50392661331,-54979.12716142248,-54986.321277608135,7.695386716594563e-17,1.8458209959889842e-05,0.0965165271020554,0.4582150677190785,1.0032230196483475e-16,1.0139607941893543e-16,1.0200315284273908e-16,1.0194173346196447e-16,9.993345993566877e-17,1.0330126667791832e-16,1.0239524233783373e-16,1.027194752103465e-16,1.0309514831951031e-16,1.0171741286862196e-16,1.0195214743875049e-16,1.0169929643379739e-16,1.0094069785588155e-16,9.985335626980383e-17,7.695386716593176e-17,1.8458212822204584e-05,0.0965165303575146,0.4582150544554552,1.0032230196481523e-16,1.0139607941893251e-16,1.0200315284275456e-16,1.0194173346195271e-16,9.993345993568174e-17,1.0330126667793396e-16,1.0239524233785661e-16,1.0271947521030952e-16,1.0309514831950507e-16,1.0171741286861975e-16,1.0195214743877695e-16,1.0169929643379743e-16,1.0094069785586043e-16,9.985335626980816e-17,0.14127305288993353,-5157.009791682599,10322.019583365198,10341.277754954235,4835.641213476826,SR_Q_D_E_V_WOB,0.00015880981799306482,0.5875769961391039,0.00019051201401594685,0.0001,sub_9
-102.67485200916168,-7.7394364278092835,0.2362128432519306,30.211117211374894,323.09675793647096,269.22007178753285,258.1378483138793,242.0548439824761,225.6799028812412,250.5806832834073,225.40161352365413,206.162078582029,186.0722654541301,214.8221853829189,198.82746720019787,194.82491837499074,195.06160564165185,204.44940673211562,-102.67485200916114,-7.739436427809147,0.23621284325140124,30.21111721137465,323.096757936472,269.2200717875328,258.1378483138795,242.05484398247657,225.67990288124142,250.58068328340732,225.40161352365425,206.16207858202893,186.07226545413036,214.8221853829191,198.82746720019787,194.824918374992,195.06160564165177,204.4494067321167,5.409574131218164e-07,0.1213184971035923,0.9529404139968041,0.2298126574316216,6.850088588746268e-101,4.2660920500074946e-63,4.967687960470556e-67,6.78376206728194e-72,1.8812556336900777e-51,2.2707965326226806e-60,2.3135765727999545e-68,2.3172919691663846e-44,6.72005652984018e-34,2.086190605329155e-44,1.2111784688773511e-57,4.598641141606909e-51,1.9027525468826054e-55,9.262154967780391e-56,5.409574131219092e-07,0.12131849710359903,0.9529404139969092,0.2298126574316255,6.850088588746268e-101,4.266092050007129e-63,4.967687960470131e-67,6.783762067282326e-72,1.881255633689863e-51,2.2707965326226806e-60,2.3135765728002847e-68,2.3172919691663846e-44,6.720056529839796e-34,2.0861906053291554e-44,1.2111784688773511e-57,4.598641141605661e-51,1.9027525468826054e-55,9.262154967778933e-56,0.22528638566889025,-5784.605768274768,11577.211536549536,11596.556573658645,14599.949500036955,SR_Q_D_E_V_WOB,0.09635574719850523,0.448120637403327,0.0001,0.20124201493757146,sub_10
