subject,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB
sub_1,5032.247940401884,4902.82015679586,4885.908137712915,4875.0676690168075,4864.587643775356
sub_2,5731.504064199534,4950.587997312748,4922.270071655796,4911.864694530471,4896.96904060135
sub_3,20129.6224058012,19909.79466083174,19896.14454878433,19766.764757952144,19709.421942916146
sub_4,4692.224751394163,4687.651000337217,4667.404541746291,4656.6011828654355,4638.205238301007
sub_5,21190.412134143487,21190.421264418797,21060.697307669252,21151.959725372388,21035.09580627459
sub_6,66091.42548140422,66086.51784302077,66213.96352529577,66086.51784257498,66229.19971256307
sub_7,6032.440221436503,5905.3745484206065,5901.206215524222,5801.22487307185,5806.443449596495
sub_8,19267.23954121368,19267.24997092163,19212.381010223908,19069.17749834483,19104.259538984305
sub_9,5008.347279134201,4840.045138957822,4835.641213476826,4819.282966557444,4809.616996104482
sub_10,14624.7334634764,14601.500707109532,14599.949500036955,14447.998892933716,14460.217004354507
sub_11,11492.038805610833,11379.142983440293,11377.846672311667,11310.538259712852,11312.443091360576
sub_12,28876.94505400992,28854.576141618065,28811.487749053184,28767.12101737297,28743.414616894403
sub_13,26672.97446961566,26641.195282369845,26492.496390718814,26420.04256465567,26400.83980751944
sub_14,4449.493912561328,4449.502750945351,4443.922028091021,4395.571298908529,4406.654075495552
sub_15,7646.838085871411,7425.025096535783,7416.173076591001,7331.0821848295045,7320.70910087102
sub_16,10127.370388907751,10118.534581081884,10114.44648351282,10029.02111436536,10035.337996699176
sub_17,10712.003935313049,10712.007348162171,10686.793857945118,10632.460514676868,10618.021776671945
sub_18,1925.5892862994424,1925.670310548244,1925.670310548244,1914.970817774196,1917.110278219861
