P_diff,congruency,hand,postError,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,congruency.1,hand.1,postError.1,nblock_1.1,nblock_2.1,nblock_3.1,nblock_4.1,nblock_5.1,nblock_6.1,nblock_7.1,nblock_8.1,nblock_9.1,nblock_10.1,nblock_11.1,nblock_12.1,nblock_13.1,nblock_14.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,NBLOCK_1,NBLOCK_2,NBLOCK_3,NBLOCK_4,NBLOCK_5,NBLOCK_6,NBLOCK_7,NBLOCK_8,NBLOCK_9,NBLOCK_10,NBLOCK_11,NBLOCK_12,NBLOCK_13,NBLOCK_14,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,NBLOCK_1.1,NBLOCK_2.1,NBLOCK_3.1,NBLOCK_4.1,NBLOCK_5.1,NBLOCK_6.1,NBLOCK_7.1,NBLOCK_8.1,NBLOCK_9.1,NBLOCK_10.1,NBLOCK_11.1,NBLOCK_12.1,NBLOCK_13.1,NBLOCK_14.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_v,subject
-64.17422229491677,-17.127466904404947,-6.452074946187108,27.89449988563096,203.78849544887817,225.4736510366293,234.84766393565582,216.53401956165808,221.8201452933609,206.6154942633924,215.49948559662587,214.7447370627773,202.77446032163255,199.5573734202001,204.2904098321178,201.30448574679704,204.57039929122718,207.14518197869882,-64.17422229491693,-17.12746690440472,-6.452074946186702,27.89449988563157,203.78849544887802,225.47365103662918,234.84766393565616,216.53401956165825,221.8201452933612,206.61549426339258,215.4994855966257,214.74473706277718,202.77446032163246,199.5573734202,204.29040983211743,201.3044857467969,204.57039929122695,207.14518197869947,2.1470503267565654e-32,6.462833553786114e-09,0.005450532431393374,0.02739352109420052,4.026185153721457e-148,2.9786138746256788e-179,6.283999775157984e-180,4.4500693461557945e-240,4.258365182288478e-167,4.9031914283238866e-160,3.8965365874983115e-214,2.0612022652927e-165,1.0332265255756521e-145,1.0207033351034448e-158,1.3324317959486136e-222,2.294232381905002e-257,4.2986079670836473e-224,8.604150485482551e-265,2.1470503267556124e-32,6.462833553788831e-09,0.005450532431396239,0.027393521094197,4.026185153722372e-148,2.9786138746256788e-179,6.283999775156197e-180,4.450069346153769e-240,4.258365182287509e-167,4.903191428320819e-160,3.8965365874983115e-214,2.0612022652935207e-165,1.0332265255759457e-145,1.0207033351036769e-158,1.3324317959489932e-222,2.294232381905002e-257,4.2986079670848706e-224,8.604150485475701e-265,0.2254324088016487,-5287.984125515665,10581.968251031329,10596.483466633872,4902.82015679586,SR_Q_D_V_WOB,0.3582886924828165,0.2922737227240413,0.537871117322027,sub_1
-98.67192183990915,-9.277735811099003,8.32083407630535,22.03246891547732,237.95952929706402,202.7463216896228,190.28810801632682,173.82561984360095,184.7535035799356,171.2754656022801,183.3598290884117,162.5086717227775,169.50933688041013,159.31188510005322,175.06446074111034,169.1545328044659,176.1984196673447,164.5022358560054,-98.67192183990956,-9.277735811099,8.320834076305468,22.032468915477338,237.9595292970636,202.7463216896228,190.28810801632682,173.8256198436012,184.7535035799353,171.27546560227987,183.35982908841135,162.50867172277762,169.5093368804102,159.31188510005327,175.06446074111022,169.1545328044657,176.1984196673448,164.50223585600511,2.649845372493884e-65,0.001697863253137169,0.00040321846356672667,0.00448916312264051,2.2117789517625463e-173,2.383399646013196e-136,1.74056579798041e-136,6.741492499096627e-153,2.2881031777717595e-137,9.57348623816941e-110,3.8674210682498477e-187,2.950101063287252e-101,2.1776976338582344e-117,3.3876375172351013e-99,6.799920657844996e-212,7.628643637682915e-170,1.7048015246573153e-213,1.6375956966362047e-169,2.64984537249071e-65,0.0016978632531371642,0.00040321846356665273,0.004489163122640447,2.2117789517638046e-173,2.383399646013196e-136,1.7405657979799147e-136,6.741492499096244e-153,2.288103177771499e-137,9.573486238173771e-110,3.867421068251829e-187,2.9501010632866646e-101,2.177697633857862e-117,3.3876375172348106e-99,6.79992065784693e-212,7.62864363768682e-170,1.7048015246573153e-213,1.63759569663723e-169,0.3908154922873712,-5235.781511089913,10477.563022179826,10492.045909883334,4950.587997312748,SR_Q_D_V_WOB,0.5902443059901724,0.7065992656108223,0.4735832201808095,sub_2
-106.36756213844644,12.826975175682785,25.028222266393836,-5.328961493624182,220.9821267656757,181.93447592146683,184.42493608498143,189.60136942578583,193.49131076603405,254.66011526123225,224.78283027693456,246.92993306563545,222.2773182197747,239.443577089208,222.36002225262862,199.98379288453228,236.11631900542386,,-106.36756213844588,12.826975175682733,25.02822226639378,-5.328961493623588,220.98212676567675,181.9344759214665,184.42493608498202,189.60136942578515,193.49131076603402,254.66011526123276,224.7828302769346,246.9299330656356,222.27731821977463,239.443577089208,222.3600222526285,199.98379288453305,236.11631900542312,,7.484891731979796e-06,0.042676812297784736,7.152340879683963e-07,0.6570137394181517,8.08903990743291e-47,1.4967215512316852e-37,4.844664453176051e-34,4.1114833269428596e-42,2.5673566829440553e-25,1.0709242272402311e-36,8.128997956253293e-42,8.459336731671879e-33,4.023974110115871e-26,3.2044158245288923e-55,6.981131048334397e-36,3.1395503255101887e-34,5.444637007746162e-38,,7.484891731980867e-06,0.04267681229778555,7.152340879684463e-07,0.6570137394181873,8.089039907433604e-47,1.496721551231878e-37,4.844664453176051e-34,4.111483326942976e-42,2.5673566829441288e-25,1.0709242272402767e-36,8.128997956253293e-42,8.459336731672121e-33,4.0239741101157545e-26,3.2044158245290304e-55,6.981131048335095e-36,3.1395503255098752e-34,5.444637007746551e-38,,0.1422605374717505,-5190.263991143676,10386.527982287353,10400.637546627077,19909.79466083174,SR_Q_D_V_WOB,0.1708545929177869,0.6350002354472049,0.2459592541459326,sub_3
-50.186888958708536,-21.854707400253407,0.013223508005104634,17.138930296349404,202.94019403991098,216.68867385324867,204.28100726812286,206.8457494968211,205.52651994135232,202.75209429350144,206.77608151434777,201.02786264958854,197.19427301331189,212.51619490085344,191.9450684429253,194.03880228166537,195.09558495511536,,-50.186888958707826,-21.854707400253677,0.013223508005577587,17.13893029634942,202.94019403991143,216.68867385324887,204.2810072681224,206.84574949682099,205.52651994135243,202.75209429350133,206.7760815143481,201.02786264958831,197.19427301331197,212.51619490085332,191.94506844292545,194.03880228166568,195.09558495511533,,2.7103380074842744e-11,1.2618901550102676e-13,0.9953679234689778,0.12301627553911565,3.596066700631201e-229,3.368420062228265e-222,7.214998280988446e-233,1.0627339995697447e-218,3.5092192500893083e-147,1.3915652315351536e-131,1.879822904210671e-198,2.7266805320180024e-130,9.018307865374749e-135,2.774172686781719e-189,3.986171224460651e-136,2.6453651421903283e-127,2.8145490472917993e-135,,2.710338007486104e-11,1.2618901550094099e-13,0.9953679234688122,0.1230162755391158,3.596066700630382e-229,3.3684200622274977e-222,7.214998280990908e-233,1.0627339995699865e-218,3.509219250089708e-147,1.391565231535312e-131,1.8798229042113124e-198,2.7266805320183123e-130,9.018307865375261e-135,2.7741726867823505e-189,3.986171224459742e-136,2.6453651421892746e-127,2.8145490472917993e-135,,0.13129579886374987,-5204.949980753819,10415.899961507635,10430.379597178307,4687.651000337217,SR_Q_D_V_WOB,0.19194484178890803,0.13340908168700166,0.13821803631747914,sub_4
-17.62414308819082,-2.3353399958736425,25.45776732548557,32.90918360428968,254.11944479197982,272.26134961132647,256.0482132919451,250.0986132917776,259.7117275349682,282.33655788603625,265.539162919923,273.9768727179944,227.55027685805146,256.9943999088844,234.8053469356247,254.2591066231351,222.8336119841417,233.78529929150525,-17.624143088191076,-2.3353399958734444,25.45776732548514,32.90918360428914,254.11944479198087,272.26134961132715,256.0482132919452,250.09861329177798,259.7117275349682,282.3365578860362,265.5391629199229,273.9768727179945,227.55027685805152,256.9943999088842,234.8053469356245,254.2591066231353,222.83361198414119,233.78529929150528,0.012647950244571377,0.7008929469214478,1.680298844619051e-07,0.3230939016488115,2.440054441532567e-69,1.4850136948320657e-87,1.203970206177464e-70,4.464922330524153e-117,1.2141439371678533e-73,8.402035495998645e-92,4.962446447993905e-108,8.959197344726762e-89,2.6514122684502886e-57,7.219730045479183e-79,2.548798863311511e-111,1.199582894002889e-153,3.042200841902353e-100,5.445329492491961e-137,0.012647950244570015,0.7008929469214715,1.6802988446198946e-07,0.3230939016488199,2.440054441530549e-69,1.485013694831177e-87,1.2039702061773605e-70,4.464922330524153e-117,1.2141439371679222e-73,8.402035495997689e-92,4.962446447994753e-108,8.959197344726762e-89,2.651412268450061e-57,7.21973004548083e-79,2.548798863311874e-111,1.1995828940026163e-153,3.042200841903392e-100,5.44532949249134e-137,0.0849816431088396,-5951.619442983857,11909.238885967714,11923.744439726155,21190.421264418797,SR_Q_D_V_WOB,0.0989954097962888,0.0001,0.8274291430283021,sub_5
-204.4133437507418,-33.653751624149606,-69.135773025022,-34.82122973601982,264.3600678256779,416.056664362774,609.7713862782949,492.6094144492835,445.89801996966327,492.24954628548585,420.46642771036386,383.7257817550109,346.26114078586767,315.04652299681237,400.9151728283501,390.4963333865878,312.7878532887128,322.82290630975626,-204.41334375074143,-33.653751624149564,-69.1357730250229,-34.82122973601856,264.3600678256766,416.05666436277664,609.7713862782944,492.60941444928466,445.89801996966315,492.2495462854863,420.4664277103632,383.7257817550114,346.2611407858679,315.0465229968122,400.9151728283497,390.4963333865879,312.7878532887129,322.8229063097574,0.0099894550434655,0.01959246539090442,0.011901841297278188,0.6490503552933591,2.4243216061480497e-14,1.1637504016007912e-20,4.96643431461098e-32,2.463039697167531e-37,1.1972643255467648e-20,4.049255262808284e-30,1.0026195117923329e-32,5.677209131385447e-22,6.026159885977821e-20,5.0702007251045715e-15,2.641474308116836e-33,3.9812053210804373e-28,5.715476690110737e-22,1.1047180450683342e-20,0.009989455043465805,0.019592465390904614,0.011901841297276566,0.6490503552933706,2.424321606148216e-14,1.1637504016007912e-20,4.966434314610625e-32,2.4630396971677065e-37,1.1972643255467648e-20,4.049255262808284e-30,1.0026195117923899e-32,5.677209131385447e-22,6.026159885977258e-20,5.070200725104517e-15,2.6414743081167602e-33,3.9812053210805516e-28,5.715476690111229e-22,1.1047180450684135e-20,0.2548617289738463,-3672.2933372673747,7350.586674534749,7363.388276180373,66086.51784302077,SR_Q_D_V_WOB,0.005778036567369188,0.0017212727287355225,0.028869671839302,sub_6
-44.85176747238887,-2.6088979613893386,14.643371964678154,6.206487654469491,194.772226221501,203.05537066451862,193.29568812186238,198.56660704907355,197.61053106640998,187.96936248234303,207.89854872198117,204.0504376221582,192.43805601730685,189.31204634080848,200.55964653409507,198.46412674013828,210.62941656503727,,-44.85176747238881,-2.608897961389232,14.643371964677554,6.206487654469201,194.7722262215015,203.05537066451825,193.29568812186216,198.56660704907367,197.61053106640983,187.96936248234317,207.89854872198129,204.05043762215817,192.43805601730668,189.3120463408083,200.5596465340953,198.46412674013843,210.62941656503705,,5.171714994301283e-18,0.4157966628344252,1.13763899308221e-08,0.6984862577256027,1.695006644918755e-196,2.4836422862169186e-240,2.1956686505258627e-191,1.5853292406831612e-262,1.4367369575255564e-122,9.773753553645617e-128,5.8946337412035525e-183,4.0491203232527627e-144,9.272883248937414e-122,9.920798411800466e-193,1.6820104468318227e-125,2.4684124035298577e-138,3.0854611662146834e-127,,5.171714994301654e-18,0.41579666283444383,1.1376389930838028e-08,0.6984862577256159,1.695006644916923e-196,2.4836422862183315e-240,2.1956686505259873e-191,1.5853292406824402e-262,1.4367369575255564e-122,9.77375355364395e-128,5.894633741204222e-183,4.0491203232523006e-144,9.272883248935829e-122,9.920798411802162e-193,1.6820104468312483e-125,2.4684124035290155e-138,3.085461166215737e-127,,0.13169649187741314,-5386.299016312588,10778.598032625176,10793.119672213044,5905.3745484206065,SR_Q_D_V_WOB,0.4635787554064912,0.5364380557913038,0.7562963022963921,sub_7
-53.01545754623867,11.803573111972213,22.18188635315844,37.74422581599895,368.2134754184294,337.2890287019947,322.91093336910734,282.9487709973052,253.36923265268055,274.7620893210901,324.60520480194873,315.086999469506,318.0730631246132,303.45509276341863,319.2863810599531,331.57102276943164,287.901455215952,,-53.01545754623871,11.803573111971858,22.18188635315996,37.744225815998064,368.21347541842925,337.2890287019957,322.91093336910734,282.948770997305,253.3692326526808,274.76208932108983,324.6052048019486,315.0869994695063,318.073063124613,303.45509276341863,319.2863810599528,331.5710227694321,287.9014552159526,,3.671839374596212e-09,0.052672462663258826,6.296240053078977e-06,0.014409397193493628,1.5315831074837735e-150,7.375738082474603e-174,3.72644618503339e-200,3.809349124050159e-152,1.239520179952038e-78,6.985577999212349e-79,1.979584447997282e-168,8.326460964648401e-86,1.5388680164387074e-105,7.595192866888917e-131,9.455889447032624e-104,1.518944621227701e-91,1.0803625291485774e-97,,3.671839374596251e-09,0.052672462663266036,6.296240053069532e-06,0.014409397193495906,1.5315831074835993e-150,7.375738082470408e-174,3.7264461850338134e-200,3.809349124051025e-152,1.2395201799517556e-78,6.98557799921076e-79,1.979584447997282e-168,8.326460964646504e-86,1.5388680164392327e-105,7.595192866888917e-131,9.455889447033704e-104,1.5189446212275718e-91,1.080362529148147e-97,,0.18394555522673794,-5278.528249062693,10563.056498125386,10577.224387509952,19267.24997092163,SR_Q_D_V_WOB,0.127572275275351,0.0001,0.3751579605299712,sub_8
-81738.92157055237,-12.597168689679767,-3.7942840074891695,6.28252650473431,-40649.981432697874,-40641.24518175551,-40636.07732934479,-40637.68775106848,-40652.83636576377,-40626.729186110686,-40631.94345488672,-40632.04250828175,-40630.59140214288,-40639.319792170514,-40635.74471918598,-40637.245307953446,-40643.93864392788,-40651.287862402365,-81738.92157057681,-12.5971686989623,-3.7942839905191916,6.282526572023798,-40649.98143270758,-40641.24518168545,-40636.07732942008,-40637.68775122476,-40652.836365612304,-40626.7291862376,-40631.943454717104,-40632.04250846303,-40630.5914021384,-40639.31979222255,-40635.744719085786,-40637.24530798462,-40643.93864395245,-40651.287862429584,1.1807831819114586e-16,2.2083530006186747e-05,0.10386153052818008,0.42126732627021296,1.68213620053106e-16,1.706190242692059e-16,1.7198283916068056e-16,1.718431856120429e-16,1.6734473416855642e-16,1.749069347080245e-16,1.728644944699775e-16,1.7359422981500426e-16,1.7444143593098442e-16,1.7133997371782643e-16,1.7186706232553235e-16,1.7129874140567016e-16,1.6959686844209838e-16,1.6716479768922114e-16,1.1807831819115436e-16,2.2083529705971308e-05,0.10386153206713654,0.4212673212895145,1.6821362005310236e-16,1.706190242692379e-16,1.7198283916065455e-16,1.7184318561199086e-16,1.6734473416858415e-16,1.7490693470796027e-16,1.7286449447005103e-16,1.7359422981492414e-16,1.7444143593098442e-16,1.7133997371780414e-16,1.7186706232556578e-16,1.712987414056504e-16,1.6959686844208124e-16,1.6716479768921508e-16,0.14046023839815158,-5157.440734127967,10320.881468255931,10335.325096947714,4840.045138957822,SR_Q_D_V_WOB,0.0002153156344489864,0.6018736369531146,0.00014210600648946722,sub_9
-94.57020677075334,-7.8140166163144995,0.2824609080519931,30.905454422184828,327.05087458011985,273.34877949450384,262.2296089197365,246.16959185309085,229.73828548518622,254.6958788503663,229.47821994992336,210.2888633181733,190.17079954626092,219.0696372121067,202.81326737735225,198.88613860806126,199.216041707547,208.4950705728582,-94.57020677075388,-7.814016616314835,0.28246090805135715,30.90545442218484,327.0508745801196,273.34877949450305,262.22960891973656,246.16959185309025,229.7382854851862,254.69587885036663,229.47821994992358,210.28886331817313,190.17079954626092,219.06963721210724,202.813267377352,198.8861386080613,199.2160417075463,208.49507057285822,5.688502858200739e-07,0.1177339087117712,0.9437416091518795,0.2193506785911601,5.422982875529585e-109,8.931558587170472e-69,1.8371956925176885e-73,5.974387630214161e-80,1.0977611936935614e-56,6.079136278446566e-66,8.299044847028988e-77,6.503105842843173e-49,1.456122545563929e-37,5.040016764260766e-49,1.1722828428255478e-65,7.228944868183171e-58,1.5060509674114872e-63,5.700951588259978e-63,5.688502858199828e-07,0.11773390871175575,0.943741609152006,0.2193506785911601,5.422982875530975e-109,8.931558587170472e-69,1.8371956925175842e-73,5.974387630214673e-80,1.0977611936936868e-56,6.07913627844518e-66,8.29904484702828e-77,6.503105842844661e-49,1.456122545564034e-37,5.0400167642596165e-49,1.1722828428256812e-65,7.22894486818214e-58,1.5060509674116589e-63,5.700951588259978e-63,0.2252040743405004,-5784.655223824942,11575.310447649888,11589.81922548172,14601.500707109532,SR_Q_D_V_WOB,0.10266590854445233,0.4356791536203409,0.2224291828476023,sub_10
