α_v,α_s,α_v_error,α_s_error,decay,MSE
0.88,0.03,0.36,0.57,0.67,1.7485190505328335e7
0.92,0.56,0.59,0.24,0.65,1.7267487958079945e7
0.74,0.05,0.77,0.18,0.5,1.743479144832783e7
0.09,0.97,0.19,0.16,0.74,1.7375927327559244e7
0.71,0.08,1.0,0.85,0.49,1.7446470073250394e7
0.54,0.42,0.45,0.86,0.28,1.730790253668331e7
0.79,0.22,0.22,0.74,0.25,1.7357331032401063e7
0.9,0.91,0.42,0.77,0.47,1.7243658307422046e7
0.19,0.31,0.2,0.47,0.43,1.7417249324985623e7
0.3,0.3,0.93,0.81,0.46,1.741039597370976e7
0.81,0.6,0.88,0.72,0.02,1.7265622356391307e7
0.17,0.82,0.52,0.88,0.89,1.736164049356068e7
0.71,0.44,0.42,0.69,0.55,1.7286502126131993e7
0.55,0.72,0.9,0.53,0.91,1.726338148220645e7
0.86,0.51,0.8,0.39,0.14,1.7274787350138508e7
0.6,0.54,0.73,1.0,0.21,1.7283783151317477e7
0.86,0.94,0.37,0.41,0.76,1.7235083570414774e7
0.98,0.3,0.38,0.29,1.0,1.733203656037743e7
0.75,0.97,0.99,0.91,0.93,1.7245802114747263e7
0.38,0.66,0.32,0.81,0.04,1.729466109202755e7
0.24,0.01,0.92,0.33,0.27,1.7593174656111524e7
0.57,0.55,0.62,0.25,0.1,1.7268463127090886e7
0.31,0.93,0.51,0.74,0.51,1.730278603453763e7
0.42,0.51,0.8,0.68,0.36,1.7312661299666658e7
0.75,0.24,0.97,0.85,0.74,1.736009630552158e7
0.12,0.42,0.56,0.68,0.66,1.743860326969642e7
0.51,0.23,0.05,0.77,0.85,1.7368807064539563e7
0.41,0.97,0.61,0.57,0.6,1.727533822114371e7
0.58,0.24,0.65,0.01,0.31,1.734454411316778e7
0.5,0.15,0.37,0.01,0.37,1.7390674366869587e7
0.67,0.26,0.13,0.55,0.31,1.733652651985962e7
0.17,0.68,0.03,0.37,0.33,1.7345349932575386e7
0.06,0.04,0.67,0.47,0.1,1.76138463647874e7
0.15,0.83,0.66,0.84,0.39,1.737588348798456e7
0.95,0.05,0.88,0.22,0.39,1.744013463657379e7
0.92,0.85,0.91,1.0,0.02,1.7255466570540678e7
0.7,0.56,0.22,0.24,0.12,1.7253716957810353e7
0.51,0.56,0.3,0.34,0.14,1.7271375824580885e7
0.92,0.34,0.8,0.52,0.09,1.7321570584883753e7
0.14,0.11,0.67,0.04,0.81,1.752660501650266e7
0.71,0.27,0.89,0.69,0.58,1.734408458308517e7
0.8,0.11,0.91,0.34,0.7,1.740450231637522e7
0.94,0.62,0.87,0.67,0.92,1.727086534168525e7
0.82,0.01,0.46,0.58,0.01,1.7535328409686986e7
0.16,0.78,0.32,0.07,0.88,1.7349597198456176e7
0.06,0.74,0.27,0.56,0.62,1.7423330950747587e7
0.55,0.36,0.04,0.55,0.17,1.731031638383484e7
0.74,0.47,0.51,0.83,0.41,1.7283817588056695e7
0.94,0.12,0.08,0.85,0.77,1.7413229010146063e7
0.5,0.09,0.83,0.91,0.04,1.7461703972452987e7
0.17,0.88,0.99,0.72,0.72,1.7375413270596113e7
0.9,0.89,0.25,0.96,0.64,1.7246246395472262e7
0.27,0.68,0.83,0.1,0.69,1.7328902618780896e7
0.33,0.77,0.16,0.57,0.1,1.7292553089541424e7
0.28,0.08,0.56,0.43,0.14,1.7497113601394612e7
0.59,0.73,0.38,0.29,0.11,1.7246104673957836e7
1.0,0.77,0.11,0.29,0.6,1.725401193508834e7
0.16,0.71,0.94,0.69,0.19,1.738949541161833e7
0.66,0.99,0.52,0.36,0.82,1.7235721847230393e7
0.88,0.66,0.3,0.92,0.22,1.726066152826717e7
0.46,0.29,0.42,0.15,0.68,1.7342836930442344e7
0.15,0.86,0.2,0.36,0.82,1.7349178258259907e7
0.32,0.55,0.71,0.69,0.05,1.7331990546093445e7
0.71,0.13,0.63,0.66,0.3,1.7402172913025565e7
0.21,0.13,0.75,0.71,0.85,1.7507018784246948e7
0.82,0.25,0.91,0.46,0.24,1.7345883772158522e7
0.44,0.48,0.77,0.94,0.66,1.731915903314029e7
0.75,0.64,0.31,0.61,0.96,1.7251247353031807e7
0.29,0.77,0.68,0.94,0.25,1.732348350653714e7
0.75,0.56,0.65,0.88,0.27,1.7270266406294253e7
0.14,0.63,0.45,0.08,0.83,1.737652018008185e7
0.89,0.42,0.58,0.92,0.32,1.7304253818822194e7
0.44,0.55,0.02,0.07,0.8,1.7276110989994448e7
0.87,0.54,0.13,0.8,0.86,1.727245966477713e7
0.12,0.81,0.79,0.23,0.29,1.739202524711142e7
0.71,0.24,0.07,0.91,0.85,1.7352647408777148e7
0.42,0.29,0.04,0.16,0.94,1.734505357358273e7
0.76,0.21,0.27,0.56,0.9,1.73567596785459e7
0.4,0.74,0.41,0.87,0.74,1.7286386947731216e7
0.68,0.09,0.64,0.32,0.43,1.7415300358523097e7
0.12,0.18,0.03,0.04,0.29,1.7481755237376735e7
0.14,0.48,0.83,0.17,0.16,1.7417728458181944e7
0.64,0.4,0.77,0.48,0.44,1.7299250766282137e7
0.65,0.22,0.72,0.09,0.14,1.734944050462155e7
0.95,0.3,0.82,0.86,0.55,1.7344373883516025e7
0.73,0.27,0.74,0.4,0.57,1.733429542492894e7
0.59,0.74,0.18,0.97,0.99,1.725430062446397e7
0.38,0.06,0.16,0.75,0.45,1.7495562732544042e7
0.57,0.22,0.35,0.67,0.79,1.7366152316958264e7
0.19,0.46,0.69,0.18,0.91,1.7389199198059432e7
0.39,0.21,0.71,0.15,0.8,1.7395638852049332e7
0.74,0.8,0.65,0.3,0.12,1.7238620401087735e7
0.33,0.82,0.45,0.27,0.64,1.7292253102460396e7
0.32,0.81,0.65,0.39,0.28,1.7302137277327735e7
0.93,0.9,0.28,0.11,0.99,1.7237721110712003e7
1.0,0.9,0.27,0.43,0.76,1.7248582705111787e7
0.37,0.32,0.1,0.79,0.78,1.736264969315845e7
0.12,0.06,0.81,0.58,0.33,1.7581242906564593e7
0.42,0.81,0.9,0.9,0.64,1.728857769060259e7
0.55,0.55,0.49,0.55,0.16,1.7274224716312822e7
0.64,0.57,0.4,0.01,0.88,1.7252905453057934e7
0.52,0.89,0.18,0.07,0.69,1.7243245715887796e7
0.52,0.14,0.76,0.95,0.75,1.742636443896996e7
0.92,0.79,0.09,0.25,0.14,1.724272713885477e7
0.66,0.27,0.5,0.39,0.17,1.7333254282045804e7
0.29,0.42,0.72,0.4,0.78,1.736221829334705e7
0.96,0.21,0.67,0.5,0.26,1.73679630108938e7
0.25,0.72,0.86,0.04,0.92,1.7334163581464496e7
0.3,0.63,0.15,0.74,0.27,1.7314763605041247e7
0.65,0.49,0.81,0.73,0.33,1.728424214015047e7
0.4,0.82,0.63,0.05,0.26,1.7274913398844652e7
0.86,0.21,0.5,0.01,0.97,1.7348919199649826e7
0.15,0.98,0.99,0.4,0.49,1.737782184370484e7
0.08,0.75,0.43,0.52,0.08,1.7410204951883934e7
0.99,0.05,0.73,0.04,0.19,1.7432187975410465e7
0.35,0.64,0.5,0.9,0.9,1.731013697014784e7
0.65,0.59,0.36,0.51,0.85,1.7257586343024533e7
0.71,0.31,0.06,0.81,0.06,1.732344617695669e7
0.68,0.19,0.22,0.85,0.77,1.7374922195890237e7
0.79,0.92,1.0,0.7,0.71,1.724375940788945e7
0.62,0.62,0.02,0.35,0.83,1.7249410243794266e7
0.06,0.06,0.63,0.89,0.55,1.7610886839403253e7
0.77,0.37,0.46,0.01,0.36,1.7290942432722207e7
0.15,1.0,0.21,0.65,0.84,1.734902734188479e7
0.48,0.96,0.36,0.25,0.76,1.725319976440179e7
0.8,0.16,0.97,0.33,0.04,1.7380505605382062e7
0.85,0.83,0.81,0.58,0.23,1.724502351972001e7
0.17,0.17,0.13,0.63,0.34,1.74821632687386e7
0.43,0.46,0.21,0.05,0.2,1.729580532313349e7
0.87,0.8,0.49,0.64,0.57,1.7245609638399366e7
0.74,0.63,0.99,0.65,0.66,1.7261456575832434e7
0.49,0.85,0.35,0.1,0.51,1.725130156354384e7
0.95,0.51,0.9,0.04,0.41,1.7278065714687586e7
0.85,0.86,0.02,0.82,0.94,1.7240770645367533e7
0.08,0.58,0.63,0.39,0.7,1.743623131368753e7
0.62,0.67,0.2,0.77,0.02,1.725376303011783e7
0.62,0.14,0.77,0.6,0.61,1.7402704583907373e7
0.45,0.26,0.7,0.38,0.98,1.736670310291135e7
0.79,0.3,0.85,0.26,0.96,1.7322195695493374e7
0.74,0.77,0.37,0.07,0.28,1.7234169617823213e7
0.52,0.98,0.15,0.54,0.74,1.7247655443433985e7
0.33,0.2,0.22,0.38,0.88,1.7411465687185176e7
0.25,0.29,0.63,0.74,0.69,1.742129866081265e7
0.84,0.21,0.98,0.99,0.29,1.73767145801687e7
0.26,0.24,0.4,0.74,0.83,1.743000027540603e7
0.96,0.8,0.52,0.29,0.7,1.7249087252985395e7
0.9,0.72,0.78,0.57,0.49,1.7254924855511762e7
0.06,0.62,0.4,0.78,0.83,1.744509778484261e7
0.91,0.66,0.33,0.96,0.64,1.7264151689336315e7
0.75,0.37,0.68,0.58,0.21,1.7305057884334415e7
0.45,0.17,0.73,0.57,0.4,1.7411145491742484e7
0.98,0.25,0.15,0.68,0.3,1.735629094935858e7
0.35,0.41,0.38,0.17,0.18,1.7331977692872718e7
0.77,0.55,0.56,0.55,0.56,1.7264529796041906e7
0.81,0.55,0.77,0.53,0.37,1.726780568458079e7
0.38,0.03,0.24,0.09,0.25,1.7487192695590593e7
0.9,0.67,0.88,0.54,0.72,1.7259941774907663e7
0.31,0.81,0.64,0.33,0.05,1.730424409262724e7
0.57,0.73,0.66,0.55,0.93,1.7256273355148073e7
0.61,0.85,0.12,0.23,0.07,1.7235362120907303e7
0.29,0.41,0.82,0.73,0.2,1.7375138889027152e7
0.17,0.7,0.44,0.44,0.99,1.735991992365345e7
0.08,0.16,0.5,0.4,0.5,1.754049363825203e7
0.39,0.04,0.44,0.58,0.65,1.751358274012243e7
0.17,0.54,0.21,0.65,0.65,1.7373335047843702e7
0.18,0.07,0.2,0.01,0.38,1.7511928382391214e7
0.44,0.48,0.64,0.63,0.59,1.7309261024985887e7
0.08,0.09,0.23,0.1,0.55,1.7552788742543757e7
0.05,0.75,0.07,0.4,0.57,1.742324278458655e7
0.74,0.21,0.04,0.15,0.7,1.7344757410939902e7
0.29,0.17,0.25,0.91,0.47,1.7452595208838347e7
0.4,0.62,0.25,0.29,0.49,1.7283310849283814e7
0.57,0.39,0.54,0.1,0.12,1.7296317680153184e7
0.35,0.08,0.97,0.4,0.31,1.7484387915591627e7
0.59,0.91,0.76,0.78,0.97,1.725169463062275e7
0.63,0.55,0.72,0.34,0.37,1.7266213986134388e7
0.66,0.45,0.33,0.96,0.05,1.7290980459439233e7
0.91,0.17,0.27,0.38,0.45,1.7375322940201413e7
0.29,0.24,0.28,0.34,0.12,1.7406731231036883e7
0.14,0.63,0.89,0.71,0.46,1.7406877866938487e7
0.72,0.59,0.39,0.86,0.03,1.726261176729052e7
0.87,0.4,0.75,0.71,0.11,1.7304823753886987e7
0.09,0.41,0.15,0.41,0.37,1.7435341013784915e7
0.43,0.3,0.14,0.21,0.9,1.7342058856557954e7
0.41,0.76,0.88,0.23,0.61,1.7282842962102145e7
0.15,0.18,0.42,0.23,0.21,1.7486484751858052e7
0.3,0.49,0.23,0.6,0.01,1.7334517632720534e7
0.8,0.23,0.88,0.89,0.06,1.7363914254901808e7
0.63,0.03,0.34,0.29,0.29,1.7468297763671834e7
0.72,0.87,0.12,0.73,0.24,1.7236573864452273e7
0.64,0.29,0.91,0.65,0.23,1.7339773573978275e7
0.76,0.11,0.61,0.11,0.95,1.739479998620716e7
0.23,0.18,0.92,0.51,0.46,1.747613587985963e7
0.2,0.87,0.32,0.13,0.77,1.7329459339895323e7
0.67,0.63,0.55,0.4,0.8,1.7252645402212333e7
0.19,0.09,0.3,0.14,0.6,1.7505388884328704e7
0.32,0.93,0.31,0.44,0.99,1.7291220818739343e7
0.1,0.55,0.87,0.19,0.58,1.743461576374863e7
0.88,0.49,0.24,0.73,0.4,1.7281492088654026e7
0.79,0.49,0.44,0.76,0.04,1.727835318294844e7
0.15,0.61,0.65,0.38,0.68,1.7386931933454916e7
0.7,0.35,0.09,0.49,0.52,1.7302860082266413e7
0.37,0.59,0.84,0.42,0.91,1.7309629898532484e7
0.67,1.0,0.2,0.62,0.23,1.723494375718158e7
0.82,0.18,0.49,0.52,0.09,1.7371608242501575e7
0.62,0.55,0.86,0.33,0.62,1.7269147773957774e7
0.87,0.61,0.34,0.38,0.89,1.7256701944026504e7
0.27,1.0,0.09,0.73,0.88,1.730417490826853e7
0.6,0.35,0.65,0.88,0.15,1.7324805668016974e7
0.28,0.19,0.2,0.68,0.42,1.7438353833977193e7
0.36,0.01,0.12,0.95,0.64,1.7607918137903396e7
0.79,0.85,0.29,0.98,0.58,1.7243124273834158e7
0.7,0.8,0.81,0.2,0.02,1.7240316479253296e7
0.48,0.91,0.54,0.81,0.65,1.7264261335756496e7
0.64,0.08,0.84,0.99,0.22,1.745593523599166e7
0.91,0.72,0.09,0.56,0.64,1.7250745435901813e7
0.97,0.89,0.37,0.77,0.01,1.725045667619033e7
0.39,0.93,0.74,0.54,0.08,1.7282934292846903e7
0.24,0.74,0.24,0.39,0.41,1.7321473361530494e7
0.51,0.22,0.98,0.27,0.99,1.737442438581424e7
0.87,0.98,0.12,0.14,0.46,1.72302692381958e7
0.64,0.05,0.34,0.34,0.05,1.744537256665948e7
0.96,0.01,0.66,0.51,0.04,1.752671711156365e7
0.27,0.9,0.98,0.02,0.31,1.732165278852926e7
0.7,0.21,0.49,0.38,0.74,1.735513649974573e7
0.81,0.61,0.41,0.22,0.25,1.7250999644898392e7
0.51,0.47,0.17,0.88,0.18,1.7296731083940115e7
0.37,0.57,0.81,0.71,0.97,1.7316920043736927e7
0.19,0.62,0.62,0.1,0.31,1.736059534295731e7
0.66,0.51,0.18,0.85,0.4,1.7274276502841957e7
0.8,0.46,0.88,0.96,0.73,1.729427448296285e7
0.08,0.6,0.93,0.38,0.4,1.7450163036575362e7
0.4,0.6,0.29,0.32,0.71,1.7286690608808666e7
0.69,0.54,0.58,0.6,0.61,1.7267559974093854e7
0.16,0.43,0.91,0.61,0.83,1.7428861793426964e7
0.89,0.21,0.46,0.57,0.48,1.736300500817914e7
0.29,0.57,0.48,0.96,0.05,1.7338152370261934e7
0.5,0.13,0.8,0.3,0.55,1.7415220362357415e7
0.85,0.71,0.59,0.56,0.63,1.72503135999806e7
0.63,0.66,0.12,0.72,0.31,1.725224867549065e7
0.74,0.67,0.84,0.35,0.15,1.7250422759911723e7
0.17,0.33,0.58,0.52,0.36,1.743469836045362e7
0.38,0.06,0.48,0.76,0.85,1.7500895159289647e7
0.43,0.77,0.74,0.44,0.28,1.727735737687654e7
0.11,0.53,0.34,0.08,0.67,1.740132695278255e7
0.71,0.21,0.83,0.65,0.74,1.7366158676884413e7
0.18,0.86,0.83,0.09,0.19,1.7357091052597668e7
0.57,0.37,0.3,0.06,0.25,1.729745866085906e7
0.51,0.54,0.66,0.92,1.0,1.7292110766277403e7
0.13,0.41,0.2,1.0,0.56,1.7426600969479397e7
0.63,0.04,0.57,0.9,0.98,1.750235239813213e7
0.87,0.5,0.27,0.9,0.36,1.728242574509928e7
0.99,0.47,0.45,0.91,0.67,1.7301847416475773e7
0.1,0.24,0.09,0.13,0.93,1.7472906155053034e7
0.42,0.27,0.42,0.08,0.77,1.7356840140620418e7
0.41,0.94,0.08,0.69,0.86,1.726842257337819e7
0.14,0.24,0.21,0.24,0.91,1.745908953518746e7
0.97,0.87,0.1,0.78,0.47,1.725047194248323e7
0.06,0.28,0.09,0.9,0.02,1.7507322124387458e7
0.57,0.35,0.62,0.17,0.49,1.731031072782865e7
0.02,0.71,0.71,0.77,0.96,1.7516656420012355e7
0.92,0.77,0.78,0.54,0.06,1.7252400548662998e7
0.93,0.55,1.0,0.24,0.43,1.7273784350077406e7
0.15,0.59,0.24,0.31,0.43,1.7370371270391103e7
0.61,0.74,0.97,0.61,0.56,1.7257714438852705e7
0.72,0.94,0.84,0.68,0.21,1.7241769448477384e7
0.3,0.98,0.72,0.8,0.39,1.7311097433590908e7
0.57,0.84,0.18,0.48,0.85,1.7243328005228523e7
0.13,0.65,0.97,0.78,0.52,1.741572432733126e7
0.08,0.75,0.51,0.59,0.21,1.7415232857184254e7
0.49,0.84,0.3,0.41,0.12,1.7254696723794706e7
0.56,0.49,0.13,0.81,0.9,1.728409234534394e7
0.85,0.96,0.89,0.1,0.65,1.7235595139708117e7
0.98,0.72,0.19,0.28,0.78,1.725532468000726e7
0.08,0.58,0.23,0.82,0.26,1.742269601958776e7
0.46,0.6,0.7,0.85,0.43,1.7291627658723235e7
